Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,164924,Boston College,14308,0,0,9,0,0,0,0,0,1,3,66,1,6
2002,164924,Boston College,14111,0,0,5,0,0,0,0,0,2,7,58,1,2
2003,164924,Boston College,13728,0,0,10,0,0,0,0,0,2,5,58,2,2
2004,164924,Boston College,14561,0,0,5,0,0,0,0,0,0,13,62,3,1
2005,164924,Boston College,14829,0,0,9,0,0,0,0,0,2,8,57,0,2
2006,164924,Boston College,14661,0,0,3,0,0,0,0,0,0,13,60,2,0
2007,164924,Boston College,14621,0,0,12,0,0,0,0,0,0,12,65,2,0
2008,164924,Boston College,14836,0,0,9,0,0,0,0,0,0,7,50,1,1
2009,164924,Boston College,15036,0,0,11,0,0,0,0,0,0,5,6,3,0
2010,164924,Boston College,14868,0,0,6,0,0,0,0,0,1,3,8,1,1
2011,164924,Boston College,14754,0,0,7,0,0,0,0,0,0,1,8,3,3
2012,164924,Boston College,14605,0,0,5,0,0,0,0,0,0,0,3,0,3
2013,164924,Boston College,14309,0,0,11,0,0,0,0,0,0,0,2,2,6
2014,164924,Boston College,14317,0,0,0,22,1,0,0,0,0,1,5,0,4
2001,164988,Boston University,27756,0,0,2,0,0,0,0,0,5,6,63,8,0
2002,164988,Boston University,28982,0,0,4,0,0,0,0,0,3,2,70,6,0
2003,164988,Boston University,29049,0,0,6,0,0,0,0,0,2,3,90,8,1
2004,164988,Boston University,29596,0,0,4,0,0,0,0,0,4,4,64,5,1
2005,164988,Boston University,30957,0,0,6,0,0,0,0,0,1,2,107,6,1
2006,164988,Boston University,31574,0,0,3,0,0,0,0,0,4,9,143,5,1
2007,164988,Boston University,32053,0,0,7,0,0,0,0,0,2,2,67,2,0
2008,164988,Boston University,31766,0,0,6,0,0,0,0,0,2,5,62,1,1
2009,164988,Boston University,31960,0,0,3,0,0,0,0,0,6,5,59,2,1
2010,164988,Boston University,32727,0,0,8,0,0,0,0,0,1,4,62,0,1
