Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,164924,Boston College,14308,0,58,632
2002,164924,Boston College,14111,0,58,560
2003,164924,Boston College,13728,2,71,559
2004,164924,Boston College,14561,2,37,560
2005,164924,Boston College,14829,4,42,611
2006,164924,Boston College,14661,5,52,521
2007,164924,Boston College,14621,2,38,653
2008,164924,Boston College,14836,2,60,826
2009,164924,Boston College,15036,2,111,1154
2010,164924,Boston College,14868,4,96,1058
2011,164924,Boston College,14754,11,176,1458
2012,164924,Boston College,14605,1,130,914
2013,164924,Boston College,14309,1,169,1082
2014,164924,Boston College,14317,7,121,889
2001,164988,Boston University,27756,1,19,468
2002,164988,Boston University,28982,1,23,461
2003,164988,Boston University,29049,1,22,586
2004,164988,Boston University,29596,4,36,634
2005,164988,Boston University,30957,1,40,537
2006,164988,Boston University,31574,2,30,478
2007,164988,Boston University,32053,3,30,467
2008,164988,Boston University,31766,4,38,405
2009,164988,Boston University,31960,2,37,452
2010,164988,Boston University,32727,1,55,569
2011,164988,Boston University,32439,0,53,496
2012,164988,Boston University,32603,1,69,572
2013,164988,Boston University,32411,1,81,701
2014,164988,Boston University,32112,3,90,1004
2001,165024,Bridgewater State University,9038,2,180,186
2002,165024,Bridgewater State University,9561,2,36,279
2003,165024,Bridgewater State University,9626,9,41,321
2004,165024,Bridgewater State University,9731,4,42,346
2005,165024,Bridgewater State University,9649,6,40,337
2006,165024,Bridgewater State University,9655,2,46,254
2007,165024,Bridgewater State University,9934,7,41,393
2008,165024,Bridgewater State University,10269,3,69,397
2009,165024,Bridgewater State University,10774,3,73,414
2010,165024,Bridgewater State University,11201,5,84,346
2011,165024,Bridgewater State University,11294,4,88,455
2012,165024,Bridgewater State University,11417,1,75,298
2013,165024,Bridgewater State University,11267,0,53,86
2014,165024,Bridgewater State University,11187,2,3,77
2001,166027,Harvard University,24474,3,10,62
2002,166027,Harvard University,24969,0,2,96
2003,166027,Harvard University,24851,0,4,134
2004,166027,Harvard University,24648,0,12,113
2005,166027,Harvard University,25017,0,2,106
2006,166027,Harvard University,25778,2,13,29
2007,166027,Harvard University,25690,1,11,53
2008,166027,Harvard University,26496,0,14,25
2009,166027,Harvard University,27651,1,13,47
2010,166027,Harvard University,27594,0,10,23
2011,166027,Harvard University,27392,0,13,35
2012,166027,Harvard University,28147,0,9,48
2013,166027,Harvard University,28297,0,7,52
2014,166027,Harvard University,28791,5,22,48
2001,166513,University of Massachusetts-Lowell,12397,0,42,210
2002,166513,University of Massachusetts-Lowell,12086,2,78,195
2003,166513,University of Massachusetts-Lowell,11706,4,107,215
2004,166513,University of Massachusetts-Lowell,11089,0,8,113
2005,166513,University of Massachusetts-Lowell,10666,8,35,226
2006,166513,University of Massachusetts-Lowell,11207,7,51,212
2007,166513,University of Massachusetts-Lowell,11635,3,30,214
2008,166513,University of Massachusetts-Lowell,12471,1,28,233
2009,166513,University of Massachusetts-Lowell,13602,2,7,223
2010,166513,University of Massachusetts-Lowell,14702,1,7,371
2011,166513,University of Massachusetts-Lowell,15431,3,20,380
2012,166513,University of Massachusetts-Lowell,16294,0,48,261
2013,166513,University of Massachusetts-Lowell,16932,1,24,291
2014,166513,University of Massachusetts-Lowell,17179,7,41,377
2001,166629,University of Massachusetts-Amherst,24678,1,23,934
2002,166629,University of Massachusetts-Amherst,24062,0,80,801
2003,166629,University of Massachusetts-Amherst,24310,6,51,1064
2004,166629,University of Massachusetts-Amherst,24646,0,25,770
2005,166629,University of Massachusetts-Amherst,25093,1,5,836
2006,166629,University of Massachusetts-Amherst,25593,4,13,1009
2007,166629,University of Massachusetts-Amherst,25873,1,482,2198
2008,166629,University of Massachusetts-Amherst,26359,0,147,1878
2009,166629,University of Massachusetts-Amherst,27016,1,31,1556
2010,166629,University of Massachusetts-Amherst,27569,0,22,1588
2011,166629,University of Massachusetts-Amherst,28084,0,27,941
2012,166629,University of Massachusetts-Amherst,28236,0,35,609
2013,166629,University of Massachusetts-Amherst,28518,0,57,780
2014,166629,University of Massachusetts-Amherst,28635,0,42,675
2001,166638,University of Massachusetts-Boston,13348,0,0,0
2002,166638,University of Massachusetts-Boston,12719,0,2,0
2003,166638,University of Massachusetts-Boston,12394,0,0,3
2004,166638,University of Massachusetts-Boston,11682,0,1,0
2005,166638,University of Massachusetts-Boston,11862,0,0,0
2006,166638,University of Massachusetts-Boston,12362,0,0,0
2007,166638,University of Massachusetts-Boston,13433,1,1,0
2008,166638,University of Massachusetts-Boston,14117,1,4,1
2009,166638,University of Massachusetts-Boston,14912,2,1,0
2010,166638,University of Massachusetts-Boston,15454,0,4,0
2011,166638,University of Massachusetts-Boston,15741,1,4,1
2012,166638,University of Massachusetts-Boston,15874,0,1,4
2013,166638,University of Massachusetts-Boston,16277,3,1,1
2014,166638,University of Massachusetts-Boston,16756,0,0,2
2001,166683,Massachusetts Institute of Technology,10197,1,1,5
2002,166683,Massachusetts Institute of Technology,10317,0,0,0
2003,166683,Massachusetts Institute of Technology,10340,1,2,0
2004,166683,Massachusetts Institute of Technology,10320,0,1,10
2005,166683,Massachusetts Institute of Technology,10206,0,0,0
2006,166683,Massachusetts Institute of Technology,10253,1,2,5
2007,166683,Massachusetts Institute of Technology,10220,2,0,0
2008,166683,Massachusetts Institute of Technology,10299,2,6,14
