Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,164924,Boston College,14317,4,0,2
2002,164924,Boston College,14317,4,0,2
2003,164924,Boston College,14317,4,0,2
2004,164924,Boston College,14317,4,0,2
2005,164924,Boston College,14317,4,0,2
2006,164924,Boston College,14317,4,0,2
2007,164924,Boston College,14317,4,0,2
2008,164924,Boston College,14317,4,0,2
2009,164924,Boston College,14317,4,0,2
2010,164924,Boston College,14317,4,0,2
2011,164924,Boston College,14317,4,0,2
2012,164924,Boston College,14317,4,0,2
2013,164924,Boston College,14317,4,0,2
2014,164924,Boston College,14317,4,0,2
2001,164988,Boston University,32112,2,8,19
2002,164988,Boston University,32112,2,8,19
2003,164988,Boston University,32112,2,8,19
2004,164988,Boston University,32112,2,8,19
2005,164988,Boston University,32112,2,8,19
2006,164988,Boston University,32112,2,8,19
2007,164988,Boston University,32112,2,8,19
2008,164988,Boston University,32112,2,8,19
2009,164988,Boston University,32112,2,8,19
2010,164988,Boston University,32112,2,8,19
2011,164988,Boston University,32112,2,8,19
2012,164988,Boston University,32112,2,8,19
2013,164988,Boston University,32112,2,8,19
2014,164988,Boston University,32112,2,8,19
2001,165024,Bridgewater State University,11187,7,5,9
2002,165024,Bridgewater State University,11187,7,5,9
2003,165024,Bridgewater State University,11187,7,5,9
2004,165024,Bridgewater State University,11187,7,5,9
2005,165024,Bridgewater State University,11187,7,5,9
2006,165024,Bridgewater State University,11187,7,5,9
2007,165024,Bridgewater State University,11187,7,5,9
2008,165024,Bridgewater State University,11187,7,5,9
2009,165024,Bridgewater State University,11187,7,5,9
2010,165024,Bridgewater State University,11187,7,5,9
2011,165024,Bridgewater State University,11187,7,5,9
2012,165024,Bridgewater State University,11187,7,5,9
2013,165024,Bridgewater State University,11187,7,5,9
2014,165024,Bridgewater State University,11187,7,5,9
2001,166027,Harvard University,28791,2,4,24
2002,166027,Harvard University,28791,2,4,24
2003,166027,Harvard University,28791,2,4,24
2004,166027,Harvard University,28791,2,4,24
2005,166027,Harvard University,28791,2,4,24
2006,166027,Harvard University,28791,2,4,24
2007,166027,Harvard University,28791,2,4,24
2008,166027,Harvard University,28791,2,4,24
2009,166027,Harvard University,28791,2,4,24
2010,166027,Harvard University,28791,2,4,24
2011,166027,Harvard University,28791,2,4,24
2012,166027,Harvard University,28791,2,4,24
2013,166027,Harvard University,28791,2,4,24
2014,166027,Harvard University,28791,2,4,24
2001,166513,University of Massachusetts-Lowell,17179,12,0,0
2002,166513,University of Massachusetts-Lowell,17179,12,0,0
2003,166513,University of Massachusetts-Lowell,17179,12,0,0
2004,166513,University of Massachusetts-Lowell,17179,12,0,0
2005,166513,University of Massachusetts-Lowell,17179,12,0,0
2006,166513,University of Massachusetts-Lowell,17179,12,0,0
2007,166513,University of Massachusetts-Lowell,17179,12,0,0
2008,166513,University of Massachusetts-Lowell,17179,12,0,0
2009,166513,University of Massachusetts-Lowell,17179,12,0,0
2010,166513,University of Massachusetts-Lowell,17179,12,0,0
2011,166513,University of Massachusetts-Lowell,17179,12,0,0
2012,166513,University of Massachusetts-Lowell,17179,12,0,0
2013,166513,University of Massachusetts-Lowell,17179,12,0,0
2014,166513,University of Massachusetts-Lowell,17179,12,0,0
2001,166629,University of Massachusetts-Amherst,28635,15,0,0
2002,166629,University of Massachusetts-Amherst,28635,15,0,0
2003,166629,University of Massachusetts-Amherst,28635,15,0,0
2004,166629,University of Massachusetts-Amherst,28635,15,0,0
2005,166629,University of Massachusetts-Amherst,28635,15,0,0
2006,166629,University of Massachusetts-Amherst,28635,15,0,0
2007,166629,University of Massachusetts-Amherst,28635,15,0,0
2008,166629,University of Massachusetts-Amherst,28635,15,0,0
2009,166629,University of Massachusetts-Amherst,28635,15,0,0
2010,166629,University of Massachusetts-Amherst,28635,15,0,0
2011,166629,University of Massachusetts-Amherst,28635,15,0,0
2012,166629,University of Massachusetts-Amherst,28635,15,0,0
2013,166629,University of Massachusetts-Amherst,28635,15,0,0
2014,166629,University of Massachusetts-Amherst,28635,15,0,0
2001,166638,University of Massachusetts-Boston,16756,2,0,0
2002,166638,University of Massachusetts-Boston,16756,2,0,0
2003,166638,University of Massachusetts-Boston,16756,2,0,0
2004,166638,University of Massachusetts-Boston,16756,2,0,0
2005,166638,University of Massachusetts-Boston,16756,2,0,0
2006,166638,University of Massachusetts-Boston,16756,2,0,0
2007,166638,University of Massachusetts-Boston,16756,2,0,0
2008,166638,University of Massachusetts-Boston,16756,2,0,0
2009,166638,University of Massachusetts-Boston,16756,2,0,0
2010,166638,University of Massachusetts-Boston,16756,2,0,0
2011,166638,University of Massachusetts-Boston,16756,2,0,0
2012,166638,University of Massachusetts-Boston,16756,2,0,0
2013,166638,University of Massachusetts-Boston,16756,2,0,0
2014,166638,University of Massachusetts-Boston,16756,2,0,0
2001,166683,Massachusetts Institute of Technology,11319,2,9,7
2002,166683,Massachusetts Institute of Technology,11319,2,9,7
2003,166683,Massachusetts Institute of Technology,11319,2,9,7
2004,166683,Massachusetts Institute of Technology,11319,2,9,7
