Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,162928,Johns Hopkins University,17826,0,0,0,0,0,0,0,0,13,3,22,4,2
2002,162928,Johns Hopkins University,17989,0,0,2,0,0,0,0,0,4,3,12,2,2
2003,162928,Johns Hopkins University,18820,0,0,2,0,0,0,0,0,3,3,8,6,2
2004,162928,Johns Hopkins University,18626,0,0,1,0,0,0,0,0,1,2,5,5,2
2005,162928,Johns Hopkins University,19225,0,0,2,0,0,0,0,0,1,2,12,0,0
2006,162928,Johns Hopkins University,19708,0,0,0,0,0,0,0,0,0,3,3,2,0
2007,162928,Johns Hopkins University,19682,0,0,1,0,0,0,0,0,0,1,7,0,0
2008,162928,Johns Hopkins University,19758,0,0,0,0,0,0,0,0,1,0,4,0,0
2009,162928,Johns Hopkins University,20383,0,0,0,0,0,0,0,0,0,0,1,0,0
2010,162928,Johns Hopkins University,20977,1,0,0,0,0,0,0,0,1,1,2,0,0
2011,162928,Johns Hopkins University,20996,0,0,1,0,0,0,0,0,0,0,1,2,0
2012,162928,Johns Hopkins University,20871,0,0,5,0,0,0,0,0,1,1,5,0,0
2013,162928,Johns Hopkins University,20918,0,0,2,0,0,0,0,0,1,2,6,0,0
2014,162928,Johns Hopkins University,21372,0,0,0,3,1,0,0,0,4,5,8,3,0
2001,163204,University of Maryland-University College,22233,0,0,0,0,0,0,0,0,0,0,2,0,0
2002,163204,University of Maryland-University College,24030,0,0,0,0,0,0,0,0,0,2,0,0,0
2003,163204,University of Maryland-University College,25857,0,0,0,0,0,0,0,0,0,1,1,0,0
2004,163204,University of Maryland-University College,28374,0,0,0,0,0,0,0,0,0,1,1,1,0
2005,163204,University of Maryland-University College,27429,0,0,1,0,0,0,0,0,0,0,0,1,0
2006,163204,University of Maryland-University College,33096,0,0,0,0,0,0,0,0,0,0,5,0,0
2007,163204,University of Maryland-University College,32540,0,0,0,0,0,0,0,0,0,0,4,0,0
2008,163204,University of Maryland-University College,34172,0,0,0,0,0,0,0,0,0,0,3,0,0
2009,163204,University of Maryland-University College,37347,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,163204,University of Maryland-University College,39577,0,0,0,0,0,0,0,0,1,0,1,0,0
2011,163204,University of Maryland-University College,42713,0,0,0,0,0,0,0,0,1,0,0,0,0
2012,163204,University of Maryland-University College,42268,0,0,1,0,0,0,0,0,0,0,3,0,0
2013,163204,University of Maryland-University College,39557,0,0,0,0,0,0,0,0,0,0,3,0,0
2014,163204,University of Maryland-University College,47906,0,0,0,0,0,0,0,0,0,0,1,0,0
2001,163268,University of Maryland-Baltimore County,11237,0,0,1,0,0,1,0,0,2,1,16,6,0
2002,163268,University of Maryland-Baltimore County,11711,0,0,0,0,0,0,0,0,1,0,21,6,0
2003,163268,University of Maryland-Baltimore County,11872,0,0,0,0,0,0,0,0,1,0,11,19,0
2004,163268,University of Maryland-Baltimore County,11852,1,0,2,0,0,0,0,0,1,1,9,3,1
