Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,162928,Johns Hopkins University,17826,0,25,286
2002,162928,Johns Hopkins University,17989,0,20,276
2003,162928,Johns Hopkins University,18820,0,18,525
2004,162928,Johns Hopkins University,18626,4,22,687
2005,162928,Johns Hopkins University,19225,3,14,265
2006,162928,Johns Hopkins University,19708,0,24,346
2007,162928,Johns Hopkins University,19682,0,12,366
2008,162928,Johns Hopkins University,19758,0,24,240
2009,162928,Johns Hopkins University,20383,1,27,249
2010,162928,Johns Hopkins University,20977,0,42,215
2011,162928,Johns Hopkins University,20996,0,42,278
2012,162928,Johns Hopkins University,20871,0,23,263
2013,162928,Johns Hopkins University,20918,0,26,284
2014,162928,Johns Hopkins University,21372,0,77,731
2001,163204,University of Maryland-University College,22233,0,0,0
2002,163204,University of Maryland-University College,24030,0,1,0
2003,163204,University of Maryland-University College,25857,0,0,0
2004,163204,University of Maryland-University College,28374,0,0,0
2005,163204,University of Maryland-University College,27429,0,0,0
2006,163204,University of Maryland-University College,33096,0,0,0
2007,163204,University of Maryland-University College,32540,0,1,0
2008,163204,University of Maryland-University College,34172,0,0,0
2009,163204,University of Maryland-University College,37347,0,0,0
2010,163204,University of Maryland-University College,39577,0,0,0
2011,163204,University of Maryland-University College,42713,0,0,0
2012,163204,University of Maryland-University College,42268,0,0,0
2013,163204,University of Maryland-University College,39557,0,0,0
2014,163204,University of Maryland-University College,47906,0,0,0
2001,163268,University of Maryland-Baltimore County,11237,0,29,116
2002,163268,University of Maryland-Baltimore County,11711,4,19,154
2003,163268,University of Maryland-Baltimore County,11872,0,15,204
2004,163268,University of Maryland-Baltimore County,11852,0,12,308
2005,163268,University of Maryland-Baltimore County,11650,0,46,272
2006,163268,University of Maryland-Baltimore County,11798,14,34,276
2007,163268,University of Maryland-Baltimore County,12041,1,40,216
2008,163268,University of Maryland-Baltimore County,12268,2,13,227
2009,163268,University of Maryland-Baltimore County,12870,0,29,191
2010,163268,University of Maryland-Baltimore County,12888,1,35,137
2011,163268,University of Maryland-Baltimore County,13199,3,49,161
2012,163268,University of Maryland-Baltimore County,13637,1,44,139
2013,163268,University of Maryland-Baltimore County,13908,2,50,132
2014,163268,University of Maryland-Baltimore County,13979,1,44,159
2001,163286,University of Maryland-College Park,34160,3,100,866
2002,163286,University of Maryland-College Park,34801,9,180,1178
2003,163286,University of Maryland-College Park,35329,3,123,992
2004,163286,University of Maryland-College Park,34933,1,120,1001
2005,163286,University of Maryland-College Park,35369,1,145,1334
2006,163286,University of Maryland-College Park,35102,1,113,849
2007,163286,University of Maryland-College Park,36014,0,86,987
2008,163286,University of Maryland-College Park,37000,1,127,958
2009,163286,University of Maryland-College Park,37195,2,118,943
2010,163286,University of Maryland-College Park,37641,0,209,1062
2011,163286,University of Maryland-College Park,37631,0,261,1057
2012,163286,University of Maryland-College Park,37248,1,233,742
2013,163286,University of Maryland-College Park,37272,0,145,637
2014,163286,University of Maryland-College Park,37610,0,121,778
2001,164076,Towson University,16980,4,30,264
2002,164076,Towson University,17481,4,97,265
2003,164076,Towson University,17188,0,1,190
2004,164076,Towson University,17667,0,44,320
2005,164076,Towson University,18011,1,33,310
2006,164076,Towson University,18921,0,24,321
2007,164076,Towson University,19758,0,58,334
2008,164076,Towson University,21111,0,86,335
2009,164076,Towson University,21177,0,73,325
2010,164076,Towson University,21840,0,29,247
2011,164076,Towson University,21464,0,23,370
2012,164076,Towson University,21960,0,35,320
2013,164076,Towson University,22499,0,19,319
2014,164076,Towson University,22285,0,41,288
2014,169248,Central Michigan University,26879,0,0,0
2004,179894,Webster University,19038,0,0,0
2005,179894,Webster University,18407,0,0,0
2006,179894,Webster University,18963,0,0,0
2007,179894,Webster University,19398,0,0,0
2008,179894,Webster University,19154,0,0,0
2009,179894,Webster University,19372,0,0,0
2010,179894,Webster University,19342,0,0,0
2011,179894,Webster University,19224,0,0,0
2012,179894,Webster University,18456,0,0,0
2013,179894,Webster University,17904,0,0,0
2014,179894,Webster University,16769,0,0,0
2012,241739,Universidad Metropolitana,13616,0,0,0
2013,241739,Universidad Metropolitana,13631,0,0,0
2014,241739,Universidad Metropolitana,13773,0,0,0
2012,243346,Universidad Del Este,13630,0,0,0
2013,243346,Universidad Del Este,13420,0,0,0
2014,243346,Universidad Del Este,13331,0,0,0
2012,243601,Universidad Del Turabo,17040,0,0,0
2013,243601,Universidad Del Turabo,17287,0,0,0
2014,243601,Universidad Del Turabo,17325,0,0,0
2012,260901,Kaplan University-Davenport Campus,48865,0,0,0
2013,260901,Kaplan University-Davenport Campus,52407,0,0,0
2014,260901,Kaplan University-Davenport Campus,52018,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
