Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2014,162928,Johns Hopkins University,21372,7,0,3
2014,163204,University of Maryland-University College,47906,1,0,1
2014,163268,University of Maryland-Baltimore County,13979,0,3,3
2014,163286,University of Maryland-College Park,37610,2,9,13
2014,164076,Towson University,22285,1,3,6
2014,169248,Central Michigan University,26879,0,0,0
2014,179894,Webster University,16769,0,0,0
2014,241739,Universidad Metropolitana,13773,0,0,0
2014,243346,Universidad Del Este,13331,0,0,0
2014,243601,Universidad Del Turabo,17325,0,0,0
2014,260901,Kaplan University-Davenport Campus,52018,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
