Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,161253,University of Maine,10698,0,0,6,0,0,1,0,0,0,0,39,5,18
2002,161253,University of Maine,11135,0,0,6,0,0,0,0,0,0,0,51,1,16
2003,161253,University of Maine,11222,0,0,7,0,0,0,0,0,0,1,46,1,22
2004,161253,University of Maine,11358,0,0,9,0,0,0,0,0,0,1,54,3,54
2005,161253,University of Maine,11435,0,0,5,0,0,0,0,0,0,1,22,2,35
2006,161253,University of Maine,11797,0,0,11,0,0,0,0,0,0,0,27,4,20
2007,161253,University of Maine,11912,0,0,6,0,0,0,0,0,0,0,28,2,22
2008,161253,University of Maine,11818,0,0,7,0,0,0,0,0,1,1,45,2,11
2009,161253,University of Maine,11894,0,0,3,0,0,0,0,0,1,0,24,2,21
2010,161253,University of Maine,11501,0,0,9,0,0,0,0,0,0,3,6,0,13
2011,161253,University of Maine,11168,0,0,6,0,0,0,0,0,0,1,5,3,9
2012,161253,University of Maine,10901,0,0,5,0,0,0,0,0,0,2,8,3,7
2013,161253,University of Maine,11247,0,0,19,0,0,0,0,0,0,1,12,3,11
2014,161253,University of Maine,11286,0,0,0,13,1,0,0,0,0,1,8,4,3
2001,183026,Southern New Hampshire University,5584,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,183026,Southern New Hampshire University,6026,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,183026,Southern New Hampshire University,5952,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,183026,Southern New Hampshire University,6352,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,183026,Southern New Hampshire University,6186,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,183026,Southern New Hampshire University,6305,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,183026,Southern New Hampshire University,6439,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,183026,Southern New Hampshire University,6991,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,183026,Southern New Hampshire University,7119,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,183026,Southern New Hampshire University,8034,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,183026,Southern New Hampshire University,11851,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,183026,Southern New Hampshire University,17454,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,183026,Southern New Hampshire University,28389,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,183026,Southern New Hampshire University,43274,0,0,0,0,0,0,0,0,0,0,0,0,0
