Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,161253,University of Maine,10698,0,65,193
2002,161253,University of Maine,11135,0,76,235
2003,161253,University of Maine,11222,0,136,354
2004,161253,University of Maine,11358,0,101,347
2005,161253,University of Maine,11435,0,119,370
2006,161253,University of Maine,11797,0,81,532
2007,161253,University of Maine,11912,0,82,499
2008,161253,University of Maine,11818,0,87,494
2009,161253,University of Maine,11894,0,104,402
2010,161253,University of Maine,11501,0,208,423
2011,161253,University of Maine,11168,3,314,368
2012,161253,University of Maine,10901,0,287,435
2013,161253,University of Maine,11247,1,245,673
2014,161253,University of Maine,11286,1,269,479
2001,183026,Southern New Hampshire University,5584,0,0,0
2002,183026,Southern New Hampshire University,6026,0,0,0
2003,183026,Southern New Hampshire University,5952,0,0,0
2004,183026,Southern New Hampshire University,6352,0,0,0
2005,183026,Southern New Hampshire University,6186,0,0,0
2006,183026,Southern New Hampshire University,6305,0,0,0
2007,183026,Southern New Hampshire University,6439,0,0,0
2008,183026,Southern New Hampshire University,6991,0,0,0
2009,183026,Southern New Hampshire University,7119,0,0,0
2010,183026,Southern New Hampshire University,8034,0,0,0
2011,183026,Southern New Hampshire University,11851,0,0,0
2012,183026,Southern New Hampshire University,17454,0,0,0
2013,183026,Southern New Hampshire University,28389,0,0,0
2014,183026,Southern New Hampshire University,43274,0,0,0
