Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,161253,University of Maine,11286,0,14,2
2002,161253,University of Maine,11286,0,14,2
2003,161253,University of Maine,11286,0,14,2
2004,161253,University of Maine,11286,0,14,2
2005,161253,University of Maine,11286,0,14,2
2006,161253,University of Maine,11286,0,14,2
2007,161253,University of Maine,11286,0,14,2
2008,161253,University of Maine,11286,0,14,2
2009,161253,University of Maine,11286,0,14,2
2010,161253,University of Maine,11286,0,14,2
2011,161253,University of Maine,11286,0,14,2
2012,161253,University of Maine,11286,0,14,2
2013,161253,University of Maine,11286,0,14,2
2014,161253,University of Maine,11286,0,14,2
2001,183026,Southern New Hampshire University,43274,0,0,0
2002,183026,Southern New Hampshire University,43274,0,0,0
2003,183026,Southern New Hampshire University,43274,0,0,0
2004,183026,Southern New Hampshire University,43274,0,0,0
2005,183026,Southern New Hampshire University,43274,0,0,0
2006,183026,Southern New Hampshire University,43274,0,0,0
2007,183026,Southern New Hampshire University,43274,0,0,0
2008,183026,Southern New Hampshire University,43274,0,0,0
2009,183026,Southern New Hampshire University,43274,0,0,0
2010,183026,Southern New Hampshire University,43274,0,0,0
2011,183026,Southern New Hampshire University,43274,0,0,0
2012,183026,Southern New Hampshire University,43274,0,0,0
2013,183026,Southern New Hampshire University,43274,0,0,0
2014,183026,Southern New Hampshire University,43274,0,0,0
