Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2001,161253,University of Maine,10698,69,258,0,16,343
2002,161253,University of Maine,11135,74,311,0,16,401
2003,161253,University of Maine,11222,77,490,0,16,583
2004,161253,University of Maine,11358,121,448,0,16,585
2005,161253,University of Maine,11435,65,489,0,16,570
2006,161253,University of Maine,11797,62,613,0,16,691
2007,161253,University of Maine,11912,58,581,0,16,655
2008,161253,University of Maine,11818,67,581,0,16,664
2009,161253,University of Maine,11894,51,506,0,16,573
2010,161253,University of Maine,11501,31,631,0,16,678
2011,161253,University of Maine,11168,24,685,0,16,725
2012,161253,University of Maine,10901,25,722,0,16,763
2013,161253,University of Maine,11247,46,919,2,16,983
2014,161253,University of Maine,11286,30,749,0,16,795
2001,183026,Southern New Hampshire University,5584,0,0,0,0,0
2002,183026,Southern New Hampshire University,6026,0,0,0,0,0
2003,183026,Southern New Hampshire University,5952,0,0,0,0,0
2004,183026,Southern New Hampshire University,6352,0,0,0,0,0
2005,183026,Southern New Hampshire University,6186,0,0,0,0,0
2006,183026,Southern New Hampshire University,6305,0,0,0,0,0
2007,183026,Southern New Hampshire University,6439,0,0,0,0,0
2008,183026,Southern New Hampshire University,6991,0,0,0,0,0
2009,183026,Southern New Hampshire University,7119,0,0,0,0,0
2010,183026,Southern New Hampshire University,8034,0,0,0,0,0
2011,183026,Southern New Hampshire University,11851,0,0,0,0,0
2012,183026,Southern New Hampshire University,17454,0,0,0,0,0
2013,183026,Southern New Hampshire University,28389,0,0,0,0,0
2014,183026,Southern New Hampshire University,43274,0,0,0,0,0
