Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,169248,Central Michigan University,27797,0,0,4,0,0,0,0,0,0,0,6,5,1
2002,169248,Central Michigan University,27919,0,0,7,0,0,0,0,0,0,2,12,3,2
2003,169248,Central Michigan University,27758,0,0,7,0,0,0,0,0,2,1,8,2,3
2004,169248,Central Michigan University,27683,0,0,2,0,0,0,0,0,1,1,5,4,0
2005,169248,Central Michigan University,27221,0,0,6,0,0,0,0,0,0,1,9,0,0
2006,169248,Central Michigan University,26710,0,0,3,0,0,0,0,0,1,1,10,0,1
2007,169248,Central Michigan University,26611,0,0,5,0,0,0,0,0,1,1,13,2,6
2008,169248,Central Michigan University,27225,0,0,5,0,0,0,0,0,0,2,34,2,0
2009,169248,Central Michigan University,27247,0,0,4,0,0,0,0,0,0,0,27,1,3
2010,169248,Central Michigan University,28292,0,0,3,0,0,1,0,0,3,4,7,1,0
2011,169248,Central Michigan University,28194,0,0,5,0,0,0,0,0,1,2,15,1,1
2012,169248,Central Michigan University,27626,0,0,6,0,0,0,0,0,0,3,7,4,0
2013,169248,Central Michigan University,26841,0,0,8,0,0,0,0,0,1,1,17,5,1
2014,169248,Central Michigan University,26879,0,0,0,9,4,0,0,0,2,0,5,0,1
2001,169798,Eastern Michigan University,24287,0,0,1,0,0,2,0,0,2,5,12,12,4
2002,169798,Eastern Michigan University,24532,0,0,3,0,0,0,0,0,1,8,24,17,5
2003,169798,Eastern Michigan University,24419,0,0,8,0,0,0,0,0,2,4,55,21,5
2004,169798,Eastern Michigan University,23862,0,0,5,0,0,0,0,0,2,13,14,27,4
2005,169798,Eastern Michigan University,23486,0,0,11,0,0,0,0,0,4,4,102,14,6
2006,169798,Eastern Michigan University,22950,1,0,6,0,0,0,0,0,1,0,97,16,8
2007,169798,Eastern Michigan University,22837,0,0,4,0,0,0,0,0,1,4,123,9,1
2008,169798,Eastern Michigan University,22032,0,0,4,0,0,0,0,0,4,2,47,4,0
2009,169798,Eastern Michigan University,22893,0,0,3,0,0,0,0,0,3,4,42,4,4
2010,169798,Eastern Michigan University,23565,0,0,4,0,0,0,0,0,3,1,29,5,4
2011,169798,Eastern Michigan University,23419,0,0,4,0,0,0,0,0,2,1,13,2,7
2012,169798,Eastern Michigan University,23518,0,0,8,0,0,0,0,0,1,6,10,7,8
2013,169798,Eastern Michigan University,23447,0,0,11,0,0,0,0,0,2,2,8,4,5
2014,169798,Eastern Michigan University,22401,0,0,0,5,11,0,0,1,1,1,13,2,8
2001,169910,Ferris State University,10930,0,0,2,0,0,0,0,0,2,1,32,2,1
2002,169910,Ferris State University,11074,0,0,1,0,0,1,0,0,0,6,15,1,0
2003,169910,Ferris State University,11821,0,0,4,0,0,0,0,0,0,2,8,5,3
2004,169910,Ferris State University,11803,0,0,4,0,0,1,0,0,0,0,10,0,0
2005,169910,Ferris State University,12547,0,0,0,0,0,1,0,0,0,2,18,1,0
2006,169910,Ferris State University,12574,0,0,5,0,0,1,0,0,1,3,11,1,0
