Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,169248,Central Michigan University,27797,0,14,98
2002,169248,Central Michigan University,27919,9,27,536
2003,169248,Central Michigan University,27758,6,23,550
2004,169248,Central Michigan University,27683,1,53,571
2005,169248,Central Michigan University,27221,6,27,377
2006,169248,Central Michigan University,26710,0,60,503
2007,169248,Central Michigan University,26611,0,32,427
2008,169248,Central Michigan University,27225,0,25,513
2009,169248,Central Michigan University,27247,0,54,449
2010,169248,Central Michigan University,28292,1,79,526
2011,169248,Central Michigan University,28194,0,159,445
2012,169248,Central Michigan University,27626,1,84,334
2013,169248,Central Michigan University,26841,0,65,333
2014,169248,Central Michigan University,26879,0,125,473
2001,169798,Eastern Michigan University,24287,8,85,206
2002,169798,Eastern Michigan University,24532,8,67,124
2003,169798,Eastern Michigan University,24419,10,113,103
2004,169798,Eastern Michigan University,23862,7,98,113
2005,169798,Eastern Michigan University,23486,4,44,87
2006,169798,Eastern Michigan University,22950,2,53,56
2007,169798,Eastern Michigan University,22837,3,45,83
2008,169798,Eastern Michigan University,22032,1,32,103
2009,169798,Eastern Michigan University,22893,0,35,71
2010,169798,Eastern Michigan University,23565,0,50,231
2011,169798,Eastern Michigan University,23419,0,115,103
2012,169798,Eastern Michigan University,23518,0,57,97
2013,169798,Eastern Michigan University,23447,2,76,126
2014,169798,Eastern Michigan University,22401,2,137,125
2001,169910,Ferris State University,10930,7,81,471
2002,169910,Ferris State University,11074,8,91,510
2003,169910,Ferris State University,11821,15,123,613
2004,169910,Ferris State University,11803,0,7,394
2005,169910,Ferris State University,12547,0,33,223
2006,169910,Ferris State University,12574,0,35,209
2007,169910,Ferris State University,13087,0,46,351
2008,169910,Ferris State University,13532,0,49,389
2009,169910,Ferris State University,13865,0,44,285
2010,169910,Ferris State University,14381,0,63,262
2011,169910,Ferris State University,14560,3,94,313
2012,169910,Ferris State University,14533,0,91,250
2013,169910,Ferris State University,14707,0,91,329
2014,169910,Ferris State University,14600,0,79,417
2001,170082,Grand Valley State University,19762,0,0,6
2002,170082,Grand Valley State University,20407,0,0,0
2003,170082,Grand Valley State University,21429,0,0,5
2004,170082,Grand Valley State University,22063,0,1,5
2005,170082,Grand Valley State University,22565,0,0,5
2006,170082,Grand Valley State University,23295,2,0,4
2007,170082,Grand Valley State University,23464,0,1,2
2008,170082,Grand Valley State University,23892,0,0,0
2009,170082,Grand Valley State University,24408,0,1,0
2010,170082,Grand Valley State University,24541,0,0,0
2011,170082,Grand Valley State University,24662,0,0,0
2012,170082,Grand Valley State University,24654,0,3,1
2013,170082,Grand Valley State University,24477,0,0,1
2014,170082,Grand Valley State University,25094,4,16,7
2001,170976,University of Michigan-Ann Arbor,38248,0,26,336
2002,170976,University of Michigan-Ann Arbor,38972,0,119,580
2003,170976,University of Michigan-Ann Arbor,39031,0,4,92
2004,170976,University of Michigan-Ann Arbor,39533,0,0,157
2005,170976,University of Michigan-Ann Arbor,39993,0,24,352
2006,170976,University of Michigan-Ann Arbor,40025,2,92,765
2007,170976,University of Michigan-Ann Arbor,41042,1,55,440
2008,170976,University of Michigan-Ann Arbor,41028,0,98,519
2009,170976,University of Michigan-Ann Arbor,41674,0,77,655
2010,170976,University of Michigan-Ann Arbor,41924,1,208,483
2011,170976,University of Michigan-Ann Arbor,42716,6,202,855
2012,170976,University of Michigan-Ann Arbor,43426,2,198,941
