Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,169248,Central Michigan University,26879,4,3,6
2002,169248,Central Michigan University,26879,4,3,6
2003,169248,Central Michigan University,26879,4,3,6
2004,169248,Central Michigan University,26879,4,3,6
2005,169248,Central Michigan University,26879,4,3,6
2006,169248,Central Michigan University,26879,4,3,6
2007,169248,Central Michigan University,26879,4,3,6
2008,169248,Central Michigan University,26879,4,3,6
2009,169248,Central Michigan University,26879,4,3,6
2010,169248,Central Michigan University,26879,4,3,6
2011,169248,Central Michigan University,26879,4,3,6
2012,169248,Central Michigan University,26879,4,3,6
2013,169248,Central Michigan University,26879,4,3,6
2014,169248,Central Michigan University,26879,4,3,6
2001,169798,Eastern Michigan University,22401,1,12,5
2002,169798,Eastern Michigan University,22401,1,12,5
2003,169798,Eastern Michigan University,22401,1,12,5
2004,169798,Eastern Michigan University,22401,1,12,5
2005,169798,Eastern Michigan University,22401,1,12,5
2006,169798,Eastern Michigan University,22401,1,12,5
2007,169798,Eastern Michigan University,22401,1,12,5
2008,169798,Eastern Michigan University,22401,1,12,5
2009,169798,Eastern Michigan University,22401,1,12,5
2010,169798,Eastern Michigan University,22401,1,12,5
2011,169798,Eastern Michigan University,22401,1,12,5
2012,169798,Eastern Michigan University,22401,1,12,5
2013,169798,Eastern Michigan University,22401,1,12,5
2014,169798,Eastern Michigan University,22401,1,12,5
2001,169910,Ferris State University,14600,3,2,4
2002,169910,Ferris State University,14600,3,2,4
2003,169910,Ferris State University,14600,3,2,4
2004,169910,Ferris State University,14600,3,2,4
2005,169910,Ferris State University,14600,3,2,4
2006,169910,Ferris State University,14600,3,2,4
2007,169910,Ferris State University,14600,3,2,4
2008,169910,Ferris State University,14600,3,2,4
2009,169910,Ferris State University,14600,3,2,4
2010,169910,Ferris State University,14600,3,2,4
2011,169910,Ferris State University,14600,3,2,4
2012,169910,Ferris State University,14600,3,2,4
2013,169910,Ferris State University,14600,3,2,4
2014,169910,Ferris State University,14600,3,2,4
2001,170082,Grand Valley State University,25094,10,3,12
2002,170082,Grand Valley State University,25094,10,3,12
2003,170082,Grand Valley State University,25094,10,3,12
2004,170082,Grand Valley State University,25094,10,3,12
2005,170082,Grand Valley State University,25094,10,3,12
2006,170082,Grand Valley State University,25094,10,3,12
2007,170082,Grand Valley State University,25094,10,3,12
2008,170082,Grand Valley State University,25094,10,3,12
2009,170082,Grand Valley State University,25094,10,3,12
2010,170082,Grand Valley State University,25094,10,3,12
2011,170082,Grand Valley State University,25094,10,3,12
2012,170082,Grand Valley State University,25094,10,3,12
2013,170082,Grand Valley State University,25094,10,3,12
2014,170082,Grand Valley State University,25094,10,3,12
2001,170976,University of Michigan-Ann Arbor,43625,8,12,16
2002,170976,University of Michigan-Ann Arbor,43625,8,12,16
2003,170976,University of Michigan-Ann Arbor,43625,8,12,16
2004,170976,University of Michigan-Ann Arbor,43625,8,12,16
2005,170976,University of Michigan-Ann Arbor,43625,8,12,16
2006,170976,University of Michigan-Ann Arbor,43625,8,12,16
2007,170976,University of Michigan-Ann Arbor,43625,8,12,16
2008,170976,University of Michigan-Ann Arbor,43625,8,12,16
2009,170976,University of Michigan-Ann Arbor,43625,8,12,16
2010,170976,University of Michigan-Ann Arbor,43625,8,12,16
2011,170976,University of Michigan-Ann Arbor,43625,8,12,16
2012,170976,University of Michigan-Ann Arbor,43625,8,12,16
2013,170976,University of Michigan-Ann Arbor,43625,8,12,16
2014,170976,University of Michigan-Ann Arbor,43625,8,12,16
2001,171100,Michigan State University,50081,9,28,32
2002,171100,Michigan State University,50081,9,28,32
2003,171100,Michigan State University,50081,9,28,32
2004,171100,Michigan State University,50081,9,28,32
2005,171100,Michigan State University,50081,9,28,32
2006,171100,Michigan State University,50081,9,28,32
2007,171100,Michigan State University,50081,9,28,32
2008,171100,Michigan State University,50081,9,28,32
2009,171100,Michigan State University,50081,9,28,32
2010,171100,Michigan State University,50081,9,28,32
2011,171100,Michigan State University,50081,9,28,32
2012,171100,Michigan State University,50081,9,28,32
2013,171100,Michigan State University,50081,9,28,32
2014,171100,Michigan State University,50081,9,28,32
2001,171571,Oakland University,20519,1,6,6
2002,171571,Oakland University,20519,1,6,6
2003,171571,Oakland University,20519,1,6,6
2004,171571,Oakland University,20519,1,6,6
2005,171571,Oakland University,20519,1,6,6
2006,171571,Oakland University,20519,1,6,6
2007,171571,Oakland University,20519,1,6,6
2008,171571,Oakland University,20519,1,6,6
2009,171571,Oakland University,20519,1,6,6
2010,171571,Oakland University,20519,1,6,6
2011,171571,Oakland University,20519,1,6,6
2012,171571,Oakland University,20519,1,6,6
2013,171571,Oakland University,20519,1,6,6
2014,171571,Oakland University,20519,1,6,6
2001,172644,Wayne State University,27578,0,4,4
2002,172644,Wayne State University,27578,0,4,4
