Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2001,169248,Central Michigan University,27797,16,112,0,13,141
2002,169248,Central Michigan University,27919,26,572,0,13,611
2003,169248,Central Michigan University,27758,23,579,0,13,615
2004,169248,Central Michigan University,27683,13,625,0,13,651
2005,169248,Central Michigan University,27221,16,410,0,13,439
2006,169248,Central Michigan University,26710,16,563,0,13,592
2007,169248,Central Michigan University,26611,28,459,0,13,500
2008,169248,Central Michigan University,27225,43,538,0,13,594
2009,169248,Central Michigan University,27247,35,503,0,13,551
2010,169248,Central Michigan University,28292,19,606,0,13,638
2011,169248,Central Michigan University,28194,25,604,0,13,642
2012,169248,Central Michigan University,27626,20,419,0,13,452
2013,169248,Central Michigan University,26841,33,398,0,13,444
2014,169248,Central Michigan University,26879,21,598,0,13,632
2001,169798,Eastern Michigan University,24287,38,299,0,18,355
2002,169798,Eastern Michigan University,24532,58,199,0,18,275
2003,169798,Eastern Michigan University,24419,95,226,0,18,339
2004,169798,Eastern Michigan University,23862,65,218,0,18,301
2005,169798,Eastern Michigan University,23486,141,135,1,18,295
2006,169798,Eastern Michigan University,22950,129,111,1,18,259
2007,169798,Eastern Michigan University,22837,142,131,1,18,292
2008,169798,Eastern Michigan University,22032,61,136,0,18,215
2009,169798,Eastern Michigan University,22893,60,106,0,18,184
2010,169798,Eastern Michigan University,23565,46,281,4,18,349
2011,169798,Eastern Michigan University,23419,29,218,2,18,267
2012,169798,Eastern Michigan University,23518,40,154,2,18,214
2013,169798,Eastern Michigan University,23447,32,204,2,18,256
2014,169798,Eastern Michigan University,22401,42,264,0,18,324
2001,169910,Ferris State University,10930,40,559,0,9,608
2002,169910,Ferris State University,11074,24,609,0,9,642
2003,169910,Ferris State University,11821,22,751,0,9,782
2004,169910,Ferris State University,11803,15,401,0,9,425
2005,169910,Ferris State University,12547,22,256,0,9,287
2006,169910,Ferris State University,12574,22,244,0,9,275
2007,169910,Ferris State University,13087,28,397,0,9,434
2008,169910,Ferris State University,13532,28,438,0,9,475
2009,169910,Ferris State University,13865,28,329,0,9,366
2010,169910,Ferris State University,14381,23,325,0,9,357
2011,169910,Ferris State University,14560,19,410,0,9,438
