Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,125231,Walden University,2082,0,0,0
2002,125231,Walden University,4565,0,0,0
2003,125231,Walden University,8227,0,0,0
2010,125231,Walden University,47456,0,0,0
2011,125231,Walden University,48982,0,0,0
2012,125231,Walden University,50209,0,0,0
2013,125231,Walden University,51016,0,0,0
2014,125231,Walden University,52188,0,0,0
2001,173920,Minnesota State University-Mankato,13275,0,82,524
2002,173920,Minnesota State University-Mankato,13795,0,78,533
2003,173920,Minnesota State University-Mankato,14058,19,115,578
2004,173920,Minnesota State University-Mankato,14151,2,108,611
2005,173920,Minnesota State University-Mankato,14333,6,68,562
2006,173920,Minnesota State University-Mankato,14149,7,75,580
2007,173920,Minnesota State University-Mankato,14515,7,66,620
2008,173920,Minnesota State University-Mankato,14621,2,103,493
2009,173920,Minnesota State University-Mankato,14955,0,109,419
2010,173920,Minnesota State University-Mankato,15435,2,311,576
2011,173920,Minnesota State University-Mankato,15709,0,67,260
2012,173920,Minnesota State University-Mankato,15441,3,98,216
2013,173920,Minnesota State University-Mankato,15426,0,68,189
2014,173920,Minnesota State University-Mankato,15387,0,125,255
2001,174066,University of Minnesota-Twin Cities,46597,6,49,604
2002,174066,University of Minnesota-Twin Cities,48677,1,36,1030
2003,174066,University of Minnesota-Twin Cities,49474,1,89,886
2004,174066,University of Minnesota-Twin Cities,50954,4,81,1255
2005,174066,University of Minnesota-Twin Cities,51175,13,148,1470
2006,174066,University of Minnesota-Twin Cities,50402,0,94,1459
2007,174066,University of Minnesota-Twin Cities,50883,0,31,1447
2008,174066,University of Minnesota-Twin Cities,51140,0,75,1188
2009,174066,University of Minnesota-Twin Cities,51659,4,106,984
2010,174066,University of Minnesota-Twin Cities,51721,0,153,824
2011,174066,University of Minnesota-Twin Cities,52557,0,214,776
2012,174066,University of Minnesota-Twin Cities,51853,0,245,882
2013,174066,University of Minnesota-Twin Cities,51526,0,225,1145
2014,174066,University of Minnesota-Twin Cities,51147,0,265,1075
2001,174233,University of Minnesota-Duluth,9380,0,49,654
2002,174233,University of Minnesota-Duluth,9815,0,51,534
2003,174233,University of Minnesota-Duluth,10114,0,59,607
2004,174233,University of Minnesota-Duluth,10366,0,63,730
2005,174233,University of Minnesota-Duluth,10496,1,62,882
2006,174233,University of Minnesota-Duluth,11190,0,91,905
2007,174233,University of Minnesota-Duluth,11184,0,0,0
2008,174233,University of Minnesota-Duluth,11366,0,0,0
2009,174233,University of Minnesota-Duluth,11664,0,0,0
2010,174233,University of Minnesota-Duluth,11729,0,0,0
2011,174233,University of Minnesota-Duluth,11806,0,0,330
2012,174233,University of Minnesota-Duluth,11491,0,2,541
2013,174233,University of Minnesota-Duluth,11241,0,54,471
2014,174233,University of Minnesota-Duluth,11093,0,10,459
2001,174783,Saint Cloud State University,15920,0,22,327
2002,174783,Saint Cloud State University,16224,0,26,367
2003,174783,Saint Cloud State University,16133,0,35,291
2004,174783,Saint Cloud State University,16077,0,27,328
2005,174783,Saint Cloud State University,15954,0,27,303
2006,174783,Saint Cloud State University,16334,0,64,564
2007,174783,Saint Cloud State University,16940,0,90,944
2008,174783,Saint Cloud State University,17430,0,60,624
2009,174783,Saint Cloud State University,18123,0,49,629
2010,174783,Saint Cloud State University,18650,0,84,644
2011,174783,Saint Cloud State University,17604,0,138,510
2012,174783,Saint Cloud State University,16922,0,75,335
2013,174783,Saint Cloud State University,16765,1,120,241
2014,174783,Saint Cloud State University,16076,0,159,250
2001,174914,University of St Thomas,11473,11,55,455
2002,174914,University of St Thomas,11257,6,45,421
2003,174914,University of St Thomas,11037,4,25,430
2004,174914,University of St Thomas,10474,2,57,408
2005,174914,University of St Thomas,10641,0,47,471
2006,174914,University of St Thomas,10712,1,36,582
2007,174914,University of St Thomas,10984,0,32,504
2008,174914,University of St Thomas,10963,0,63,456
2009,174914,University of St Thomas,10851,0,71,451
2010,174914,University of St Thomas,10815,0,93,332
2011,174914,University of St Thomas,10506,0,56,330
2012,174914,University of St Thomas,10289,1,66,338
2013,174914,University of St Thomas,10192,2,65,405
2014,174914,University of St Thomas,10140,0,97,351
2004,413413,Capella University,12599,0,0,0
2005,413413,Capella University,13907,0,0,0
2006,413413,Capella University,17203,0,0,0
2007,413413,Capella University,21773,0,0,0
2009,413413,Capella University,31998,0,0,0
2010,413413,Capella University,39457,0,0,0
2011,413413,Capella University,36375,0,0,0
2012,413413,Capella University,35754,0,0,0
2013,413413,Capella University,34007,0,0,0
2014,413413,Capella University,35061,0,0,0
