Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,125231,Walden University,52188,0,0,0
2002,125231,Walden University,52188,0,0,0
2003,125231,Walden University,52188,0,0,0
2004,125231,Walden University,52188,0,0,0
2005,125231,Walden University,52188,0,0,0
2006,125231,Walden University,52188,0,0,0
2007,125231,Walden University,52188,0,0,0
2008,125231,Walden University,52188,0,0,0
2009,125231,Walden University,52188,0,0,0
2010,125231,Walden University,52188,0,0,0
2011,125231,Walden University,52188,0,0,0
2012,125231,Walden University,52188,0,0,0
2013,125231,Walden University,52188,0,0,0
2014,125231,Walden University,52188,0,0,0
2001,173920,Minnesota State University-Mankato,15387,4,5,14
2002,173920,Minnesota State University-Mankato,15387,4,5,14
2003,173920,Minnesota State University-Mankato,15387,4,5,14
2004,173920,Minnesota State University-Mankato,15387,4,5,14
2005,173920,Minnesota State University-Mankato,15387,4,5,14
2006,173920,Minnesota State University-Mankato,15387,4,5,14
2007,173920,Minnesota State University-Mankato,15387,4,5,14
2008,173920,Minnesota State University-Mankato,15387,4,5,14
2009,173920,Minnesota State University-Mankato,15387,4,5,14
2010,173920,Minnesota State University-Mankato,15387,4,5,14
2011,173920,Minnesota State University-Mankato,15387,4,5,14
2012,173920,Minnesota State University-Mankato,15387,4,5,14
2013,173920,Minnesota State University-Mankato,15387,4,5,14
2014,173920,Minnesota State University-Mankato,15387,4,5,14
2001,174066,University of Minnesota-Twin Cities,51147,3,4,7
2002,174066,University of Minnesota-Twin Cities,51147,3,4,7
2003,174066,University of Minnesota-Twin Cities,51147,3,4,7
2004,174066,University of Minnesota-Twin Cities,51147,3,4,7
2005,174066,University of Minnesota-Twin Cities,51147,3,4,7
2006,174066,University of Minnesota-Twin Cities,51147,3,4,7
2007,174066,University of Minnesota-Twin Cities,51147,3,4,7
2008,174066,University of Minnesota-Twin Cities,51147,3,4,7
2009,174066,University of Minnesota-Twin Cities,51147,3,4,7
2010,174066,University of Minnesota-Twin Cities,51147,3,4,7
2011,174066,University of Minnesota-Twin Cities,51147,3,4,7
2012,174066,University of Minnesota-Twin Cities,51147,3,4,7
2013,174066,University of Minnesota-Twin Cities,51147,3,4,7
2014,174066,University of Minnesota-Twin Cities,51147,3,4,7
2001,174233,University of Minnesota-Duluth,11093,0,3,7
2002,174233,University of Minnesota-Duluth,11093,0,3,7
2003,174233,University of Minnesota-Duluth,11093,0,3,7
2004,174233,University of Minnesota-Duluth,11093,0,3,7
2005,174233,University of Minnesota-Duluth,11093,0,3,7
2006,174233,University of Minnesota-Duluth,11093,0,3,7
2007,174233,University of Minnesota-Duluth,11093,0,3,7
2008,174233,University of Minnesota-Duluth,11093,0,3,7
2009,174233,University of Minnesota-Duluth,11093,0,3,7
2010,174233,University of Minnesota-Duluth,11093,0,3,7
2011,174233,University of Minnesota-Duluth,11093,0,3,7
2012,174233,University of Minnesota-Duluth,11093,0,3,7
2013,174233,University of Minnesota-Duluth,11093,0,3,7
2014,174233,University of Minnesota-Duluth,11093,0,3,7
2001,174783,Saint Cloud State University,16076,5,0,6
2002,174783,Saint Cloud State University,16076,5,0,6
2003,174783,Saint Cloud State University,16076,5,0,6
2004,174783,Saint Cloud State University,16076,5,0,6
2005,174783,Saint Cloud State University,16076,5,0,6
2006,174783,Saint Cloud State University,16076,5,0,6
2007,174783,Saint Cloud State University,16076,5,0,6
2008,174783,Saint Cloud State University,16076,5,0,6
2009,174783,Saint Cloud State University,16076,5,0,6
2010,174783,Saint Cloud State University,16076,5,0,6
2011,174783,Saint Cloud State University,16076,5,0,6
2012,174783,Saint Cloud State University,16076,5,0,6
2013,174783,Saint Cloud State University,16076,5,0,6
2014,174783,Saint Cloud State University,16076,5,0,6
2001,174914,University of St Thomas,10140,0,4,2
2002,174914,University of St Thomas,10140,0,4,2
2003,174914,University of St Thomas,10140,0,4,2
2004,174914,University of St Thomas,10140,0,4,2
2005,174914,University of St Thomas,10140,0,4,2
2006,174914,University of St Thomas,10140,0,4,2
2007,174914,University of St Thomas,10140,0,4,2
2008,174914,University of St Thomas,10140,0,4,2
2009,174914,University of St Thomas,10140,0,4,2
2010,174914,University of St Thomas,10140,0,4,2
2011,174914,University of St Thomas,10140,0,4,2
2012,174914,University of St Thomas,10140,0,4,2
2013,174914,University of St Thomas,10140,0,4,2
2014,174914,University of St Thomas,10140,0,4,2
2001,413413,Capella University,35061,0,0,0
2002,413413,Capella University,35061,0,0,0
2003,413413,Capella University,35061,0,0,0
2004,413413,Capella University,35061,0,0,0
2005,413413,Capella University,35061,0,0,0
2006,413413,Capella University,35061,0,0,0
2007,413413,Capella University,35061,0,0,0
2008,413413,Capella University,35061,0,0,0
2009,413413,Capella University,35061,0,0,0
2010,413413,Capella University,35061,0,0,0
2011,413413,Capella University,35061,0,0,0
2012,413413,Capella University,35061,0,0,0
2013,413413,Capella University,35061,0,0,0
2014,413413,Capella University,35061,0,0,0
