Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,176965,University of Central Missouri,10822,0,0,5,0,0,0,0,0,1,0,37,1,1
2002,176965,University of Central Missouri,10313,0,0,4,0,0,0,0,0,1,2,52,1,2
2003,176965,University of Central Missouri,10351,0,0,6,0,0,0,0,0,1,6,44,0,0
2004,176965,University of Central Missouri,10051,0,0,3,0,0,0,0,0,0,2,72,6,0
2005,176965,University of Central Missouri,10604,0,0,4,0,0,0,0,0,0,7,66,5,1
2006,176965,University of Central Missouri,10711,0,0,4,0,0,0,0,0,0,2,52,3,2
2007,176965,University of Central Missouri,10918,0,0,3,0,0,0,0,0,2,3,19,0,1
2008,176965,University of Central Missouri,11063,0,0,6,0,0,1,0,0,0,1,36,2,0
2009,176965,University of Central Missouri,11191,0,0,2,0,0,0,0,0,1,2,64,2,0
2010,176965,University of Central Missouri,11351,0,0,10,0,0,0,0,0,2,5,14,0,2
2011,176965,University of Central Missouri,11637,0,0,5,0,0,0,0,0,0,2,14,0,0
2012,176965,University of Central Missouri,11878,0,0,8,0,0,0,0,0,0,2,15,0,2
2013,176965,University of Central Missouri,12513,0,0,6,0,0,0,0,0,0,1,20,0,0
2014,176965,University of Central Missouri,13379,0,0,0,9,2,0,0,0,0,0,11,0,0
2001,177065,Columbia College,8564,0,0,1,0,0,0,0,0,0,0,0,0,2
2002,177065,Columbia College,8958,0,0,2,0,0,0,0,0,0,0,1,0,0
2003,177065,Columbia College,10146,0,0,0,0,0,0,0,0,0,0,2,0,0
2004,177065,Columbia College,11017,0,0,0,0,0,0,0,0,1,0,1,0,0
2005,177065,Columbia College,11792,0,0,0,0,0,0,0,0,1,0,0,0,0
2006,177065,Columbia College,12280,0,0,0,0,0,0,0,0,0,0,1,0,0
2007,177065,Columbia College,12954,0,0,0,0,0,0,0,0,0,0,3,0,0
2008,177065,Columbia College,14081,0,0,0,0,0,0,0,0,0,0,1,0,0
2009,177065,Columbia College,15556,0,0,0,0,0,0,0,0,0,0,1,0,0
2010,177065,Columbia College,16962,0,0,1,0,0,0,0,0,0,1,3,0,0
2011,177065,Columbia College,18091,0,0,1,0,0,0,0,0,0,0,0,2,0
2012,177065,Columbia College,17830,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,177065,Columbia College,16946,0,0,1,0,0,0,0,0,0,0,0,0,0
2014,177065,Columbia College,16567,0,0,0,0,0,0,0,0,0,0,1,1,0
2001,177968,Lindenwood University,6446,0,0,0,0,0,1,0,0,0,0,14,9,0
2002,177968,Lindenwood University,6939,0,0,0,0,0,1,0,0,0,0,5,0,0
2003,177968,Lindenwood University,7838,0,0,0,0,0,0,0,0,0,0,8,3,0
2004,177968,Lindenwood University,8615,0,0,0,0,0,0,0,0,0,0,17,0,0
2005,177968,Lindenwood University,9076,0,0,0,0,0,0,0,0,0,0,14,6,0
2006,177968,Lindenwood University,9525,0,0,0,0,0,0,0,0,0,2,14,4,0
2007,177968,Lindenwood University,9633,0,0,0,0,0,0,0,0,0,0,19,0,0
2008,177968,Lindenwood University,10074,0,0,0,0,0,0,0,0,1,1,20,0,0
2009,177968,Lindenwood University,10408,0,0,0,0,0,0,0,0,0,2,16,0,0
