Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,176965,University of Central Missouri,10822,2,34,240
2002,176965,University of Central Missouri,10313,0,15,161
2003,176965,University of Central Missouri,10351,1,52,51
2004,176965,University of Central Missouri,10051,3,25,204
2005,176965,University of Central Missouri,10604,0,36,304
2006,176965,University of Central Missouri,10711,0,16,435
2007,176965,University of Central Missouri,10918,0,36,220
2008,176965,University of Central Missouri,11063,0,38,129
2009,176965,University of Central Missouri,11191,5,20,388
2010,176965,University of Central Missouri,11351,2,33,158
2011,176965,University of Central Missouri,11637,4,60,188
2012,176965,University of Central Missouri,11878,2,82,401
2013,176965,University of Central Missouri,12513,1,61,205
2014,176965,University of Central Missouri,13379,0,73,197
2001,177065,Columbia College,8564,0,1,3
2002,177065,Columbia College,8958,0,1,20
2003,177065,Columbia College,10146,0,0,12
2004,177065,Columbia College,11017,0,2,37
2005,177065,Columbia College,11792,0,0,53
2006,177065,Columbia College,12280,0,2,26
2007,177065,Columbia College,12954,0,1,16
2008,177065,Columbia College,14081,1,1,16
2009,177065,Columbia College,15556,1,0,10
2010,177065,Columbia College,16962,0,8,2
2011,177065,Columbia College,18091,0,2,4
2012,177065,Columbia College,17830,0,0,7
2013,177065,Columbia College,16946,0,1,9
2014,177065,Columbia College,16567,0,0,5
2001,177968,Lindenwood University,6446,0,15,51
2002,177968,Lindenwood University,6939,0,19,28
2003,177968,Lindenwood University,7838,0,17,49
2004,177968,Lindenwood University,8615,0,5,20
2005,177968,Lindenwood University,9076,0,4,16
2006,177968,Lindenwood University,9525,0,2,20
2007,177968,Lindenwood University,9633,0,6,25
2008,177968,Lindenwood University,10074,0,12,22
2009,177968,Lindenwood University,10408,0,32,59
2010,177968,Lindenwood University,11345,0,31,47
2011,177968,Lindenwood University,11483,0,23,87
2012,177968,Lindenwood University,11904,3,15,72
2013,177968,Lindenwood University,12213,1,12,96
2014,177968,Lindenwood University,12151,3,48,141
2001,178396,University of Missouri-Columbia,23667,2,70,553
2002,178396,University of Missouri-Columbia,26124,6,72,348
2003,178396,University of Missouri-Columbia,26805,3,29,429
2004,178396,University of Missouri-Columbia,27003,0,0,656
2005,178396,University of Missouri-Columbia,27930,0,0,290
2006,178396,University of Missouri-Columbia,28184,0,0,496
2007,178396,University of Missouri-Columbia,28405,0,0,631
2008,178396,University of Missouri-Columbia,30130,0,0,430
2009,178396,University of Missouri-Columbia,31237,0,0,883
2010,178396,University of Missouri-Columbia,32341,0,1,848
2011,178396,University of Missouri-Columbia,33762,0,0,929
2012,178396,University of Missouri-Columbia,34704,0,0,679
2013,178396,University of Missouri-Columbia,34616,0,0,728
2014,178396,University of Missouri-Columbia,35425,0,0,1058
2001,178402,University of Missouri-Kansas City,12969,1,1,11
2002,178402,University of Missouri-Kansas City,13881,0,1,16
2003,178402,University of Missouri-Kansas City,14226,0,3,11
