Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,176965,University of Central Missouri,13379,7,5,2
2002,176965,University of Central Missouri,13379,7,5,2
2003,176965,University of Central Missouri,13379,7,5,2
2004,176965,University of Central Missouri,13379,7,5,2
2005,176965,University of Central Missouri,13379,7,5,2
2006,176965,University of Central Missouri,13379,7,5,2
2007,176965,University of Central Missouri,13379,7,5,2
2008,176965,University of Central Missouri,13379,7,5,2
2009,176965,University of Central Missouri,13379,7,5,2
2010,176965,University of Central Missouri,13379,7,5,2
2011,176965,University of Central Missouri,13379,7,5,2
2012,176965,University of Central Missouri,13379,7,5,2
2013,176965,University of Central Missouri,13379,7,5,2
2014,176965,University of Central Missouri,13379,7,5,2
2001,177065,Columbia College,16567,0,0,2
2002,177065,Columbia College,16567,0,0,2
2003,177065,Columbia College,16567,0,0,2
2004,177065,Columbia College,16567,0,0,2
2005,177065,Columbia College,16567,0,0,2
2006,177065,Columbia College,16567,0,0,2
2007,177065,Columbia College,16567,0,0,2
2008,177065,Columbia College,16567,0,0,2
2009,177065,Columbia College,16567,0,0,2
2010,177065,Columbia College,16567,0,0,2
2011,177065,Columbia College,16567,0,0,2
2012,177065,Columbia College,16567,0,0,2
2013,177065,Columbia College,16567,0,0,2
2014,177065,Columbia College,16567,0,0,2
2001,177968,Lindenwood University,12151,3,1,0
2002,177968,Lindenwood University,12151,3,1,0
2003,177968,Lindenwood University,12151,3,1,0
2004,177968,Lindenwood University,12151,3,1,0
2005,177968,Lindenwood University,12151,3,1,0
2006,177968,Lindenwood University,12151,3,1,0
2007,177968,Lindenwood University,12151,3,1,0
2008,177968,Lindenwood University,12151,3,1,0
2009,177968,Lindenwood University,12151,3,1,0
2010,177968,Lindenwood University,12151,3,1,0
2011,177968,Lindenwood University,12151,3,1,0
2012,177968,Lindenwood University,12151,3,1,0
2013,177968,Lindenwood University,12151,3,1,0
2014,177968,Lindenwood University,12151,3,1,0
2001,178396,University of Missouri-Columbia,35425,7,0,7
2002,178396,University of Missouri-Columbia,35425,7,0,7
2003,178396,University of Missouri-Columbia,35425,7,0,7
2004,178396,University of Missouri-Columbia,35425,7,0,7
2005,178396,University of Missouri-Columbia,35425,7,0,7
2006,178396,University of Missouri-Columbia,35425,7,0,7
2007,178396,University of Missouri-Columbia,35425,7,0,7
2008,178396,University of Missouri-Columbia,35425,7,0,7
2009,178396,University of Missouri-Columbia,35425,7,0,7
2010,178396,University of Missouri-Columbia,35425,7,0,7
2011,178396,University of Missouri-Columbia,35425,7,0,7
2012,178396,University of Missouri-Columbia,35425,7,0,7
2013,178396,University of Missouri-Columbia,35425,7,0,7
2014,178396,University of Missouri-Columbia,35425,7,0,7
2001,178402,University of Missouri-Kansas City,16146,2,0,8
2002,178402,University of Missouri-Kansas City,16146,2,0,8
2003,178402,University of Missouri-Kansas City,16146,2,0,8
2004,178402,University of Missouri-Kansas City,16146,2,0,8
2005,178402,University of Missouri-Kansas City,16146,2,0,8
2006,178402,University of Missouri-Kansas City,16146,2,0,8
2007,178402,University of Missouri-Kansas City,16146,2,0,8
2008,178402,University of Missouri-Kansas City,16146,2,0,8
2009,178402,University of Missouri-Kansas City,16146,2,0,8
2010,178402,University of Missouri-Kansas City,16146,2,0,8
2011,178402,University of Missouri-Kansas City,16146,2,0,8
2012,178402,University of Missouri-Kansas City,16146,2,0,8
2013,178402,University of Missouri-Kansas City,16146,2,0,8
2014,178402,University of Missouri-Kansas City,16146,2,0,8
