Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2001,176965,University of Central Missouri,10822,45,276,0,14,335
2002,176965,University of Central Missouri,10313,62,176,0,14,252
2003,176965,University of Central Missouri,10351,57,104,0,14,175
2004,176965,University of Central Missouri,10051,83,232,0,14,329
2005,176965,University of Central Missouri,10604,83,340,0,14,437
2006,176965,University of Central Missouri,10711,63,451,0,14,528
2007,176965,University of Central Missouri,10918,28,256,0,14,298
2008,176965,University of Central Missouri,11063,46,167,0,14,227
2009,176965,University of Central Missouri,11191,71,413,0,14,498
2010,176965,University of Central Missouri,11351,33,193,0,14,240
2011,176965,University of Central Missouri,11637,21,252,0,14,287
2012,176965,University of Central Missouri,11878,27,485,0,14,526
2013,176965,University of Central Missouri,12513,27,267,0,14,308
2014,176965,University of Central Missouri,13379,22,270,0,14,306
2001,177065,Columbia College,8564,3,4,0,2,9
2002,177065,Columbia College,8958,3,21,0,2,26
2003,177065,Columbia College,10146,2,12,0,2,16
2004,177065,Columbia College,11017,2,39,0,2,43
2005,177065,Columbia College,11792,1,53,0,2,56
2006,177065,Columbia College,12280,1,28,0,2,31
2007,177065,Columbia College,12954,3,17,0,2,22
2008,177065,Columbia College,14081,1,18,0,2,21
2009,177065,Columbia College,15556,1,11,0,2,14
2010,177065,Columbia College,16962,5,10,0,2,17
2011,177065,Columbia College,18091,3,6,0,2,11
2012,177065,Columbia College,17830,0,7,0,2,9
2013,177065,Columbia College,16946,1,10,0,2,13
2014,177065,Columbia College,16567,2,5,0,2,9
2001,177968,Lindenwood University,6446,24,66,0,4,94
2002,177968,Lindenwood University,6939,6,47,0,4,57
2003,177968,Lindenwood University,7838,11,66,0,4,81
2004,177968,Lindenwood University,8615,17,25,0,4,46
2005,177968,Lindenwood University,9076,20,20,0,4,44
2006,177968,Lindenwood University,9525,20,22,0,4,46
2007,177968,Lindenwood University,9633,19,31,0,4,54
2008,177968,Lindenwood University,10074,22,34,0,4,60
2009,177968,Lindenwood University,10408,18,91,0,4,113
2010,177968,Lindenwood University,11345,19,78,0,4,101
2011,177968,Lindenwood University,11483,15,110,0,4,129
2012,177968,Lindenwood University,11904,31,90,0,4,125
2013,177968,Lindenwood University,12213,26,109,0,4,139
