Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2009,160755,Tulane University of Louisiana,11464,0,0,0,0,0,0,0,0,0,0,0,8,0
2010,160755,Tulane University of Louisiana,12144,0,0,0,0,0,0,0,0,0,0,0,7,0
2011,160755,Tulane University of Louisiana,12845,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,160755,Tulane University of Louisiana,12958,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,160755,Tulane University of Louisiana,12938,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,160755,Tulane University of Louisiana,12603,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,176017,University of Mississippi,12626,0,0,0,0,0,0,0,0,0,2,15,1,4
2002,176017,University of Mississippi,13135,0,0,3,0,0,0,0,0,0,0,20,5,0
2003,176017,University of Mississippi,13780,0,0,2,0,0,0,0,0,0,0,9,2,0
2004,176017,University of Mississippi,14497,0,0,1,0,0,0,0,0,0,1,6,4,0
2005,176017,University of Mississippi,14901,0,0,1,0,0,0,0,0,0,4,5,4,0
2006,176017,University of Mississippi,15220,0,0,2,0,0,0,0,0,0,2,3,2,0
2007,176017,University of Mississippi,15129,0,0,0,0,0,0,0,0,0,0,10,1,0
2008,176017,University of Mississippi,15289,0,0,0,0,0,0,0,0,0,0,27,3,0
2009,176017,University of Mississippi,15932,0,0,1,0,0,0,0,0,0,0,25,2,0
2010,176017,University of Mississippi,17085,0,0,3,0,0,0,0,0,1,0,47,2,0
2011,176017,University of Mississippi,18224,0,0,4,0,0,0,0,0,1,1,44,0,0
2012,176017,University of Mississippi,18794,0,0,1,0,0,0,0,0,2,2,31,1,0
2013,176017,University of Mississippi,19431,0,0,5,0,0,0,0,0,3,2,21,6,0
2014,176017,University of Mississippi,22503,0,0,0,4,0,0,0,0,2,10,27,4,0
2001,176080,Mississippi State University,16878,0,0,0,0,0,2,0,0,0,1,33,1,0
2002,176080,Mississippi State University,16610,0,0,1,0,0,0,0,0,0,2,11,2,0
2003,176080,Mississippi State University,16173,0,0,0,0,0,0,0,0,1,1,46,4,0
2004,176080,Mississippi State University,15934,0,0,0,0,0,0,0,0,0,0,5,1,0
2005,176080,Mississippi State University,16101,0,0,0,0,0,0,0,0,1,1,9,0,0
2006,176080,Mississippi State University,16206,0,0,1,0,0,0,0,0,0,0,5,2,1
2007,176080,Mississippi State University,17039,0,0,1,0,0,0,0,0,0,4,14,5,0
2008,176080,Mississippi State University,17824,0,1,0,0,0,0,0,0,0,6,16,2,0
2009,176080,Mississippi State University,18601,0,0,1,0,0,0,0,0,1,1,34,5,0
2010,176080,Mississippi State University,19644,0,0,2,0,0,0,0,0,3,2,43,2,1
2011,176080,Mississippi State University,20424,0,0,1,0,0,0,0,0,0,1,56,2,1
2012,176080,Mississippi State University,20365,1,0,3,0,0,0,0,0,0,0,16,2,1
2013,176080,Mississippi State University,20161,0,0,4,0,0,0,0,0,3,1,5,3,0
2014,176080,Mississippi State University,20138,0,0,0,7,0,0,0,0,2,0,42,5,0
2001,176372,University of Southern Mississippi,15233,0,0,2,0,0,0,0,0,0,3,12,7,1
2002,176372,University of Southern Mississippi,15267,0,0,1,0,0,0,0,0,3,0,16,4,4
2003,176372,University of Southern Mississippi,15050,0,0,2,0,0,0,0,0,1,0,19,5,2
2004,176372,University of Southern Mississippi,15253,0,0,1,0,0,0,0,0,0,0,23,5,0
2005,176372,University of Southern Mississippi,15030,0,0,2,0,0,0,0,0,1,2,22,3,0
2006,176372,University of Southern Mississippi,14777,0,0,1,0,0,0,0,0,2,2,15,4,0
2007,176372,University of Southern Mississippi,14592,0,0,3,0,0,0,0,0,0,1,28,4,0
2008,176372,University of Southern Mississippi,14793,0,0,0,0,0,0,0,0,3,0,4,6,0
2009,176372,University of Southern Mississippi,15300,0,0,0,0,0,0,0,0,3,0,10,1,2
2010,176372,University of Southern Mississippi,15778,0,0,0,0,0,0,0,0,0,2,17,5,7
2011,176372,University of Southern Mississippi,16604,0,0,1,0,0,0,0,0,0,3,7,3,0
2012,176372,University of Southern Mississippi,16468,0,0,0,0,0,0,0,0,0,2,6,1,0
2013,176372,University of Southern Mississippi,15249,0,0,1,0,0,0,0,0,2,1,8,3,6
2014,176372,University of Southern Mississippi,14792,0,0,0,2,0,0,0,0,3,2,3,2,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0,0,0,0,0,0,0,0,0,0,0
