Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2009,160755,Tulane University of Louisiana,11464,0,0,0
2010,160755,Tulane University of Louisiana,12144,0,0,0
2011,160755,Tulane University of Louisiana,12845,0,0,0
2012,160755,Tulane University of Louisiana,12958,0,0,0
2013,160755,Tulane University of Louisiana,12938,0,0,0
2014,160755,Tulane University of Louisiana,12603,0,0,0
2001,176017,University of Mississippi,12626,0,2,32
2002,176017,University of Mississippi,13135,0,1,55
2003,176017,University of Mississippi,13780,0,0,70
2004,176017,University of Mississippi,14497,0,0,166
2005,176017,University of Mississippi,14901,0,0,189
2006,176017,University of Mississippi,15220,0,0,314
2007,176017,University of Mississippi,15129,0,1,38
2008,176017,University of Mississippi,15289,1,0,55
2009,176017,University of Mississippi,15932,0,3,55
2010,176017,University of Mississippi,17085,0,0,53
2011,176017,University of Mississippi,18224,0,0,81
2012,176017,University of Mississippi,18794,0,0,167
2013,176017,University of Mississippi,19431,0,5,157
2014,176017,University of Mississippi,22503,0,0,152
2001,176080,Mississippi State University,16878,0,8,10
2002,176080,Mississippi State University,16610,3,7,12
2003,176080,Mississippi State University,16173,1,0,2
2004,176080,Mississippi State University,15934,0,2,9
2005,176080,Mississippi State University,16101,1,4,16
2006,176080,Mississippi State University,16206,5,8,8
2007,176080,Mississippi State University,17039,10,11,21
2008,176080,Mississippi State University,17824,4,20,25
2009,176080,Mississippi State University,18601,0,21,22
2010,176080,Mississippi State University,19644,0,19,21
2011,176080,Mississippi State University,20424,0,7,14
2012,176080,Mississippi State University,20365,0,1,30
2013,176080,Mississippi State University,20161,1,22,47
2014,176080,Mississippi State University,20138,0,8,47
2001,176372,University of Southern Mississippi,15233,2,15,57
2002,176372,University of Southern Mississippi,15267,1,13,111
2003,176372,University of Southern Mississippi,15050,4,20,94
2004,176372,University of Southern Mississippi,15253,0,1,51
2005,176372,University of Southern Mississippi,15030,0,1,39
2006,176372,University of Southern Mississippi,14777,0,1,22
2007,176372,University of Southern Mississippi,14592,0,0,105
2008,176372,University of Southern Mississippi,14793,0,0,96
2009,176372,University of Southern Mississippi,15300,1,6,50
2010,176372,University of Southern Mississippi,15778,1,18,32
2011,176372,University of Southern Mississippi,16604,2,10,14
2012,176372,University of Southern Mississippi,16468,5,8,20
2013,176372,University of Southern Mississippi,15249,1,37,24
2014,176372,University of Southern Mississippi,14792,1,13,16
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
