Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,160755,Tulane University of Louisiana,12603,0,0,0
2002,160755,Tulane University of Louisiana,12603,0,0,0
2003,160755,Tulane University of Louisiana,12603,0,0,0
2004,160755,Tulane University of Louisiana,12603,0,0,0
2005,160755,Tulane University of Louisiana,12603,0,0,0
2006,160755,Tulane University of Louisiana,12603,0,0,0
2007,160755,Tulane University of Louisiana,12603,0,0,0
2008,160755,Tulane University of Louisiana,12603,0,0,0
2009,160755,Tulane University of Louisiana,12603,0,0,0
2010,160755,Tulane University of Louisiana,12603,0,0,0
2011,160755,Tulane University of Louisiana,12603,0,0,0
2012,160755,Tulane University of Louisiana,12603,0,0,0
2013,160755,Tulane University of Louisiana,12603,0,0,0
2014,160755,Tulane University of Louisiana,12603,0,0,0
2001,176017,University of Mississippi,22503,17,0,1
2002,176017,University of Mississippi,22503,17,0,1
2003,176017,University of Mississippi,22503,17,0,1
2004,176017,University of Mississippi,22503,17,0,1
2005,176017,University of Mississippi,22503,17,0,1
2006,176017,University of Mississippi,22503,17,0,1
2007,176017,University of Mississippi,22503,17,0,1
2008,176017,University of Mississippi,22503,17,0,1
2009,176017,University of Mississippi,22503,17,0,1
2010,176017,University of Mississippi,22503,17,0,1
2011,176017,University of Mississippi,22503,17,0,1
2012,176017,University of Mississippi,22503,17,0,1
2013,176017,University of Mississippi,22503,17,0,1
2014,176017,University of Mississippi,22503,17,0,1
2001,176080,Mississippi State University,20138,0,0,2
2002,176080,Mississippi State University,20138,0,0,2
2003,176080,Mississippi State University,20138,0,0,2
2004,176080,Mississippi State University,20138,0,0,2
2005,176080,Mississippi State University,20138,0,0,2
2006,176080,Mississippi State University,20138,0,0,2
2007,176080,Mississippi State University,20138,0,0,2
2008,176080,Mississippi State University,20138,0,0,2
2009,176080,Mississippi State University,20138,0,0,2
2010,176080,Mississippi State University,20138,0,0,2
2011,176080,Mississippi State University,20138,0,0,2
2012,176080,Mississippi State University,20138,0,0,2
2013,176080,Mississippi State University,20138,0,0,2
2014,176080,Mississippi State University,20138,0,0,2
2001,176372,University of Southern Mississippi,14792,6,0,10
2002,176372,University of Southern Mississippi,14792,6,0,10
2003,176372,University of Southern Mississippi,14792,6,0,10
2004,176372,University of Southern Mississippi,14792,6,0,10
2005,176372,University of Southern Mississippi,14792,6,0,10
2006,176372,University of Southern Mississippi,14792,6,0,10
2007,176372,University of Southern Mississippi,14792,6,0,10
2008,176372,University of Southern Mississippi,14792,6,0,10
2009,176372,University of Southern Mississippi,14792,6,0,10
2010,176372,University of Southern Mississippi,14792,6,0,10
2011,176372,University of Southern Mississippi,14792,6,0,10
2012,176372,University of Southern Mississippi,14792,6,0,10
2013,176372,University of Southern Mississippi,14792,6,0,10
2014,176372,University of Southern Mississippi,14792,6,0,10
2001,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2002,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2003,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2004,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2005,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2006,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2007,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
