Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2009,160755,Tulane University of Louisiana,11464,8,0,0,0,8
2010,160755,Tulane University of Louisiana,12144,7,0,0,0,7
2011,160755,Tulane University of Louisiana,12845,0,0,0,0,0
2012,160755,Tulane University of Louisiana,12958,1,0,0,0,1
2013,160755,Tulane University of Louisiana,12938,0,0,0,0,0
2014,160755,Tulane University of Louisiana,12603,0,0,0,0,0
2001,176017,University of Mississippi,12626,22,34,0,18,74
2002,176017,University of Mississippi,13135,28,56,0,18,102
2003,176017,University of Mississippi,13780,13,70,0,18,101
2004,176017,University of Mississippi,14497,12,166,0,18,196
2005,176017,University of Mississippi,14901,14,189,0,18,221
2006,176017,University of Mississippi,15220,9,314,0,18,341
2007,176017,University of Mississippi,15129,11,39,0,18,68
2008,176017,University of Mississippi,15289,30,56,0,18,104
2009,176017,University of Mississippi,15932,28,58,0,18,104
2010,176017,University of Mississippi,17085,53,53,0,18,124
2011,176017,University of Mississippi,18224,50,81,0,18,149
2012,176017,University of Mississippi,18794,37,167,0,18,222
2013,176017,University of Mississippi,19431,37,162,0,18,217
2014,176017,University of Mississippi,22503,47,152,2,18,219
2001,176080,Mississippi State University,16878,37,18,0,2,57
2002,176080,Mississippi State University,16610,16,22,0,2,40
2003,176080,Mississippi State University,16173,52,3,0,2,57
2004,176080,Mississippi State University,15934,6,11,0,2,19
2005,176080,Mississippi State University,16101,11,21,0,2,34
2006,176080,Mississippi State University,16206,9,21,0,2,32
2007,176080,Mississippi State University,17039,24,42,0,2,68
2008,176080,Mississippi State University,17824,25,49,0,2,76
2009,176080,Mississippi State University,18601,42,43,0,2,87
2010,176080,Mississippi State University,19644,53,40,0,2,95
2011,176080,Mississippi State University,20424,61,21,0,2,84
2012,176080,Mississippi State University,20365,23,31,0,2,56
2013,176080,Mississippi State University,20161,16,70,0,2,88
2014,176080,Mississippi State University,20138,56,55,0,2,113
2001,176372,University of Southern Mississippi,15233,25,74,0,16,115
2002,176372,University of Southern Mississippi,15267,28,125,1,16,170
2003,176372,University of Southern Mississippi,15050,29,118,0,16,163
2004,176372,University of Southern Mississippi,15253,29,52,0,16,97
2005,176372,University of Southern Mississippi,15030,30,40,0,16,86
2006,176372,University of Southern Mississippi,14777,24,23,0,16,63
2007,176372,University of Southern Mississippi,14592,36,105,0,16,157
2008,176372,University of Southern Mississippi,14793,13,96,0,16,125
2009,176372,University of Southern Mississippi,15300,16,57,0,16,89
2010,176372,University of Southern Mississippi,15778,31,51,0,16,98
2011,176372,University of Southern Mississippi,16604,14,26,0,16,56
2012,176372,University of Southern Mississippi,16468,9,33,0,16,58
2013,176372,University of Southern Mississippi,15249,21,62,0,16,99
2014,176372,University of Southern Mississippi,14792,12,30,0,16,58
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0,0,0
