Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,178721,Park University,9482,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,178721,Park University,10123,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,178721,Park University,11868,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,178721,Park University,12548,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,178721,Park University,13253,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,178721,Park University,13182,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,178721,Park University,13259,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,178721,Park University,12457,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,178721,Park University,12775,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,178721,Park University,12022,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,178721,Park University,11759,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,178721,Park University,11765,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,178721,Park University,10978,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,178721,Park University,10792,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,180461,Montana State University,11670,0,0,9,0,0,0,0,0,0,1,10,0,1
2002,180461,Montana State University,11841,0,0,11,0,0,2,0,0,0,2,10,1,3
2003,180461,Montana State University,12005,0,0,1,0,0,0,0,0,0,1,8,2,37
2004,180461,Montana State University,11913,0,0,10,0,0,0,0,0,0,0,3,5,1
2005,180461,Montana State University,12143,0,0,3,0,0,0,0,0,0,4,6,1,22
2006,180461,Montana State University,12052,0,0,7,0,0,0,0,0,0,0,11,2,25
2007,180461,Montana State University,11932,0,0,11,0,0,1,0,0,0,1,6,1,6
2008,180461,Montana State University,11976,0,0,6,0,0,0,0,0,0,1,7,2,7
2009,180461,Montana State University,12348,0,0,1,0,0,0,0,0,0,0,3,3,3
2010,180461,Montana State University,13081,0,0,3,0,0,0,0,0,2,1,14,0,0
2011,180461,Montana State University,13671,0,0,8,0,0,0,0,0,0,2,13,2,2
2012,180461,Montana State University,14269,0,0,2,0,0,0,0,0,0,2,18,0,18
2013,180461,Montana State University,14852,0,0,5,0,0,0,0,0,0,1,2,1,6
2014,180461,Montana State University,14982,0,0,0,6,3,0,0,0,0,0,4,1,3
2001,180489,The University of Montana,12645,0,0,1,0,0,0,0,0,1,4,7,0,0
2002,180489,The University of Montana,13026,0,0,0,0,0,0,0,0,1,7,29,6,0
2003,180489,The University of Montana,13313,0,0,1,0,0,1,0,0,0,1,7,1,0
2004,180489,The University of Montana,13558,0,0,1,0,0,0,0,0,0,5,9,3,1
2005,180489,The University of Montana,13569,0,0,0,0,0,0,0,0,0,1,16,1,0
2006,180489,The University of Montana,13925,0,0,0,0,0,0,0,0,1,0,2,1,0
2007,180489,The University of Montana,13628,0,0,0,0,0,0,0,0,0,0,2,0,1
2008,180489,The University of Montana,14207,0,0,2,0,0,0,0,0,1,1,2,4,0
2009,180489,The University of Montana,14921,0,0,4,0,0,0,0,0,2,3,4,2,0
2010,180489,The University of Montana,15642,0,0,7,0,0,0,0,0,0,3,1,0,5
2011,180489,The University of Montana,15669,0,0,9,0,0,0,0,0,1,5,5,3,1
2012,180489,The University of Montana,14946,0,0,8,0,0,0,0,0,1,6,6,3,1
2013,180489,The University of Montana,14525,0,0,9,0,0,0,0,0,0,3,5,5,0
2014,180489,The University of Montana,13952,0,0,0,5,1,0,0,0,0,2,14,3,1
