Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,178721,Park University,9482,0,0,0
2002,178721,Park University,10123,0,0,0
2003,178721,Park University,11868,0,0,0
2004,178721,Park University,12548,0,0,0
2005,178721,Park University,13253,0,0,0
2006,178721,Park University,13182,0,0,0
2007,178721,Park University,13259,0,0,0
2008,178721,Park University,12457,0,0,0
2009,178721,Park University,12775,0,0,0
2010,178721,Park University,12022,0,0,0
2011,178721,Park University,11759,0,0,0
2012,178721,Park University,11765,0,0,0
2013,178721,Park University,10978,0,0,0
2014,178721,Park University,10792,0,0,0
2001,180461,Montana State University,11670,1,2,450
2002,180461,Montana State University,11841,0,14,401
2003,180461,Montana State University,12005,0,19,320
2004,180461,Montana State University,11913,0,7,219
2005,180461,Montana State University,12143,5,6,202
2006,180461,Montana State University,12052,1,140,598
2007,180461,Montana State University,11932,0,13,480
2008,180461,Montana State University,11976,1,14,381
2009,180461,Montana State University,12348,0,49,344
2010,180461,Montana State University,13081,0,51,380
2011,180461,Montana State University,13671,0,71,410
2012,180461,Montana State University,14269,1,35,241
2013,180461,Montana State University,14852,0,67,128
2014,180461,Montana State University,14982,0,58,270
2001,180489,The University of Montana,12645,0,123,452
2002,180489,The University of Montana,13026,1,171,532
2003,180489,The University of Montana,13313,3,103,347
2004,180489,The University of Montana,13558,2,115,553
2005,180489,The University of Montana,13569,0,154,627
2006,180489,The University of Montana,13925,2,158,631
2007,180489,The University of Montana,13628,1,143,577
2008,180489,The University of Montana,14207,2,180,654
2009,180489,The University of Montana,14921,0,243,612
2010,180489,The University of Montana,15642,0,253,663
2011,180489,The University of Montana,15669,1,263,659
2012,180489,The University of Montana,14946,1,244,329
2013,180489,The University of Montana,14525,1,182,389
2014,180489,The University of Montana,13952,0,197,428
