Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,178721,Park University,10792,0,0,0
2002,178721,Park University,10792,0,0,0
2003,178721,Park University,10792,0,0,0
2004,178721,Park University,10792,0,0,0
2005,178721,Park University,10792,0,0,0
2006,178721,Park University,10792,0,0,0
2007,178721,Park University,10792,0,0,0
2008,178721,Park University,10792,0,0,0
2009,178721,Park University,10792,0,0,0
2010,178721,Park University,10792,0,0,0
2011,178721,Park University,10792,0,0,0
2012,178721,Park University,10792,0,0,0
2013,178721,Park University,10792,0,0,0
2014,178721,Park University,10792,0,0,0
2001,180461,Montana State University,14982,13,4,13
2002,180461,Montana State University,14982,13,4,13
2003,180461,Montana State University,14982,13,4,13
2004,180461,Montana State University,14982,13,4,13
2005,180461,Montana State University,14982,13,4,13
2006,180461,Montana State University,14982,13,4,13
2007,180461,Montana State University,14982,13,4,13
2008,180461,Montana State University,14982,13,4,13
2009,180461,Montana State University,14982,13,4,13
2010,180461,Montana State University,14982,13,4,13
2011,180461,Montana State University,14982,13,4,13
2012,180461,Montana State University,14982,13,4,13
2013,180461,Montana State University,14982,13,4,13
2014,180461,Montana State University,14982,13,4,13
2001,180489,The University of Montana,13952,11,0,3
2002,180489,The University of Montana,13952,11,0,3
2003,180489,The University of Montana,13952,11,0,3
2004,180489,The University of Montana,13952,11,0,3
2005,180489,The University of Montana,13952,11,0,3
2006,180489,The University of Montana,13952,11,0,3
2007,180489,The University of Montana,13952,11,0,3
2008,180489,The University of Montana,13952,11,0,3
2009,180489,The University of Montana,13952,11,0,3
2010,180489,The University of Montana,13952,11,0,3
2011,180489,The University of Montana,13952,11,0,3
2012,180489,The University of Montana,13952,11,0,3
2013,180489,The University of Montana,13952,11,0,3
2014,180489,The University of Montana,13952,11,0,3
