Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2001,178721,Park University,9482,0,0,0,0,0
2002,178721,Park University,10123,0,0,0,0,0
2003,178721,Park University,11868,0,0,0,0,0
2004,178721,Park University,12548,0,0,0,0,0
2005,178721,Park University,13253,0,0,0,0,0
2006,178721,Park University,13182,0,0,0,0,0
2007,178721,Park University,13259,0,0,0,0,0
2008,178721,Park University,12457,0,0,0,0,0
2009,178721,Park University,12775,0,0,0,0,0
2010,178721,Park University,12022,0,0,0,0,0
2011,178721,Park University,11759,0,0,0,0,0
2012,178721,Park University,11765,0,0,0,0,0
2013,178721,Park University,10978,0,0,0,0,0
2014,178721,Park University,10792,0,0,0,0,0
2001,180461,Montana State University,11670,21,453,0,30,504
2002,180461,Montana State University,11841,29,415,0,30,474
2003,180461,Montana State University,12005,49,339,0,30,418
2004,180461,Montana State University,11913,19,226,0,30,275
2005,180461,Montana State University,12143,36,213,0,30,279
2006,180461,Montana State University,12052,45,739,0,30,814
2007,180461,Montana State University,11932,26,493,0,30,549
2008,180461,Montana State University,11976,23,396,0,30,449
2009,180461,Montana State University,12348,10,393,0,30,433
2010,180461,Montana State University,13081,20,431,0,30,481
2011,180461,Montana State University,13671,27,481,0,30,538
2012,180461,Montana State University,14269,40,277,0,30,347
2013,180461,Montana State University,14852,15,195,4,30,244
2014,180461,Montana State University,14982,17,328,4,30,379
2001,180489,The University of Montana,12645,13,575,0,14,602
2002,180489,The University of Montana,13026,43,704,0,14,761
2003,180489,The University of Montana,13313,11,453,0,14,478
2004,180489,The University of Montana,13558,19,670,0,14,703
2005,180489,The University of Montana,13569,18,781,0,14,813
2006,180489,The University of Montana,13925,4,791,0,14,809
2007,180489,The University of Montana,13628,3,721,0,14,738
2008,180489,The University of Montana,14207,10,836,0,14,860
2009,180489,The University of Montana,14921,15,855,0,14,884
2010,180489,The University of Montana,15642,16,916,0,14,946
2011,180489,The University of Montana,15669,24,923,2,14,963
2012,180489,The University of Montana,14946,25,574,2,14,615
2013,180489,The University of Montana,14525,22,572,0,14,608
2014,180489,The University of Montana,13952,26,625,0,14,665
