Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,164988,Boston University,32112,0,0,0
2002,164988,Boston University,32112,0,0,0
2003,164988,Boston University,32112,0,0,0
2004,164988,Boston University,32112,0,0,0
2005,164988,Boston University,32112,0,0,0
2006,164988,Boston University,32112,0,0,0
2007,164988,Boston University,32112,0,0,0
2008,164988,Boston University,32112,0,0,0
2009,164988,Boston University,32112,0,0,0
2010,164988,Boston University,32112,0,0,0
2011,164988,Boston University,32112,0,0,0
2012,164988,Boston University,32112,0,0,0
2013,164988,Boston University,32112,0,0,0
2014,164988,Boston University,32112,0,0,0
2001,167358,Northeastern University,19798,0,0,0
2002,167358,Northeastern University,19798,0,0,0
2003,167358,Northeastern University,19798,0,0,0
2004,167358,Northeastern University,19798,0,0,0
2005,167358,Northeastern University,19798,0,0,0
2006,167358,Northeastern University,19798,0,0,0
2007,167358,Northeastern University,19798,0,0,0
2008,167358,Northeastern University,19798,0,0,0
2009,167358,Northeastern University,19798,0,0,0
2010,167358,Northeastern University,19798,0,0,0
2011,167358,Northeastern University,19798,0,0,0
2012,167358,Northeastern University,19798,0,0,0
2013,167358,Northeastern University,19798,0,0,0
2014,167358,Northeastern University,19798,0,0,0
2001,169248,Central Michigan University,26879,0,0,0
2002,169248,Central Michigan University,26879,0,0,0
2003,169248,Central Michigan University,26879,0,0,0
2004,169248,Central Michigan University,26879,0,0,0
2005,169248,Central Michigan University,26879,0,0,0
2006,169248,Central Michigan University,26879,0,0,0
2007,169248,Central Michigan University,26879,0,0,0
2008,169248,Central Michigan University,26879,0,0,0
2009,169248,Central Michigan University,26879,0,0,0
2010,169248,Central Michigan University,26879,0,0,0
2011,169248,Central Michigan University,26879,0,0,0
2012,169248,Central Michigan University,26879,0,0,0
2013,169248,Central Michigan University,26879,0,0,0
2014,169248,Central Michigan University,26879,0,0,0
2001,178721,Park University,10792,0,0,0
2002,178721,Park University,10792,0,0,0
2003,178721,Park University,10792,0,0,0
2004,178721,Park University,10792,0,0,0
2005,178721,Park University,10792,0,0,0
2006,178721,Park University,10792,0,0,0
2007,178721,Park University,10792,0,0,0
2008,178721,Park University,10792,0,0,0
2009,178721,Park University,10792,0,0,0
2010,178721,Park University,10792,0,0,0
2011,178721,Park University,10792,0,0,0
2012,178721,Park University,10792,0,0,0
2013,178721,Park University,10792,0,0,0
2014,178721,Park University,10792,0,0,0
2001,179894,Webster University,16769,0,0,0
2002,179894,Webster University,16769,0,0,0
2003,179894,Webster University,16769,0,0,0
2004,179894,Webster University,16769,0,0,0
2005,179894,Webster University,16769,0,0,0
2006,179894,Webster University,16769,0,0,0
2007,179894,Webster University,16769,0,0,0
2008,179894,Webster University,16769,0,0,0
2009,179894,Webster University,16769,0,0,0
2010,179894,Webster University,16769,0,0,0
2011,179894,Webster University,16769,0,0,0
2012,179894,Webster University,16769,0,0,0
2013,179894,Webster University,16769,0,0,0
2014,179894,Webster University,16769,0,0,0
2001,197869,Appalachian State University,18026,0,7,5
2002,197869,Appalachian State University,18026,0,7,5
2003,197869,Appalachian State University,18026,0,7,5
2004,197869,Appalachian State University,18026,0,7,5
2005,197869,Appalachian State University,18026,0,7,5
2006,197869,Appalachian State University,18026,0,7,5
2007,197869,Appalachian State University,18026,0,7,5
2008,197869,Appalachian State University,18026,0,7,5
2009,197869,Appalachian State University,18026,0,7,5
2010,197869,Appalachian State University,18026,0,7,5
2011,197869,Appalachian State University,18026,0,7,5
2012,197869,Appalachian State University,18026,0,7,5
2013,197869,Appalachian State University,18026,0,7,5
2014,197869,Appalachian State University,18026,0,7,5
2001,198419,Duke University,15856,3,6,3
2002,198419,Duke University,15856,3,6,3
2003,198419,Duke University,15856,3,6,3
2004,198419,Duke University,15856,3,6,3
2005,198419,Duke University,15856,3,6,3
2006,198419,Duke University,15856,3,6,3
2007,198419,Duke University,15856,3,6,3
2008,198419,Duke University,15856,3,6,3
2009,198419,Duke University,15856,3,6,3
2010,198419,Duke University,15856,3,6,3
2011,198419,Duke University,15856,3,6,3
2012,198419,Duke University,15856,3,6,3
2013,198419,Duke University,15856,3,6,3
2014,198419,Duke University,15856,3,6,3
2001,198464,East Carolina University,27511,2,3,8
2002,198464,East Carolina University,27511,2,3,8
2003,198464,East Carolina University,27511,2,3,8
2004,198464,East Carolina University,27511,2,3,8
2005,198464,East Carolina University,27511,2,3,8
2006,198464,East Carolina University,27511,2,3,8
2007,198464,East Carolina University,27511,2,3,8
2008,198464,East Carolina University,27511,2,3,8
2009,198464,East Carolina University,27511,2,3,8
2010,198464,East Carolina University,27511,2,3,8
2011,198464,East Carolina University,27511,2,3,8
2012,198464,East Carolina University,27511,2,3,8
2013,198464,East Carolina University,27511,2,3,8
2014,198464,East Carolina University,27511,2,3,8
2001,199102,North Carolina A & T State University,10725,0,9,0
2002,199102,North Carolina A & T State University,10725,0,9,0
2003,199102,North Carolina A & T State University,10725,0,9,0
2004,199102,North Carolina A & T State University,10725,0,9,0
2005,199102,North Carolina A & T State University,10725,0,9,0
2006,199102,North Carolina A & T State University,10725,0,9,0
2007,199102,North Carolina A & T State University,10725,0,9,0
2008,199102,North Carolina A & T State University,10725,0,9,0
