Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2014,169248,Central Michigan University,26879,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,178721,Park University,9482,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,178721,Park University,10123,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,178721,Park University,11868,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,178721,Park University,12548,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,178721,Park University,13253,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,178721,Park University,13182,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,178721,Park University,13259,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,178721,Park University,12457,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,178721,Park University,12775,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,178721,Park University,12022,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,178721,Park University,11759,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,178721,Park University,11765,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,178721,Park University,10978,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,178721,Park University,10792,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,200280,University of North Dakota,11764,0,0,5,0,0,0,0,0,0,1,9,6,0
2002,200280,University of North Dakota,12423,0,0,4,0,0,0,0,0,1,1,16,9,2
2003,200280,University of North Dakota,13034,0,0,6,0,0,0,0,0,0,3,10,4,1
2004,200280,University of North Dakota,13187,0,0,2,0,0,0,0,0,0,1,32,8,1
2005,200280,University of North Dakota,12954,0,0,2,0,0,0,0,0,0,2,16,6,0
2006,200280,University of North Dakota,12834,0,0,1,0,0,0,0,0,0,1,17,2,0
2007,200280,University of North Dakota,12559,0,0,2,0,0,0,0,0,0,0,4,2,0
2008,200280,University of North Dakota,12748,0,0,2,0,0,0,0,0,0,0,10,2,0
2009,200280,University of North Dakota,13172,0,0,1,0,0,0,0,0,0,3,17,0,0
2010,200280,University of North Dakota,14194,0,0,5,0,0,0,0,0,0,0,6,1,1
2011,200280,University of North Dakota,14697,0,0,8,0,0,0,0,0,0,0,2,4,1
2012,200280,University of North Dakota,15250,0,0,7,0,0,0,0,0,0,1,19,0,3
2013,200280,University of North Dakota,15143,0,0,5,0,0,0,0,0,0,2,16,0,2
2014,200280,University of North Dakota,14906,0,0,0,1,1,0,0,0,0,2,8,0,1
2001,200332,North Dakota State University-Main Campus,10534,0,0,1,0,0,0,0,0,1,0,7,0,1
2002,200332,North Dakota State University-Main Campus,11146,0,0,2,0,0,0,0,0,0,1,32,0,4
2003,200332,North Dakota State University-Main Campus,11623,0,0,3,0,0,0,0,0,0,1,26,0,1
2004,200332,North Dakota State University-Main Campus,12026,0,0,4,0,0,0,0,0,1,10,15,0,1
2005,200332,North Dakota State University-Main Campus,12099,0,0,0,0,0,0,0,0,0,1,18,0,0
2006,200332,North Dakota State University-Main Campus,12258,0,0,3,0,0,0,0,0,1,0,17,1,2
2007,200332,North Dakota State University-Main Campus,12527,0,0,1,0,0,1,0,0,0,0,13,3,0
2008,200332,North Dakota State University-Main Campus,13230,0,0,3,0,0,0,0,0,0,2,18,2,0
2009,200332,North Dakota State University-Main Campus,14189,0,0,0,0,0,0,0,0,0,2,9,3,0
2010,200332,North Dakota State University-Main Campus,14407,0,0,2,0,0,0,0,0,0,1,11,2,0
2011,200332,North Dakota State University-Main Campus,14399,0,0,1,0,0,0,0,0,0,0,7,2,0
2012,200332,North Dakota State University-Main Campus,14443,0,0,7,0,0,0,0,0,0,1,6,1,1
2013,200332,North Dakota State University-Main Campus,14629,0,0,1,0,0,0,0,0,0,0,12,1,0
2014,200332,North Dakota State University-Main Campus,14747,0,0,0,4,0,0,0,0,0,0,4,0,6
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0,0,0,0,0,0,0,0,0,0,0
