Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2014,169248,Central Michigan University,26879,0,0,0
2001,178721,Park University,9482,0,0,0
2002,178721,Park University,10123,0,0,0
2003,178721,Park University,11868,0,0,0
2004,178721,Park University,12548,0,0,0
2005,178721,Park University,13253,0,0,0
2006,178721,Park University,13182,0,0,0
2007,178721,Park University,13259,0,0,0
2008,178721,Park University,12457,0,0,0
2009,178721,Park University,12775,0,0,0
2010,178721,Park University,12022,0,0,0
2011,178721,Park University,11759,0,0,0
2012,178721,Park University,11765,0,0,0
2013,178721,Park University,10978,0,0,0
2014,178721,Park University,10792,0,0,0
2001,200280,University of North Dakota,11764,0,2,281
2002,200280,University of North Dakota,12423,0,10,407
2003,200280,University of North Dakota,13034,0,8,586
2004,200280,University of North Dakota,13187,0,9,665
2005,200280,University of North Dakota,12954,0,10,633
2006,200280,University of North Dakota,12834,0,17,507
2007,200280,University of North Dakota,12559,0,9,373
2008,200280,University of North Dakota,12748,0,0,184
2009,200280,University of North Dakota,13172,0,2,516
2010,200280,University of North Dakota,14194,0,8,696
2011,200280,University of North Dakota,14697,0,52,454
2012,200280,University of North Dakota,15250,1,33,463
2013,200280,University of North Dakota,15143,1,26,446
2014,200280,University of North Dakota,14906,2,23,211
2001,200332,North Dakota State University-Main Campus,10534,1,7,243
2002,200332,North Dakota State University-Main Campus,11146,1,12,342
2003,200332,North Dakota State University-Main Campus,11623,2,7,301
2004,200332,North Dakota State University-Main Campus,12026,1,10,394
2005,200332,North Dakota State University-Main Campus,12099,6,9,299
2006,200332,North Dakota State University-Main Campus,12258,7,6,344
2007,200332,North Dakota State University-Main Campus,12527,1,22,172
2008,200332,North Dakota State University-Main Campus,13230,2,9,291
2009,200332,North Dakota State University-Main Campus,14189,0,16,371
2010,200332,North Dakota State University-Main Campus,14407,12,29,410
2011,200332,North Dakota State University-Main Campus,14399,5,18,311
2012,200332,North Dakota State University-Main Campus,14443,1,4,135
2013,200332,North Dakota State University-Main Campus,14629,0,14,174
2014,200332,North Dakota State University-Main Campus,14747,0,4,165
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
