Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2014,169248,Central Michigan University,26879,0,0,0,0,0
2001,178721,Park University,9482,0,0,0,0,0
2002,178721,Park University,10123,0,0,0,0,0
2003,178721,Park University,11868,0,0,0,0,0
2004,178721,Park University,12548,0,0,0,0,0
2005,178721,Park University,13253,0,0,0,0,0
2006,178721,Park University,13182,0,0,0,0,0
2007,178721,Park University,13259,0,0,0,0,0
2008,178721,Park University,12457,0,0,0,0,0
2009,178721,Park University,12775,0,0,0,0,0
2010,178721,Park University,12022,0,0,0,0,0
2011,178721,Park University,11759,0,0,0,0,0
2012,178721,Park University,11765,0,0,0,0,0
2013,178721,Park University,10978,0,0,0,0,0
2014,178721,Park University,10792,0,0,0,0,0
2001,200280,University of North Dakota,11764,21,283,0,10,314
2002,200280,University of North Dakota,12423,33,417,0,10,460
2003,200280,University of North Dakota,13034,24,594,0,10,628
2004,200280,University of North Dakota,13187,44,674,1,10,729
2005,200280,University of North Dakota,12954,26,643,0,10,679
2006,200280,University of North Dakota,12834,21,524,0,10,555
2007,200280,University of North Dakota,12559,8,382,0,10,400
2008,200280,University of North Dakota,12748,14,184,0,10,208
2009,200280,University of North Dakota,13172,21,518,0,10,549
2010,200280,University of North Dakota,14194,13,704,0,10,727
2011,200280,University of North Dakota,14697,15,506,0,10,531
2012,200280,University of North Dakota,15250,30,497,0,10,537
2013,200280,University of North Dakota,15143,25,473,0,10,508
2014,200280,University of North Dakota,14906,13,236,0,10,259
2001,200332,North Dakota State University-Main Campus,10534,10,251,0,4,265
2002,200332,North Dakota State University-Main Campus,11146,39,355,0,4,398
2003,200332,North Dakota State University-Main Campus,11623,31,310,0,4,345
2004,200332,North Dakota State University-Main Campus,12026,31,405,0,4,440
2005,200332,North Dakota State University-Main Campus,12099,19,314,0,4,337
2006,200332,North Dakota State University-Main Campus,12258,24,357,0,4,385
2007,200332,North Dakota State University-Main Campus,12527,18,195,0,4,217
2008,200332,North Dakota State University-Main Campus,13230,25,302,0,4,331
2009,200332,North Dakota State University-Main Campus,14189,14,387,0,4,405
2010,200332,North Dakota State University-Main Campus,14407,16,451,0,4,471
2011,200332,North Dakota State University-Main Campus,14399,10,334,0,4,348
2012,200332,North Dakota State University-Main Campus,14443,16,140,0,4,160
2013,200332,North Dakota State University-Main Campus,14629,14,188,0,4,206
2014,200332,North Dakota State University-Main Campus,14747,14,169,0,4,187
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0,0,0
