Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,181394,University of Nebraska at Omaha,14143,0,0,0,0,0,0,0,0,0,1,1,1,0
2002,181394,University of Nebraska at Omaha,14451,0,0,0,0,0,0,0,0,0,0,0,5,0
2003,181394,University of Nebraska at Omaha,13997,0,0,1,0,0,0,0,0,0,0,7,4,0
2004,181394,University of Nebraska at Omaha,13824,0,0,0,0,0,0,0,0,0,0,8,6,0
2005,181394,University of Nebraska at Omaha,14093,0,0,0,0,0,0,0,0,0,0,7,2,0
2006,181394,University of Nebraska at Omaha,13906,0,0,2,0,0,0,0,0,0,0,2,3,0
2007,181394,University of Nebraska at Omaha,14156,0,0,2,0,0,0,0,0,0,0,1,8,0
2008,181394,University of Nebraska at Omaha,14213,0,0,1,0,0,0,0,0,0,1,1,1,0
2009,181394,University of Nebraska at Omaha,14620,0,0,1,0,0,0,0,0,0,0,6,0,0
2010,181394,University of Nebraska at Omaha,14665,0,0,1,0,0,0,0,0,0,0,5,2,0
2011,181394,University of Nebraska at Omaha,14712,0,0,1,0,0,0,0,0,3,0,9,5,0
2012,181394,University of Nebraska at Omaha,14786,0,0,3,0,0,0,0,0,1,0,3,3,0
2013,181394,University of Nebraska at Omaha,15227,0,0,0,0,0,0,0,0,1,4,6,3,0
2014,181394,University of Nebraska at Omaha,15227,0,0,0,0,1,0,0,0,0,0,1,3,0
2001,181464,University of Nebraska-Lincoln,22764,0,0,0,0,0,0,0,0,0,0,79,2,2
2002,181464,University of Nebraska-Lincoln,22988,0,0,0,0,0,0,0,0,2,2,56,4,4
2003,181464,University of Nebraska-Lincoln,22559,0,0,1,0,0,0,0,0,0,1,73,2,0
2004,181464,University of Nebraska-Lincoln,21792,0,0,0,0,0,0,0,0,2,0,82,3,1
2005,181464,University of Nebraska-Lincoln,21675,0,0,1,0,0,0,0,0,1,0,55,4,1
2006,181464,University of Nebraska-Lincoln,22106,0,0,1,0,0,0,0,0,0,1,30,8,1
2007,181464,University of Nebraska-Lincoln,22973,0,0,0,0,0,0,0,0,0,0,15,5,1
2008,181464,University of Nebraska-Lincoln,23573,0,0,0,0,0,0,0,0,1,0,13,3,1
2009,181464,University of Nebraska-Lincoln,24100,0,0,1,0,0,0,0,0,0,1,7,1,0
2010,181464,University of Nebraska-Lincoln,24610,0,0,2,0,0,0,0,0,1,1,7,2,1
2011,181464,University of Nebraska-Lincoln,24593,0,0,3,0,0,0,0,0,0,1,7,3,1
2012,181464,University of Nebraska-Lincoln,24207,0,0,3,0,0,0,0,0,2,2,15,0,2
2013,181464,University of Nebraska-Lincoln,24445,0,0,4,0,0,0,0,0,2,6,19,3,4
2014,181464,University of Nebraska-Lincoln,25006,0,0,0,8,2,0,0,0,0,3,14,1,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0,0,0,0,0,0,0,0,0,0,0
