Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,181394,University of Nebraska at Omaha,14143,0,4,7
2002,181394,University of Nebraska at Omaha,14451,0,4,6
2003,181394,University of Nebraska at Omaha,13997,0,3,14
2004,181394,University of Nebraska at Omaha,13824,0,3,4
2005,181394,University of Nebraska at Omaha,14093,0,19,49
2006,181394,University of Nebraska at Omaha,13906,0,10,57
2007,181394,University of Nebraska at Omaha,14156,0,10,113
2008,181394,University of Nebraska at Omaha,14213,0,14,146
2009,181394,University of Nebraska at Omaha,14620,0,26,99
2010,181394,University of Nebraska at Omaha,14665,0,34,111
2011,181394,University of Nebraska at Omaha,14712,0,57,115
2012,181394,University of Nebraska at Omaha,14786,0,15,116
2013,181394,University of Nebraska at Omaha,15227,0,48,94
2014,181394,University of Nebraska at Omaha,15227,1,48,96
2001,181464,University of Nebraska-Lincoln,22764,1,45,260
2002,181464,University of Nebraska-Lincoln,22988,0,28,331
2003,181464,University of Nebraska-Lincoln,22559,3,36,361
2004,181464,University of Nebraska-Lincoln,21792,8,44,503
2005,181464,University of Nebraska-Lincoln,21675,1,24,311
2006,181464,University of Nebraska-Lincoln,22106,2,16,445
2007,181464,University of Nebraska-Lincoln,22973,0,13,421
2008,181464,University of Nebraska-Lincoln,23573,4,26,416
2009,181464,University of Nebraska-Lincoln,24100,3,51,474
2010,181464,University of Nebraska-Lincoln,24610,4,62,367
2011,181464,University of Nebraska-Lincoln,24593,0,13,216
2012,181464,University of Nebraska-Lincoln,24207,2,41,392
2013,181464,University of Nebraska-Lincoln,24445,2,112,371
2014,181464,University of Nebraska-Lincoln,25006,1,123,331
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
