Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,181394,University of Nebraska at Omaha,15227,1,2,0
2002,181394,University of Nebraska at Omaha,15227,1,2,0
2003,181394,University of Nebraska at Omaha,15227,1,2,0
2004,181394,University of Nebraska at Omaha,15227,1,2,0
2005,181394,University of Nebraska at Omaha,15227,1,2,0
2006,181394,University of Nebraska at Omaha,15227,1,2,0
2007,181394,University of Nebraska at Omaha,15227,1,2,0
2008,181394,University of Nebraska at Omaha,15227,1,2,0
2009,181394,University of Nebraska at Omaha,15227,1,2,0
2010,181394,University of Nebraska at Omaha,15227,1,2,0
2011,181394,University of Nebraska at Omaha,15227,1,2,0
2012,181394,University of Nebraska at Omaha,15227,1,2,0
2013,181394,University of Nebraska at Omaha,15227,1,2,0
2014,181394,University of Nebraska at Omaha,15227,1,2,0
2001,181464,University of Nebraska-Lincoln,25006,2,2,8
2002,181464,University of Nebraska-Lincoln,25006,2,2,8
2003,181464,University of Nebraska-Lincoln,25006,2,2,8
2004,181464,University of Nebraska-Lincoln,25006,2,2,8
2005,181464,University of Nebraska-Lincoln,25006,2,2,8
2006,181464,University of Nebraska-Lincoln,25006,2,2,8
2007,181464,University of Nebraska-Lincoln,25006,2,2,8
2008,181464,University of Nebraska-Lincoln,25006,2,2,8
2009,181464,University of Nebraska-Lincoln,25006,2,2,8
2010,181464,University of Nebraska-Lincoln,25006,2,2,8
2011,181464,University of Nebraska-Lincoln,25006,2,2,8
2012,181464,University of Nebraska-Lincoln,25006,2,2,8
2013,181464,University of Nebraska-Lincoln,25006,2,2,8
2014,181464,University of Nebraska-Lincoln,25006,2,2,8
2001,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2002,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2003,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2004,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2005,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2006,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2007,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
