Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2001,181394,University of Nebraska at Omaha,14143,3,11,0,3,17
2002,181394,University of Nebraska at Omaha,14451,5,10,0,3,18
2003,181394,University of Nebraska at Omaha,13997,12,17,0,3,32
2004,181394,University of Nebraska at Omaha,13824,14,7,0,3,24
2005,181394,University of Nebraska at Omaha,14093,9,68,0,3,80
2006,181394,University of Nebraska at Omaha,13906,7,67,0,3,77
2007,181394,University of Nebraska at Omaha,14156,11,123,0,3,137
2008,181394,University of Nebraska at Omaha,14213,4,160,0,3,167
2009,181394,University of Nebraska at Omaha,14620,7,125,0,3,135
2010,181394,University of Nebraska at Omaha,14665,8,145,0,3,156
2011,181394,University of Nebraska at Omaha,14712,18,172,0,3,193
2012,181394,University of Nebraska at Omaha,14786,10,131,0,3,144
2013,181394,University of Nebraska at Omaha,15227,14,142,0,3,159
2014,181394,University of Nebraska at Omaha,15227,5,145,0,3,153
2001,181464,University of Nebraska-Lincoln,22764,83,306,0,12,401
2002,181464,University of Nebraska-Lincoln,22988,68,359,0,12,439
2003,181464,University of Nebraska-Lincoln,22559,77,400,0,12,489
2004,181464,University of Nebraska-Lincoln,21792,88,555,0,12,655
2005,181464,University of Nebraska-Lincoln,21675,62,336,0,12,410
2006,181464,University of Nebraska-Lincoln,22106,41,463,0,12,516
2007,181464,University of Nebraska-Lincoln,22973,21,434,0,12,467
2008,181464,University of Nebraska-Lincoln,23573,18,446,0,12,476
2009,181464,University of Nebraska-Lincoln,24100,10,528,0,12,550
2010,181464,University of Nebraska-Lincoln,24610,14,433,6,12,465
2011,181464,University of Nebraska-Lincoln,24593,15,229,0,12,256
2012,181464,University of Nebraska-Lincoln,24207,24,435,0,12,471
2013,181464,University of Nebraska-Lincoln,24445,38,485,0,12,535
2014,181464,University of Nebraska-Lincoln,25006,28,455,4,12,499
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0,0,0
