Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,183026,Southern New Hampshire University,5584,0,0,3,0,0,0,0,0,0,0,0,0,0
2002,183026,Southern New Hampshire University,6026,0,0,0,0,0,0,0,0,0,0,3,0,1
2003,183026,Southern New Hampshire University,5952,0,0,6,0,0,0,0,0,0,0,4,0,2
2004,183026,Southern New Hampshire University,6352,0,0,4,0,0,0,0,0,0,1,7,0,3
2005,183026,Southern New Hampshire University,6186,0,0,1,0,0,0,0,0,0,0,5,0,1
2006,183026,Southern New Hampshire University,6305,0,0,3,0,0,0,0,0,0,2,4,0,1
2007,183026,Southern New Hampshire University,6439,0,0,3,0,0,0,0,0,0,0,1,0,1
2008,183026,Southern New Hampshire University,6991,0,0,2,0,0,0,0,0,0,2,0,0,0
2009,183026,Southern New Hampshire University,7119,0,0,2,0,0,0,0,0,0,0,0,0,0
2010,183026,Southern New Hampshire University,8034,0,0,2,0,0,0,0,0,0,0,5,0,1
2011,183026,Southern New Hampshire University,11851,0,0,0,0,0,0,0,0,0,1,4,0,0
2012,183026,Southern New Hampshire University,17454,0,0,2,0,0,0,0,0,1,4,3,0,0
2013,183026,Southern New Hampshire University,28389,0,0,6,0,0,0,0,0,1,1,7,0,0
2014,183026,Southern New Hampshire University,43274,0,0,0,6,0,0,0,0,0,2,3,0,2
2001,183044,University of New Hampshire-Main Campus,14766,0,0,13,0,0,0,0,0,0,0,18,1,2
2002,183044,University of New Hampshire-Main Campus,15407,0,0,3,0,0,0,0,0,0,0,14,1,2
2003,183044,University of New Hampshire-Main Campus,15586,0,0,5,0,0,0,0,0,0,0,17,0,1
2004,183044,University of New Hampshire-Main Campus,14370,0,0,10,0,0,0,0,0,0,1,24,1,1
2005,183044,University of New Hampshire-Main Campus,14511,0,0,6,0,0,0,0,0,0,0,21,0,4
2006,183044,University of New Hampshire-Main Campus,14811,0,0,7,0,0,0,0,0,0,7,19,0,2
2007,183044,University of New Hampshire-Main Campus,15005,0,0,8,0,0,0,0,0,0,0,18,0,2
2008,183044,University of New Hampshire-Main Campus,14898,0,0,8,0,0,0,0,0,2,2,4,8,3
2009,183044,University of New Hampshire-Main Campus,15253,0,0,10,0,0,0,0,0,1,6,5,3,2
2010,183044,University of New Hampshire-Main Campus,15095,0,0,12,0,0,0,0,0,1,4,8,3,1
2011,183044,University of New Hampshire-Main Campus,15128,0,0,18,0,0,0,0,0,1,8,9,6,1
2012,183044,University of New Hampshire-Main Campus,15267,0,0,20,0,0,0,0,0,1,6,7,0,3
2013,183044,University of New Hampshire-Main Campus,14913,0,0,15,0,0,0,0,0,0,3,17,1,5
2014,183044,University of New Hampshire-Main Campus,15117,0,0,0,19,2,0,0,0,0,7,10,1,1
