Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,183026,Southern New Hampshire University,5584,0,35,271
2002,183026,Southern New Hampshire University,6026,0,26,267
2003,183026,Southern New Hampshire University,5952,0,39,264
2004,183026,Southern New Hampshire University,6352,0,41,439
2005,183026,Southern New Hampshire University,6186,0,38,431
2006,183026,Southern New Hampshire University,6305,1,20,397
2007,183026,Southern New Hampshire University,6439,1,40,376
2008,183026,Southern New Hampshire University,6991,0,36,442
2009,183026,Southern New Hampshire University,7119,0,59,389
2010,183026,Southern New Hampshire University,8034,0,60,523
2011,183026,Southern New Hampshire University,11851,0,88,383
2012,183026,Southern New Hampshire University,17454,0,45,501
2013,183026,Southern New Hampshire University,28389,0,43,414
2014,183026,Southern New Hampshire University,43274,0,17,258
2001,183044,University of New Hampshire-Main Campus,14766,8,22,355
2002,183044,University of New Hampshire-Main Campus,15407,1,34,400
2003,183044,University of New Hampshire-Main Campus,15586,7,40,623
2004,183044,University of New Hampshire-Main Campus,14370,0,27,518
2005,183044,University of New Hampshire-Main Campus,14511,7,35,382
2006,183044,University of New Hampshire-Main Campus,14811,5,22,358
2007,183044,University of New Hampshire-Main Campus,15005,1,21,453
2008,183044,University of New Hampshire-Main Campus,14898,0,37,410
2009,183044,University of New Hampshire-Main Campus,15253,1,33,341
2010,183044,University of New Hampshire-Main Campus,15095,1,42,339
2011,183044,University of New Hampshire-Main Campus,15128,0,35,380
2012,183044,University of New Hampshire-Main Campus,15267,0,31,359
2013,183044,University of New Hampshire-Main Campus,14913,0,25,325
2014,183044,University of New Hampshire-Main Campus,15117,0,15,356
