Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,183026,Southern New Hampshire University,43274,0,4,0
2002,183026,Southern New Hampshire University,43274,0,4,0
2003,183026,Southern New Hampshire University,43274,0,4,0
2004,183026,Southern New Hampshire University,43274,0,4,0
2005,183026,Southern New Hampshire University,43274,0,4,0
2006,183026,Southern New Hampshire University,43274,0,4,0
2007,183026,Southern New Hampshire University,43274,0,4,0
2008,183026,Southern New Hampshire University,43274,0,4,0
2009,183026,Southern New Hampshire University,43274,0,4,0
2010,183026,Southern New Hampshire University,43274,0,4,0
2011,183026,Southern New Hampshire University,43274,0,4,0
2012,183026,Southern New Hampshire University,43274,0,4,0
2013,183026,Southern New Hampshire University,43274,0,4,0
2014,183026,Southern New Hampshire University,43274,0,4,0
2001,183044,University of New Hampshire-Main Campus,15117,4,5,6
2002,183044,University of New Hampshire-Main Campus,15117,4,5,6
2003,183044,University of New Hampshire-Main Campus,15117,4,5,6
2004,183044,University of New Hampshire-Main Campus,15117,4,5,6
2005,183044,University of New Hampshire-Main Campus,15117,4,5,6
2006,183044,University of New Hampshire-Main Campus,15117,4,5,6
2007,183044,University of New Hampshire-Main Campus,15117,4,5,6
2008,183044,University of New Hampshire-Main Campus,15117,4,5,6
2009,183044,University of New Hampshire-Main Campus,15117,4,5,6
2010,183044,University of New Hampshire-Main Campus,15117,4,5,6
2011,183044,University of New Hampshire-Main Campus,15117,4,5,6
2012,183044,University of New Hampshire-Main Campus,15117,4,5,6
2013,183044,University of New Hampshire-Main Campus,15117,4,5,6
2014,183044,University of New Hampshire-Main Campus,15117,4,5,6
