Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2001,183026,Southern New Hampshire University,5584,3,306,0,4,313
2002,183026,Southern New Hampshire University,6026,4,293,0,4,301
2003,183026,Southern New Hampshire University,5952,12,303,0,4,319
2004,183026,Southern New Hampshire University,6352,15,480,0,4,499
2005,183026,Southern New Hampshire University,6186,7,469,0,4,480
2006,183026,Southern New Hampshire University,6305,10,418,0,4,432
2007,183026,Southern New Hampshire University,6439,5,417,0,4,426
2008,183026,Southern New Hampshire University,6991,4,478,0,4,486
2009,183026,Southern New Hampshire University,7119,2,448,0,4,454
2010,183026,Southern New Hampshire University,8034,8,583,0,4,595
2011,183026,Southern New Hampshire University,11851,5,471,0,4,480
2012,183026,Southern New Hampshire University,17454,10,546,0,4,560
2013,183026,Southern New Hampshire University,28389,15,457,0,4,476
2014,183026,Southern New Hampshire University,43274,13,275,0,4,292
2001,183044,University of New Hampshire-Main Campus,14766,34,385,0,15,434
2002,183044,University of New Hampshire-Main Campus,15407,20,435,0,15,470
2003,183044,University of New Hampshire-Main Campus,15586,23,670,0,15,708
2004,183044,University of New Hampshire-Main Campus,14370,37,545,0,15,597
2005,183044,University of New Hampshire-Main Campus,14511,31,424,0,15,470
2006,183044,University of New Hampshire-Main Campus,14811,35,385,0,15,435
2007,183044,University of New Hampshire-Main Campus,15005,28,475,0,15,518
2008,183044,University of New Hampshire-Main Campus,14898,27,447,0,15,489
2009,183044,University of New Hampshire-Main Campus,15253,27,375,0,15,417
2010,183044,University of New Hampshire-Main Campus,15095,29,382,0,15,426
2011,183044,University of New Hampshire-Main Campus,15128,43,415,0,15,473
2012,183044,University of New Hampshire-Main Campus,15267,37,390,0,15,442
2013,183044,University of New Hampshire-Main Campus,14913,41,350,0,15,406
2014,183044,University of New Hampshire-Main Campus,15117,40,371,0,15,426
