Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2008,131113,Wilmington University,9133,0,0,1,0,0,0,0,0,0,0,0,0,0
2009,131113,Wilmington University,9650,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,131113,Wilmington University,10101,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,131113,Wilmington University,10848,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,131113,Wilmington University,12581,0,0,0,0,0,0,0,0,0,0,2,0,0
2013,131113,Wilmington University,13621,0,0,1,0,0,0,0,0,0,0,0,0,0
2014,131113,Wilmington University,14467,0,0,0,0,0,0,0,0,0,0,2,0,0
2014,169248,Central Michigan University,26879,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,184782,Rowan University,9788,0,0,4,0,0,0,0,0,1,1,3,1,0
2002,184782,Rowan University,9685,0,0,3,0,0,0,0,0,1,0,9,1,1
2003,184782,Rowan University,9667,0,0,2,0,0,0,0,0,2,4,14,0,0
2004,184782,Rowan University,9688,0,0,3,0,0,0,0,0,0,2,9,2,0
2005,184782,Rowan University,9762,0,0,6,0,0,0,0,0,2,0,13,3,0
2006,184782,Rowan University,9578,0,0,2,0,0,0,0,0,3,0,21,5,0
2007,184782,Rowan University,10091,1,0,1,0,0,0,0,0,2,3,15,0,1
2008,184782,Rowan University,10270,0,0,3,0,0,0,0,0,3,2,24,2,1
2009,184782,Rowan University,11006,0,0,0,0,0,0,0,0,1,2,11,2,0
2010,184782,Rowan University,11300,0,0,1,0,0,0,0,0,0,3,12,2,0
2011,184782,Rowan University,11786,0,0,3,0,0,0,0,0,1,2,13,0,0
2012,184782,Rowan University,12183,0,0,3,0,0,0,0,0,0,4,15,1,0
2013,184782,Rowan University,13349,0,0,7,0,0,0,0,0,1,3,16,1,0
2014,184782,Rowan University,14778,0,0,0,7,3,0,0,0,1,3,23,1,1
2001,185262,Kean University,12094,0,0,0,0,0,0,0,0,2,6,11,25,1
2002,185262,Kean University,12779,0,0,2,0,0,0,0,0,0,1,10,14,0
2003,185262,Kean University,12978,0,0,6,0,0,0,0,0,0,0,7,10,0
2004,185262,Kean University,12897,0,0,5,0,0,0,0,0,0,3,12,4,0
2005,185262,Kean University,12958,0,0,4,0,0,0,0,0,0,4,9,3,2
2006,185262,Kean University,13050,0,0,5,0,0,0,0,0,2,4,9,3,0
