Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2008,131113,Wilmington University,9133,0,0,0
2009,131113,Wilmington University,9650,0,0,0
2010,131113,Wilmington University,10101,0,0,0
2011,131113,Wilmington University,10848,0,0,0
2012,131113,Wilmington University,12581,0,0,0
2013,131113,Wilmington University,13621,0,0,0
2014,131113,Wilmington University,14467,0,0,0
2014,169248,Central Michigan University,26879,0,0,0
2001,184782,Rowan University,9788,0,27,112
2002,184782,Rowan University,9685,3,14,109
2003,184782,Rowan University,9667,0,25,198
2004,184782,Rowan University,9688,9,33,304
2005,184782,Rowan University,9762,0,41,314
2006,184782,Rowan University,9578,0,62,280
2007,184782,Rowan University,10091,0,29,309
2008,184782,Rowan University,10270,0,33,361
2009,184782,Rowan University,11006,3,44,314
2010,184782,Rowan University,11300,5,52,340
2011,184782,Rowan University,11786,0,51,477
2012,184782,Rowan University,12183,0,29,440
2013,184782,Rowan University,13349,0,31,331
2014,184782,Rowan University,14778,3,54,411
2001,185262,Kean University,12094,0,10,75
2002,185262,Kean University,12779,0,30,92
2003,185262,Kean University,12978,0,28,121
2004,185262,Kean University,12897,2,55,101
2005,185262,Kean University,12958,2,13,124
2006,185262,Kean University,13050,2,3,45
2007,185262,Kean University,13394,2,22,72
2008,185262,Kean University,14203,0,8,21
2009,185262,Kean University,15051,1,29,35
2010,185262,Kean University,15939,0,25,33
2011,185262,Kean University,16187,1,24,86
2012,185262,Kean University,15391,1,8,175
2013,185262,Kean University,14404,0,44,89
2014,185262,Kean University,14359,0,36,113
2001,185590,Montclair State University,13855,0,8,40
2002,185590,Montclair State University,14673,0,0,0
2003,185590,Montclair State University,15204,0,0,0
2004,185590,Montclair State University,15637,0,0,0
2005,185590,Montclair State University,16063,0,0,0
2006,185590,Montclair State University,16076,0,2,7
2007,185590,Montclair State University,16736,1,2,2
2008,185590,Montclair State University,17475,0,16,0
2009,185590,Montclair State University,18171,1,4,2
2010,185590,Montclair State University,18402,0,2,0
2011,185590,Montclair State University,18498,0,1,2
2012,185590,Montclair State University,18382,0,2,2
2013,185590,Montclair State University,19464,0,3,4
2014,185590,Montclair State University,20022,0,4,3
2001,185828,New Jersey Institute of Technology,8862,0,0,8
2002,185828,New Jersey Institute of Technology,8828,0,11,14
2003,185828,New Jersey Institute of Technology,8770,0,6,2
2004,185828,New Jersey Institute of Technology,8249,0,7,9
2005,185828,New Jersey Institute of Technology,8058,0,6,48
2006,185828,New Jersey Institute of Technology,8209,0,13,13
2007,185828,New Jersey Institute of Technology,8288,0,9,42
2008,185828,New Jersey Institute of Technology,8398,0,23,16
2009,185828,New Jersey Institute of Technology,8840,0,6,17
2010,185828,New Jersey Institute of Technology,8934,0,21,14
2011,185828,New Jersey Institute of Technology,9558,1,19,13
2012,185828,New Jersey Institute of Technology,9944,0,5,2
2013,185828,New Jersey Institute of Technology,10130,0,9,17
2014,185828,New Jersey Institute of Technology,10646,0,15,30
2001,186380,Rutgers University-New Brunswick,35650,0,68,249
2002,186380,Rutgers University-New Brunswick,35886,1,83,268
2003,186380,Rutgers University-New Brunswick,35318,1,54,202
2004,186380,Rutgers University-New Brunswick,34696,1,56,437
2005,186380,Rutgers University-New Brunswick,34449,0,35,228
2006,186380,Rutgers University-New Brunswick,34392,0,33,369
2007,186380,Rutgers University-New Brunswick,34804,0,11,399
2008,186380,Rutgers University-New Brunswick,36041,0,19,987
2009,186380,Rutgers University-New Brunswick,37366,2,156,941
2010,186380,Rutgers University-New Brunswick,38912,0,134,1031
2011,186380,Rutgers University-New Brunswick,39950,0,105,792
2012,186380,Rutgers University-New Brunswick,40434,0,0,632
2013,186380,Rutgers University-New Brunswick,48036,0,0,694
2014,186380,Rutgers University-New Brunswick,48378,5,104,689
2001,186399,Rutgers University-Newark,9602,1,2,13
2002,186399,Rutgers University-Newark,10346,0,1,39
2003,186399,Rutgers University-Newark,10465,0,10,27
2004,186399,Rutgers University-Newark,10293,0,2,32
2005,186399,Rutgers University-Newark,10246,0,0,75
2006,186399,Rutgers University-Newark,10203,0,8,102
2007,186399,Rutgers University-Newark,10553,2,13,200
2008,186399,Rutgers University-Newark,11032,0,5,105
2009,186399,Rutgers University-Newark,11501,0,8,28
2010,186399,Rutgers University-Newark,11798,1,12,49
2011,186399,Rutgers University-Newark,11804,0,13,58
2012,186399,Rutgers University-Newark,12011,0,36,83
2013,186399,Rutgers University-Newark,11212,0,27,62
2014,186399,Rutgers University-Newark,11314,0,25,64
2001,187046,Thomas Edison State College,8335,0,0,0
2002,187046,Thomas Edison State College,9225,0,0,0
2003,187046,Thomas Edison State College,10233,0,0,0
2004,187046,Thomas Edison State College,11000,0,0,0
2005,187046,Thomas Edison State College,11224,0,0,0
2006,187046,Thomas Edison State College,13173,0,0,0
2007,187046,Thomas Edison State College,16423,0,0,0
2008,187046,Thomas Edison State College,17369,0,0,0
2009,187046,Thomas Edison State College,18206,0,0,0
2010,187046,Thomas Edison State College,18736,0,0,0
2011,187046,Thomas Edison State College,20251,0,0,0
2012,187046,Thomas Edison State College,20606,0,0,0
2013,187046,Thomas Edison State College,20877,0,0,0
2014,187046,Thomas Edison State College,21495,0,0,0
2001,187444,William Paterson University of New Jersey,10466,1,11,2
2002,187444,William Paterson University of New Jersey,10924,0,12,8
2003,187444,William Paterson University of New Jersey,11210,0,59,28
