Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2014,131113,Wilmington University,14467,0,0,0
2014,169248,Central Michigan University,26879,0,0,0
2014,184782,Rowan University,14778,11,14,2
2014,185262,Kean University,14359,0,6,0
2014,185590,Montclair State University,20022,11,4,3
2014,185828,New Jersey Institute of Technology,10646,3,0,3
2014,186380,Rutgers University-New Brunswick,48378,68,0,6
2014,186399,Rutgers University-Newark,11314,12,0,1
2014,187046,Thomas Edison State College,21495,0,0,0
2014,187444,William Paterson University of New Jersey,11048,0,17,0
2014,212054,Drexel University,26359,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
