Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,178721,Park University,9482,0,0,0
2002,178721,Park University,10123,0,0,0
2003,178721,Park University,11868,0,0,0
2004,178721,Park University,12548,0,0,0
2005,178721,Park University,13253,0,0,0
2006,178721,Park University,13182,0,0,0
2007,178721,Park University,13259,0,0,0
2008,178721,Park University,12457,0,0,0
2009,178721,Park University,12775,0,0,0
2010,178721,Park University,12022,0,0,0
2011,178721,Park University,11759,0,0,0
2012,178721,Park University,11765,0,0,0
2013,178721,Park University,10978,0,0,0
2014,178721,Park University,10792,0,0,0
2001,187985,University of New Mexico-Main Campus,23753,7,47,198
2002,187985,University of New Mexico-Main Campus,24593,0,36,174
2003,187985,University of New Mexico-Main Campus,25686,3,43,224
2004,187985,University of New Mexico-Main Campus,26242,0,61,286
2005,187985,University of New Mexico-Main Campus,26172,4,67,182
2006,187985,University of New Mexico-Main Campus,25721,4,42,301
2007,187985,University of New Mexico-Main Campus,25672,0,42,267
2008,187985,University of New Mexico-Main Campus,25754,0,53,225
2009,187985,University of New Mexico-Main Campus,27241,1,49,202
2010,187985,University of New Mexico-Main Campus,28688,2,46,105
2011,187985,University of New Mexico-Main Campus,28977,2,72,220
2012,187985,University of New Mexico-Main Campus,29033,0,74,269
2013,187985,University of New Mexico-Main Campus,28592,2,73,281
2014,187985,University of New Mexico-Main Campus,27844,1,138,281
2001,188030,New Mexico State University-Main Campus,15224,10,85,201
2002,188030,New Mexico State University-Main Campus,15243,4,44,128
2003,188030,New Mexico State University-Main Campus,16174,0,46,187
2004,188030,New Mexico State University-Main Campus,16428,2,31,153
2005,188030,New Mexico State University-Main Campus,16072,4,45,209
2006,188030,New Mexico State University-Main Campus,16415,10,49,161
2007,188030,New Mexico State University-Main Campus,16722,0,43,277
2008,188030,New Mexico State University-Main Campus,17239,6,53,217
2009,188030,New Mexico State University-Main Campus,18526,4,214,426
2010,188030,New Mexico State University-Main Campus,18600,9,84,237
2011,188030,New Mexico State University-Main Campus,18024,3,60,137
2012,188030,New Mexico State University-Main Campus,17651,6,104,150
2013,188030,New Mexico State University-Main Campus,16765,1,94,128
2014,188030,New Mexico State University-Main Campus,15829,0,28,84
2001,228246,Southern Methodist University,10266,0,0,0
2002,228246,Southern Methodist University,10955,0,0,8
2003,228246,Southern Methodist University,11161,0,0,7
2004,228246,Southern Methodist University,10901,0,0,0
2005,228246,Southern Methodist University,11152,0,0,0
2006,228246,Southern Methodist University,10941,0,0,0
2007,228246,Southern Methodist University,10829,0,0,0
2008,228246,Southern Methodist University,10965,0,11,7
2009,228246,Southern Methodist University,10891,0,11,5
2010,228246,Southern Methodist University,10938,0,0,1
2011,228246,Southern Methodist University,10982,0,0,0
2012,228246,Southern Methodist University,10893,0,4,1
2013,228246,Southern Methodist University,10929,0,0,0
2014,228246,Southern Methodist University,11272,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
