Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,178721,Park University,10792,0,0,0
2002,178721,Park University,10792,0,0,0
2003,178721,Park University,10792,0,0,0
2004,178721,Park University,10792,0,0,0
2005,178721,Park University,10792,0,0,0
2006,178721,Park University,10792,0,0,0
2007,178721,Park University,10792,0,0,0
2008,178721,Park University,10792,0,0,0
2009,178721,Park University,10792,0,0,0
2010,178721,Park University,10792,0,0,0
2011,178721,Park University,10792,0,0,0
2012,178721,Park University,10792,0,0,0
2013,178721,Park University,10792,0,0,0
2014,178721,Park University,10792,0,0,0
2001,187985,University of New Mexico-Main Campus,27844,15,1,28
2002,187985,University of New Mexico-Main Campus,27844,15,1,28
2003,187985,University of New Mexico-Main Campus,27844,15,1,28
2004,187985,University of New Mexico-Main Campus,27844,15,1,28
2005,187985,University of New Mexico-Main Campus,27844,15,1,28
2006,187985,University of New Mexico-Main Campus,27844,15,1,28
2007,187985,University of New Mexico-Main Campus,27844,15,1,28
2008,187985,University of New Mexico-Main Campus,27844,15,1,28
2009,187985,University of New Mexico-Main Campus,27844,15,1,28
2010,187985,University of New Mexico-Main Campus,27844,15,1,28
2011,187985,University of New Mexico-Main Campus,27844,15,1,28
2012,187985,University of New Mexico-Main Campus,27844,15,1,28
2013,187985,University of New Mexico-Main Campus,27844,15,1,28
2014,187985,University of New Mexico-Main Campus,27844,15,1,28
2001,188030,New Mexico State University-Main Campus,15829,23,0,1
2002,188030,New Mexico State University-Main Campus,15829,23,0,1
2003,188030,New Mexico State University-Main Campus,15829,23,0,1
2004,188030,New Mexico State University-Main Campus,15829,23,0,1
2005,188030,New Mexico State University-Main Campus,15829,23,0,1
2006,188030,New Mexico State University-Main Campus,15829,23,0,1
2007,188030,New Mexico State University-Main Campus,15829,23,0,1
2008,188030,New Mexico State University-Main Campus,15829,23,0,1
2009,188030,New Mexico State University-Main Campus,15829,23,0,1
2010,188030,New Mexico State University-Main Campus,15829,23,0,1
2011,188030,New Mexico State University-Main Campus,15829,23,0,1
2012,188030,New Mexico State University-Main Campus,15829,23,0,1
2013,188030,New Mexico State University-Main Campus,15829,23,0,1
2014,188030,New Mexico State University-Main Campus,15829,23,0,1
2001,228246,Southern Methodist University,11272,0,0,0
2002,228246,Southern Methodist University,11272,0,0,0
2003,228246,Southern Methodist University,11272,0,0,0
2004,228246,Southern Methodist University,11272,0,0,0
2005,228246,Southern Methodist University,11272,0,0,0
2006,228246,Southern Methodist University,11272,0,0,0
2007,228246,Southern Methodist University,11272,0,0,0
2008,228246,Southern Methodist University,11272,0,0,0
2009,228246,Southern Methodist University,11272,0,0,0
2010,228246,Southern Methodist University,11272,0,0,0
2011,228246,Southern Methodist University,11272,0,0,0
2012,228246,Southern Methodist University,11272,0,0,0
2013,228246,Southern Methodist University,11272,0,0,0
2014,228246,Southern Methodist University,11272,0,0,0
2001,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2002,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2003,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2004,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2005,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2006,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2007,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
