Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2001,178721,Park University,9482,0,0,0,0,0
2002,178721,Park University,10123,0,0,0,0,0
2003,178721,Park University,11868,0,0,0,0,0
2004,178721,Park University,12548,0,0,0,0,0
2005,178721,Park University,13253,0,0,0,0,0
2006,178721,Park University,13182,0,0,0,0,0
2007,178721,Park University,13259,0,0,0,0,0
2008,178721,Park University,12457,0,0,0,0,0
2009,178721,Park University,12775,0,0,0,0,0
2010,178721,Park University,12022,0,0,0,0,0
2011,178721,Park University,11759,0,0,0,0,0
2012,178721,Park University,11765,0,0,0,0,0
2013,178721,Park University,10978,0,0,0,0,0
2014,178721,Park University,10792,0,0,0,0,0
2001,187985,University of New Mexico-Main Campus,23753,202,252,0,44,498
2002,187985,University of New Mexico-Main Campus,24593,170,210,0,44,424
2003,187985,University of New Mexico-Main Campus,25686,129,270,0,44,443
2004,187985,University of New Mexico-Main Campus,26242,88,347,0,44,479
2005,187985,University of New Mexico-Main Campus,26172,120,253,0,44,417
2006,187985,University of New Mexico-Main Campus,25721,141,347,0,44,532
2007,187985,University of New Mexico-Main Campus,25672,143,309,0,44,496
2008,187985,University of New Mexico-Main Campus,25754,150,278,0,44,472
2009,187985,University of New Mexico-Main Campus,27241,106,252,0,44,402
2010,187985,University of New Mexico-Main Campus,28688,80,153,0,44,277
2011,187985,University of New Mexico-Main Campus,28977,92,294,0,44,430
2012,187985,University of New Mexico-Main Campus,29033,87,343,0,44,474
2013,187985,University of New Mexico-Main Campus,28592,82,356,2,44,484
2014,187985,University of New Mexico-Main Campus,27844,88,420,8,44,560
2001,188030,New Mexico State University-Main Campus,15224,65,296,0,24,385
2002,188030,New Mexico State University-Main Campus,15243,66,176,0,24,266
2003,188030,New Mexico State University-Main Campus,16174,72,233,0,24,329
2004,188030,New Mexico State University-Main Campus,16428,73,186,0,24,283
2005,188030,New Mexico State University-Main Campus,16072,71,258,0,24,353
2006,188030,New Mexico State University-Main Campus,16415,77,220,0,24,321
2007,188030,New Mexico State University-Main Campus,16722,124,320,0,24,468
2008,188030,New Mexico State University-Main Campus,17239,62,276,0,24,362
2009,188030,New Mexico State University-Main Campus,18526,88,644,0,24,756
2010,188030,New Mexico State University-Main Campus,18600,115,330,0,24,469
2011,188030,New Mexico State University-Main Campus,18024,101,200,2,24,327
2012,188030,New Mexico State University-Main Campus,17651,70,260,6,24,360
2013,188030,New Mexico State University-Main Campus,16765,87,223,2,24,336
2014,188030,New Mexico State University-Main Campus,15829,64,112,0,24,200
2001,228246,Southern Methodist University,10266,0,0,0,0,0
2002,228246,Southern Methodist University,10955,0,8,0,0,8
2003,228246,Southern Methodist University,11161,0,7,0,0,7
2004,228246,Southern Methodist University,10901,0,0,0,0,0
2005,228246,Southern Methodist University,11152,0,0,0,0,0
2006,228246,Southern Methodist University,10941,0,0,0,0,0
2007,228246,Southern Methodist University,10829,0,0,0,0,0
2008,228246,Southern Methodist University,10965,1,18,0,0,19
2009,228246,Southern Methodist University,10891,1,16,0,0,17
2010,228246,Southern Methodist University,10938,0,1,0,0,1
2011,228246,Southern Methodist University,10982,0,0,0,0,0
2012,228246,Southern Methodist University,10893,0,5,0,0,5
2013,228246,Southern Methodist University,10929,0,0,0,0,0
2014,228246,Southern Methodist University,11272,0,0,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0,0,0
