Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2014,119605,National University,17608,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,136215,Nova Southeastern University,25670,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,136215,Nova Southeastern University,24148,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,182005,College of Southern Nevada,31851,0,0,0,0,0,1,0,0,2,5,3,14,0
2002,182005,College of Southern Nevada,32136,0,0,0,0,0,0,0,0,6,0,14,26,1
2003,182005,College of Southern Nevada,34204,0,0,0,0,0,0,0,0,2,1,32,30,0
2004,182005,College of Southern Nevada,33627,0,0,0,0,0,0,0,0,0,0,19,34,3
2005,182005,College of Southern Nevada,34551,0,0,1,0,0,0,0,0,0,9,53,18,0
2006,182005,College of Southern Nevada,35414,0,0,0,0,0,0,0,0,0,0,4,22,1
2007,182005,College of Southern Nevada,37758,0,0,0,0,0,0,0,0,0,0,6,19,1
2008,182005,College of Southern Nevada,40310,0,0,0,0,0,0,0,0,1,0,6,10,2
2009,182005,College of Southern Nevada,42108,0,0,0,0,0,0,0,0,0,0,1,12,0
2010,182005,College of Southern Nevada,42747,0,0,0,0,0,0,0,0,0,0,2,2,0
2011,182005,College of Southern Nevada,37717,0,0,2,0,0,0,0,0,2,0,1,3,0
2012,182005,College of Southern Nevada,35678,0,0,0,0,0,0,0,0,2,0,1,4,0
2013,182005,College of Southern Nevada,34177,0,0,0,0,0,0,0,0,0,0,9,4,0
2014,182005,College of Southern Nevada,35943,0,0,0,1,0,0,0,0,3,0,8,3,0
2001,182281,University of Nevada-Las Vegas,23313,0,0,4,0,0,0,0,0,5,0,81,28,1
2002,182281,University of Nevada-Las Vegas,24679,0,0,2,0,0,0,0,0,4,1,80,53,5
2003,182281,University of Nevada-Las Vegas,26161,0,0,2,0,0,0,0,0,3,1,125,70,0
2004,182281,University of Nevada-Las Vegas,27339,0,0,1,0,0,0,0,0,3,0,89,55,2
2005,182281,University of Nevada-Las Vegas,28134,0,0,3,0,0,0,0,0,4,2,99,34,1
2006,182281,University of Nevada-Las Vegas,27912,0,0,0,0,0,0,0,0,2,3,62,41,0
2007,182281,University of Nevada-Las Vegas,27960,0,0,2,0,0,0,0,0,1,3,57,51,2
2008,182281,University of Nevada-Las Vegas,28600,0,0,1,0,0,0,0,0,1,2,47,23,2
2009,182281,University of Nevada-Las Vegas,29080,0,0,5,0,0,0,0,0,2,3,30,17,1
2010,182281,University of Nevada-Las Vegas,28203,0,0,1,0,0,0,0,0,6,4,45,17,1
2011,182281,University of Nevada-Las Vegas,27364,0,0,1,0,0,0,0,0,5,1,23,34,1
2012,182281,University of Nevada-Las Vegas,27389,0,0,0,0,0,0,0,0,5,5,27,25,0
2013,182281,University of Nevada-Las Vegas,27848,0,0,4,0,0,0,0,0,1,2,28,25,1
2014,182281,University of Nevada-Las Vegas,28515,0,0,0,5,1,0,0,0,2,5,32,14,1
2001,182290,University of Nevada-Reno,14316,0,0,5,0,0,0,0,0,0,5,58,7,3
2002,182290,University of Nevada-Reno,15093,0,0,4,0,0,1,0,0,1,3,39,6,1
2003,182290,University of Nevada-Reno,15534,0,0,2,0,0,0,0,0,1,3,26,10,1
2004,182290,University of Nevada-Reno,15950,0,0,1,0,0,0,0,0,1,1,32,9,1
2005,182290,University of Nevada-Reno,16336,0,0,1,0,0,0,0,0,1,2,16,6,2
2006,182290,University of Nevada-Reno,16663,0,0,1,0,0,0,0,0,0,2,9,7,0
2007,182290,University of Nevada-Reno,16681,0,0,1,0,0,0,0,0,1,2,16,3,0
2008,182290,University of Nevada-Reno,16867,0,0,2,0,0,0,0,0,0,1,21,3,1
2009,182290,University of Nevada-Reno,16875,0,0,1,0,0,0,0,0,1,4,35,3,1
2010,182290,University of Nevada-Reno,17680,0,0,1,0,0,0,0,0,0,2,30,6,0
2011,182290,University of Nevada-Reno,18004,0,0,0,0,0,0,0,0,1,0,28,3,0
2012,182290,University of Nevada-Reno,18227,0,0,0,0,0,0,0,0,0,2,5,6,2
2013,182290,University of Nevada-Reno,18776,0,0,1,0,0,0,0,0,0,0,14,4,0
2014,182290,University of Nevada-Reno,19934,0,0,0,4,1,0,0,0,0,1,3,0,1
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0,0,0,0,0,0,0,0,0,0,0
