Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2014,119605,National University,17608,0,0,0
2013,136215,Nova Southeastern University,25670,0,0,0
2014,136215,Nova Southeastern University,24148,0,0,0
2001,182005,College of Southern Nevada,31851,0,0,0
2002,182005,College of Southern Nevada,32136,0,0,0
2003,182005,College of Southern Nevada,34204,0,0,0
2004,182005,College of Southern Nevada,33627,0,0,0
2005,182005,College of Southern Nevada,34551,1,1,0
2006,182005,College of Southern Nevada,35414,0,0,0
2007,182005,College of Southern Nevada,37758,1,0,0
2008,182005,College of Southern Nevada,40310,0,0,0
2009,182005,College of Southern Nevada,42108,0,0,0
2010,182005,College of Southern Nevada,42747,0,0,0
2011,182005,College of Southern Nevada,37717,1,0,0
2012,182005,College of Southern Nevada,35678,0,0,0
2013,182005,College of Southern Nevada,34177,0,1,0
2014,182005,College of Southern Nevada,35943,0,0,0
2001,182281,University of Nevada-Las Vegas,23313,0,14,4
2002,182281,University of Nevada-Las Vegas,24679,0,11,7
2003,182281,University of Nevada-Las Vegas,26161,0,13,17
2004,182281,University of Nevada-Las Vegas,27339,3,27,8
2005,182281,University of Nevada-Las Vegas,28134,7,16,5
2006,182281,University of Nevada-Las Vegas,27912,5,18,3
2007,182281,University of Nevada-Las Vegas,27960,1,16,0
2008,182281,University of Nevada-Las Vegas,28600,1,12,56
2009,182281,University of Nevada-Las Vegas,29080,2,7,70
2010,182281,University of Nevada-Las Vegas,28203,2,4,29
2011,182281,University of Nevada-Las Vegas,27364,2,30,94
2012,182281,University of Nevada-Las Vegas,27389,3,31,87
2013,182281,University of Nevada-Las Vegas,27848,0,65,88
2014,182281,University of Nevada-Las Vegas,28515,2,55,109
2001,182290,University of Nevada-Reno,14316,0,13,178
2002,182290,University of Nevada-Reno,15093,1,20,204
2003,182290,University of Nevada-Reno,15534,1,18,168
2004,182290,University of Nevada-Reno,15950,1,31,174
2005,182290,University of Nevada-Reno,16336,0,25,204
2006,182290,University of Nevada-Reno,16663,0,12,129
2007,182290,University of Nevada-Reno,16681,0,13,83
2008,182290,University of Nevada-Reno,16867,0,25,99
2009,182290,University of Nevada-Reno,16875,0,23,113
2010,182290,University of Nevada-Reno,17680,0,27,98
2011,182290,University of Nevada-Reno,18004,0,17,125
2012,182290,University of Nevada-Reno,18227,0,36,218
2013,182290,University of Nevada-Reno,18776,2,41,317
2014,182290,University of Nevada-Reno,19934,3,34,318
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
