Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,119605,National University,17608,0,0,0
2002,119605,National University,17608,0,0,0
2003,119605,National University,17608,0,0,0
2004,119605,National University,17608,0,0,0
2005,119605,National University,17608,0,0,0
2006,119605,National University,17608,0,0,0
2007,119605,National University,17608,0,0,0
2008,119605,National University,17608,0,0,0
2009,119605,National University,17608,0,0,0
2010,119605,National University,17608,0,0,0
2011,119605,National University,17608,0,0,0
2012,119605,National University,17608,0,0,0
2013,119605,National University,17608,0,0,0
2014,119605,National University,17608,0,0,0
2001,136215,Nova Southeastern University,24148,0,0,0
2002,136215,Nova Southeastern University,24148,0,0,0
2003,136215,Nova Southeastern University,24148,0,0,0
2004,136215,Nova Southeastern University,24148,0,0,0
2005,136215,Nova Southeastern University,24148,0,0,0
2006,136215,Nova Southeastern University,24148,0,0,0
2007,136215,Nova Southeastern University,24148,0,0,0
2008,136215,Nova Southeastern University,24148,0,0,0
2009,136215,Nova Southeastern University,24148,0,0,0
2010,136215,Nova Southeastern University,24148,0,0,0
2011,136215,Nova Southeastern University,24148,0,0,0
2012,136215,Nova Southeastern University,24148,0,0,0
2013,136215,Nova Southeastern University,24148,0,0,0
2014,136215,Nova Southeastern University,24148,0,0,0
2001,182005,College of Southern Nevada,35943,1,0,1
2002,182005,College of Southern Nevada,35943,1,0,1
2003,182005,College of Southern Nevada,35943,1,0,1
2004,182005,College of Southern Nevada,35943,1,0,1
2005,182005,College of Southern Nevada,35943,1,0,1
2006,182005,College of Southern Nevada,35943,1,0,1
2007,182005,College of Southern Nevada,35943,1,0,1
2008,182005,College of Southern Nevada,35943,1,0,1
2009,182005,College of Southern Nevada,35943,1,0,1
2010,182005,College of Southern Nevada,35943,1,0,1
2011,182005,College of Southern Nevada,35943,1,0,1
2012,182005,College of Southern Nevada,35943,1,0,1
2013,182005,College of Southern Nevada,35943,1,0,1
2014,182005,College of Southern Nevada,35943,1,0,1
2001,182281,University of Nevada-Las Vegas,28515,1,2,3
2002,182281,University of Nevada-Las Vegas,28515,1,2,3
2003,182281,University of Nevada-Las Vegas,28515,1,2,3
2004,182281,University of Nevada-Las Vegas,28515,1,2,3
2005,182281,University of Nevada-Las Vegas,28515,1,2,3
2006,182281,University of Nevada-Las Vegas,28515,1,2,3
2007,182281,University of Nevada-Las Vegas,28515,1,2,3
2008,182281,University of Nevada-Las Vegas,28515,1,2,3
2009,182281,University of Nevada-Las Vegas,28515,1,2,3
2010,182281,University of Nevada-Las Vegas,28515,1,2,3
2011,182281,University of Nevada-Las Vegas,28515,1,2,3
2012,182281,University of Nevada-Las Vegas,28515,1,2,3
2013,182281,University of Nevada-Las Vegas,28515,1,2,3
2014,182281,University of Nevada-Las Vegas,28515,1,2,3
2001,182290,University of Nevada-Reno,19934,1,1,4
2002,182290,University of Nevada-Reno,19934,1,1,4
2003,182290,University of Nevada-Reno,19934,1,1,4
2004,182290,University of Nevada-Reno,19934,1,1,4
2005,182290,University of Nevada-Reno,19934,1,1,4
2006,182290,University of Nevada-Reno,19934,1,1,4
2007,182290,University of Nevada-Reno,19934,1,1,4
2008,182290,University of Nevada-Reno,19934,1,1,4
2009,182290,University of Nevada-Reno,19934,1,1,4
2010,182290,University of Nevada-Reno,19934,1,1,4
2011,182290,University of Nevada-Reno,19934,1,1,4
2012,182290,University of Nevada-Reno,19934,1,1,4
2013,182290,University of Nevada-Reno,19934,1,1,4
2014,182290,University of Nevada-Reno,19934,1,1,4
2001,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2002,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2003,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2004,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2005,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2006,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2007,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
