Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2014,119605,National University,17608,0,0,0,0,0
2013,136215,Nova Southeastern University,25670,0,0,0,0,0
2014,136215,Nova Southeastern University,24148,0,0,0,0,0
2001,182005,College of Southern Nevada,31851,25,0,0,2,27
2002,182005,College of Southern Nevada,32136,47,0,0,2,49
2003,182005,College of Southern Nevada,34204,65,0,0,2,67
2004,182005,College of Southern Nevada,33627,56,0,0,2,58
2005,182005,College of Southern Nevada,34551,81,2,0,2,85
2006,182005,College of Southern Nevada,35414,27,0,0,2,29
2007,182005,College of Southern Nevada,37758,26,1,0,2,29
2008,182005,College of Southern Nevada,40310,19,0,0,2,21
2009,182005,College of Southern Nevada,42108,13,0,0,2,15
2010,182005,College of Southern Nevada,42747,4,0,0,2,6
2011,182005,College of Southern Nevada,37717,8,1,0,2,11
2012,182005,College of Southern Nevada,35678,7,0,0,2,9
2013,182005,College of Southern Nevada,34177,13,1,0,2,16
2014,182005,College of Southern Nevada,35943,15,0,0,2,17
2001,182281,University of Nevada-Las Vegas,23313,119,18,0,6,143
2002,182281,University of Nevada-Las Vegas,24679,145,18,0,6,169
2003,182281,University of Nevada-Las Vegas,26161,201,30,0,6,237
2004,182281,University of Nevada-Las Vegas,27339,150,38,0,6,194
2005,182281,University of Nevada-Las Vegas,28134,143,28,0,6,177
2006,182281,University of Nevada-Las Vegas,27912,108,26,0,6,140
2007,182281,University of Nevada-Las Vegas,27960,116,17,0,6,139
2008,182281,University of Nevada-Las Vegas,28600,76,69,0,6,151
2009,182281,University of Nevada-Las Vegas,29080,58,79,2,6,145
2010,182281,University of Nevada-Las Vegas,28203,74,35,4,6,119
2011,182281,University of Nevada-Las Vegas,27364,65,126,0,6,197
2012,182281,University of Nevada-Las Vegas,27389,62,121,0,6,189
2013,182281,University of Nevada-Las Vegas,27848,61,153,2,6,222
2014,182281,University of Nevada-Las Vegas,28515,60,166,0,6,232
2001,182290,University of Nevada-Reno,14316,78,191,0,6,275
2002,182290,University of Nevada-Reno,15093,55,225,0,6,286
2003,182290,University of Nevada-Reno,15534,43,187,0,6,236
2004,182290,University of Nevada-Reno,15950,45,206,0,6,257
2005,182290,University of Nevada-Reno,16336,28,229,0,6,263
2006,182290,University of Nevada-Reno,16663,19,141,0,6,166
2007,182290,University of Nevada-Reno,16681,23,96,0,6,125
2008,182290,University of Nevada-Reno,16867,28,124,0,6,158
2009,182290,University of Nevada-Reno,16875,45,136,0,6,187
2010,182290,University of Nevada-Reno,17680,39,125,2,6,172
2011,182290,University of Nevada-Reno,18004,32,142,0,6,180
2012,182290,University of Nevada-Reno,18227,15,254,0,6,275
2013,182290,University of Nevada-Reno,18776,19,360,0,6,385
2014,182290,University of Nevada-Reno,19934,10,355,0,6,371
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0,0,0
