Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2007,151801,Indiana Wesleyan University,14756,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,151801,Indiana Wesleyan University,15442,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,151801,Indiana Wesleyan University,15345,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,151801,Indiana Wesleyan University,15953,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,151801,Indiana Wesleyan University,15872,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,151801,Indiana Wesleyan University,15580,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,151801,Indiana Wesleyan University,14959,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,151801,Indiana Wesleyan University,14943,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,169248,Central Michigan University,26879,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,178721,Park University,9482,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,178721,Park University,10123,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,178721,Park University,11868,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,178721,Park University,12548,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,178721,Park University,13253,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,178721,Park University,13182,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,178721,Park University,13259,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,178721,Park University,12457,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,178721,Park University,12775,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,178721,Park University,12022,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,178721,Park University,11759,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,178721,Park University,11765,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,178721,Park University,10978,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,178721,Park University,10792,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,200800,University of Akron Main Campus,22368,0,0,1,0,0,0,0,0,1,0,15,15,1
2002,200800,University of Akron Main Campus,22605,0,0,11,0,0,0,0,0,2,0,20,18,2
2003,200800,University of Akron Main Campus,21452,0,0,12,0,0,0,0,0,5,1,19,10,6
2004,200800,University of Akron Main Campus,21598,0,0,8,0,0,0,0,0,5,1,9,11,0
2005,200800,University of Akron Main Campus,21049,0,0,5,0,0,0,0,0,2,0,23,12,1
2006,200800,University of Akron Main Campus,21882,0,0,6,0,0,0,0,0,5,3,20,20,0
2007,200800,University of Akron Main Campus,23007,0,0,9,0,0,0,0,0,3,1,12,10,1
2008,200800,University of Akron Main Campus,24119,0,0,4,0,0,0,0,0,3,0,19,6,1
2009,200800,University of Akron Main Campus,25959,0,0,2,0,0,0,0,0,2,0,10,12,1
