Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2007,151801,Indiana Wesleyan University,14756,0,0,0
2008,151801,Indiana Wesleyan University,15442,0,0,0
2009,151801,Indiana Wesleyan University,15345,0,0,0
2010,151801,Indiana Wesleyan University,15953,0,0,0
2011,151801,Indiana Wesleyan University,15872,0,0,0
2012,151801,Indiana Wesleyan University,15580,0,0,0
2013,151801,Indiana Wesleyan University,14959,0,0,0
2014,151801,Indiana Wesleyan University,14943,0,0,0
2014,169248,Central Michigan University,26879,0,0,0
2001,178721,Park University,9482,0,0,0
2002,178721,Park University,10123,0,0,0
2003,178721,Park University,11868,0,0,0
2004,178721,Park University,12548,0,0,0
2005,178721,Park University,13253,0,0,0
2006,178721,Park University,13182,0,0,0
2007,178721,Park University,13259,0,0,0
2008,178721,Park University,12457,0,0,0
2009,178721,Park University,12775,0,0,0
2010,178721,Park University,12022,0,0,0
2011,178721,Park University,11759,0,0,0
2012,178721,Park University,11765,0,0,0
2013,178721,Park University,10978,0,0,0
2014,178721,Park University,10792,0,0,0
2001,200800,University of Akron Main Campus,22368,1,3,8
2002,200800,University of Akron Main Campus,22605,3,37,40
2003,200800,University of Akron Main Campus,21452,1,1,3
2004,200800,University of Akron Main Campus,21598,1,8,34
2005,200800,University of Akron Main Campus,21049,5,28,151
2006,200800,University of Akron Main Campus,21882,1,17,168
2007,200800,University of Akron Main Campus,23007,0,4,148
2008,200800,University of Akron Main Campus,24119,0,20,213
2009,200800,University of Akron Main Campus,25959,0,14,203
2010,200800,University of Akron Main Campus,27076,1,46,322
2011,200800,University of Akron Main Campus,27470,0,129,316
2012,200800,University of Akron Main Campus,26581,0,91,268
2013,200800,University of Akron Main Campus,24932,1,78,304
2014,200800,University of Akron Main Campus,23962,0,79,198
2001,201441,Bowling Green State University-Main Campus,18739,2,94,684
2002,201441,Bowling Green State University-Main Campus,18773,3,37,551
2003,201441,Bowling Green State University-Main Campus,18534,3,63,411
2004,201441,Bowling Green State University-Main Campus,18989,3,11,382
2005,201441,Bowling Green State University-Main Campus,19016,0,12,324
2006,201441,Bowling Green State University-Main Campus,19108,9,10,316
2007,201441,Bowling Green State University-Main Campus,18619,1,27,312
2008,201441,Bowling Green State University-Main Campus,17874,0,2,231
2009,201441,Bowling Green State University-Main Campus,17309,0,14,237
2010,201441,Bowling Green State University-Main Campus,17706,0,8,188
2011,201441,Bowling Green State University-Main Campus,17577,0,56,243
2012,201441,Bowling Green State University-Main Campus,17286,0,32,212
2013,201441,Bowling Green State University-Main Campus,16958,0,6,123
2014,201441,Bowling Green State University-Main Campus,16554,0,15,65
2001,201645,Case Western Reserve University,9216,0,27,102
2002,201645,Case Western Reserve University,9097,0,15,147
2003,201645,Case Western Reserve University,9186,1,33,128
2004,201645,Case Western Reserve University,9095,1,8,166
2005,201645,Case Western Reserve University,9615,6,27,252
2006,201645,Case Western Reserve University,9592,5,30,323
2007,201645,Case Western Reserve University,9844,4,25,323
2008,201645,Case Western Reserve University,9814,4,16,279
2009,201645,Case Western Reserve University,9738,2,25,291
2010,201645,Case Western Reserve University,9837,4,20,299
2011,201645,Case Western Reserve University,9636,1,30,274
2012,201645,Case Western Reserve University,10026,2,30,265
2013,201645,Case Western Reserve University,10325,4,35,225
2014,201645,Case Western Reserve University,10771,1,41,185
2001,201885,University of Cincinnati-Main Campus,27289,0,43,133
2002,201885,University of Cincinnati-Main Campus,26552,0,27,56
2003,201885,University of Cincinnati-Main Campus,26817,12,48,141
2004,201885,University of Cincinnati-Main Campus,27178,13,35,165
2005,201885,University of Cincinnati-Main Campus,27932,0,48,220
2006,201885,University of Cincinnati-Main Campus,28327,0,22,144
