Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,151801,Indiana Wesleyan University,14943,2,1,0
2002,151801,Indiana Wesleyan University,14943,2,1,0
2003,151801,Indiana Wesleyan University,14943,2,1,0
2004,151801,Indiana Wesleyan University,14943,2,1,0
2005,151801,Indiana Wesleyan University,14943,2,1,0
2006,151801,Indiana Wesleyan University,14943,2,1,0
2007,151801,Indiana Wesleyan University,14943,2,1,0
2008,151801,Indiana Wesleyan University,14943,2,1,0
2009,151801,Indiana Wesleyan University,14943,2,1,0
2010,151801,Indiana Wesleyan University,14943,2,1,0
2011,151801,Indiana Wesleyan University,14943,2,1,0
2012,151801,Indiana Wesleyan University,14943,2,1,0
2013,151801,Indiana Wesleyan University,14943,2,1,0
2014,151801,Indiana Wesleyan University,14943,2,1,0
2001,169248,Central Michigan University,26879,0,0,0
2002,169248,Central Michigan University,26879,0,0,0
2003,169248,Central Michigan University,26879,0,0,0
2004,169248,Central Michigan University,26879,0,0,0
2005,169248,Central Michigan University,26879,0,0,0
2006,169248,Central Michigan University,26879,0,0,0
2007,169248,Central Michigan University,26879,0,0,0
2008,169248,Central Michigan University,26879,0,0,0
2009,169248,Central Michigan University,26879,0,0,0
2010,169248,Central Michigan University,26879,0,0,0
2011,169248,Central Michigan University,26879,0,0,0
2012,169248,Central Michigan University,26879,0,0,0
2013,169248,Central Michigan University,26879,0,0,0
2014,169248,Central Michigan University,26879,0,0,0
2001,178721,Park University,10792,0,0,0
2002,178721,Park University,10792,0,0,0
2003,178721,Park University,10792,0,0,0
2004,178721,Park University,10792,0,0,0
2005,178721,Park University,10792,0,0,0
2006,178721,Park University,10792,0,0,0
2007,178721,Park University,10792,0,0,0
2008,178721,Park University,10792,0,0,0
2009,178721,Park University,10792,0,0,0
2010,178721,Park University,10792,0,0,0
2011,178721,Park University,10792,0,0,0
2012,178721,Park University,10792,0,0,0
2013,178721,Park University,10792,0,0,0
2014,178721,Park University,10792,0,0,0
2001,200800,University of Akron Main Campus,23962,0,4,7
2002,200800,University of Akron Main Campus,23962,0,4,7
2003,200800,University of Akron Main Campus,23962,0,4,7
2004,200800,University of Akron Main Campus,23962,0,4,7
2005,200800,University of Akron Main Campus,23962,0,4,7
2006,200800,University of Akron Main Campus,23962,0,4,7
2007,200800,University of Akron Main Campus,23962,0,4,7
2008,200800,University of Akron Main Campus,23962,0,4,7
2009,200800,University of Akron Main Campus,23962,0,4,7
2010,200800,University of Akron Main Campus,23962,0,4,7
2011,200800,University of Akron Main Campus,23962,0,4,7
2012,200800,University of Akron Main Campus,23962,0,4,7
2013,200800,University of Akron Main Campus,23962,0,4,7
2014,200800,University of Akron Main Campus,23962,0,4,7
2001,201441,Bowling Green State University-Main Campus,16554,1,6,2
2002,201441,Bowling Green State University-Main Campus,16554,1,6,2
2003,201441,Bowling Green State University-Main Campus,16554,1,6,2
2004,201441,Bowling Green State University-Main Campus,16554,1,6,2
2005,201441,Bowling Green State University-Main Campus,16554,1,6,2
2006,201441,Bowling Green State University-Main Campus,16554,1,6,2
2007,201441,Bowling Green State University-Main Campus,16554,1,6,2
2008,201441,Bowling Green State University-Main Campus,16554,1,6,2
2009,201441,Bowling Green State University-Main Campus,16554,1,6,2
2010,201441,Bowling Green State University-Main Campus,16554,1,6,2
2011,201441,Bowling Green State University-Main Campus,16554,1,6,2
2012,201441,Bowling Green State University-Main Campus,16554,1,6,2
2013,201441,Bowling Green State University-Main Campus,16554,1,6,2
2014,201441,Bowling Green State University-Main Campus,16554,1,6,2
2001,201645,Case Western Reserve University,10771,0,4,3
2002,201645,Case Western Reserve University,10771,0,4,3
2003,201645,Case Western Reserve University,10771,0,4,3
2004,201645,Case Western Reserve University,10771,0,4,3
2005,201645,Case Western Reserve University,10771,0,4,3
2006,201645,Case Western Reserve University,10771,0,4,3
2007,201645,Case Western Reserve University,10771,0,4,3
2008,201645,Case Western Reserve University,10771,0,4,3
2009,201645,Case Western Reserve University,10771,0,4,3
2010,201645,Case Western Reserve University,10771,0,4,3
2011,201645,Case Western Reserve University,10771,0,4,3
2012,201645,Case Western Reserve University,10771,0,4,3
2013,201645,Case Western Reserve University,10771,0,4,3
2014,201645,Case Western Reserve University,10771,0,4,3
2001,201885,University of Cincinnati-Main Campus,35313,2,7,11
2002,201885,University of Cincinnati-Main Campus,35313,2,7,11
2003,201885,University of Cincinnati-Main Campus,35313,2,7,11
2004,201885,University of Cincinnati-Main Campus,35313,2,7,11
2005,201885,University of Cincinnati-Main Campus,35313,2,7,11
2006,201885,University of Cincinnati-Main Campus,35313,2,7,11
2007,201885,University of Cincinnati-Main Campus,35313,2,7,11
2008,201885,University of Cincinnati-Main Campus,35313,2,7,11
2009,201885,University of Cincinnati-Main Campus,35313,2,7,11
2010,201885,University of Cincinnati-Main Campus,35313,2,7,11
2011,201885,University of Cincinnati-Main Campus,35313,2,7,11
2012,201885,University of Cincinnati-Main Campus,35313,2,7,11
2013,201885,University of Cincinnati-Main Campus,35313,2,7,11
2014,201885,University of Cincinnati-Main Campus,35313,2,7,11
2001,202134,Cleveland State University,16936,4,0,1
2002,202134,Cleveland State University,16936,4,0,1
2003,202134,Cleveland State University,16936,4,0,1
2004,202134,Cleveland State University,16936,4,0,1
2005,202134,Cleveland State University,16936,4,0,1
2006,202134,Cleveland State University,16936,4,0,1
2007,202134,Cleveland State University,16936,4,0,1
2008,202134,Cleveland State University,16936,4,0,1
2009,202134,Cleveland State University,16936,4,0,1
2010,202134,Cleveland State University,16936,4,0,1
2011,202134,Cleveland State University,16936,4,0,1
2012,202134,Cleveland State University,16936,4,0,1
2013,202134,Cleveland State University,16936,4,0,1
2014,202134,Cleveland State University,16936,4,0,1
2001,202480,University of Dayton,11343,4,2,0
2002,202480,University of Dayton,11343,4,2,0
2003,202480,University of Dayton,11343,4,2,0
2004,202480,University of Dayton,11343,4,2,0
2005,202480,University of Dayton,11343,4,2,0
2006,202480,University of Dayton,11343,4,2,0
2007,202480,University of Dayton,11343,4,2,0
2008,202480,University of Dayton,11343,4,2,0
2009,202480,University of Dayton,11343,4,2,0
2010,202480,University of Dayton,11343,4,2,0
2011,202480,University of Dayton,11343,4,2,0
2012,202480,University of Dayton,11343,4,2,0
2013,202480,University of Dayton,11343,4,2,0
2014,202480,University of Dayton,11343,4,2,0
2001,203517,Kent State University at Kent,29477,2,15,5
2002,203517,Kent State University at Kent,29477,2,15,5
2003,203517,Kent State University at Kent,29477,2,15,5
2004,203517,Kent State University at Kent,29477,2,15,5
2005,203517,Kent State University at Kent,29477,2,15,5
2006,203517,Kent State University at Kent,29477,2,15,5
2007,203517,Kent State University at Kent,29477,2,15,5
2008,203517,Kent State University at Kent,29477,2,15,5
2009,203517,Kent State University at Kent,29477,2,15,5
2010,203517,Kent State University at Kent,29477,2,15,5
2011,203517,Kent State University at Kent,29477,2,15,5
2012,203517,Kent State University at Kent,29477,2,15,5
2013,203517,Kent State University at Kent,29477,2,15,5
2014,203517,Kent State University at Kent,29477,2,15,5
2001,204024,Miami University-Oxford,18620,0,6,11
2002,204024,Miami University-Oxford,18620,0,6,11
2003,204024,Miami University-Oxford,18620,0,6,11
2004,204024,Miami University-Oxford,18620,0,6,11
2005,204024,Miami University-Oxford,18620,0,6,11
2006,204024,Miami University-Oxford,18620,0,6,11
2007,204024,Miami University-Oxford,18620,0,6,11
2008,204024,Miami University-Oxford,18620,0,6,11
2009,204024,Miami University-Oxford,18620,0,6,11
2010,204024,Miami University-Oxford,18620,0,6,11
2011,204024,Miami University-Oxford,18620,0,6,11
2012,204024,Miami University-Oxford,18620,0,6,11
2013,204024,Miami University-Oxford,18620,0,6,11
2014,204024,Miami University-Oxford,18620,0,6,11
2001,204796,Ohio State University-Main Campus,58322,5,11,19
2002,204796,Ohio State University-Main Campus,58322,5,11,19
2003,204796,Ohio State University-Main Campus,58322,5,11,19
2004,204796,Ohio State University-Main Campus,58322,5,11,19
2005,204796,Ohio State University-Main Campus,58322,5,11,19
2006,204796,Ohio State University-Main Campus,58322,5,11,19
2007,204796,Ohio State University-Main Campus,58322,5,11,19
2008,204796,Ohio State University-Main Campus,58322,5,11,19
2009,204796,Ohio State University-Main Campus,58322,5,11,19
2010,204796,Ohio State University-Main Campus,58322,5,11,19
2011,204796,Ohio State University-Main Campus,58322,5,11,19
2012,204796,Ohio State University-Main Campus,58322,5,11,19
2013,204796,Ohio State University-Main Campus,58322,5,11,19
2014,204796,Ohio State University-Main Campus,58322,5,11,19
2001,204857,Ohio University-Main Campus,29217,1,9,10
2002,204857,Ohio University-Main Campus,29217,1,9,10
2003,204857,Ohio University-Main Campus,29217,1,9,10
2004,204857,Ohio University-Main Campus,29217,1,9,10
2005,204857,Ohio University-Main Campus,29217,1,9,10
2006,204857,Ohio University-Main Campus,29217,1,9,10
2007,204857,Ohio University-Main Campus,29217,1,9,10
2008,204857,Ohio University-Main Campus,29217,1,9,10
2009,204857,Ohio University-Main Campus,29217,1,9,10
2010,204857,Ohio University-Main Campus,29217,1,9,10
2011,204857,Ohio University-Main Campus,29217,1,9,10
2012,204857,Ohio University-Main Campus,29217,1,9,10
2013,204857,Ohio University-Main Campus,29217,1,9,10
2014,204857,Ohio University-Main Campus,29217,1,9,10
2001,206084,University of Toledo,20626,2,3,5
2002,206084,University of Toledo,20626,2,3,5
2003,206084,University of Toledo,20626,2,3,5
2004,206084,University of Toledo,20626,2,3,5
2005,206084,University of Toledo,20626,2,3,5
2006,206084,University of Toledo,20626,2,3,5
2007,206084,University of Toledo,20626,2,3,5
2008,206084,University of Toledo,20626,2,3,5
2009,206084,University of Toledo,20626,2,3,5
2010,206084,University of Toledo,20626,2,3,5
2011,206084,University of Toledo,20626,2,3,5
2012,206084,University of Toledo,20626,2,3,5
2013,206084,University of Toledo,20626,2,3,5
2014,206084,University of Toledo,20626,2,3,5
2001,206604,Wright State University-Main Campus,16842,14,4,5
2002,206604,Wright State University-Main Campus,16842,14,4,5
2003,206604,Wright State University-Main Campus,16842,14,4,5
