Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2007,151801,Indiana Wesleyan University,14756,0,0,0,3,3
2008,151801,Indiana Wesleyan University,15442,0,0,0,3,3
2009,151801,Indiana Wesleyan University,15345,0,0,0,3,3
2010,151801,Indiana Wesleyan University,15953,0,0,0,3,3
2011,151801,Indiana Wesleyan University,15872,0,0,0,3,3
2012,151801,Indiana Wesleyan University,15580,0,0,0,3,3
2013,151801,Indiana Wesleyan University,14959,0,0,0,3,3
2014,151801,Indiana Wesleyan University,14943,0,0,0,3,3
2014,169248,Central Michigan University,26879,0,0,0,0,0
2001,178721,Park University,9482,0,0,0,0,0
2002,178721,Park University,10123,0,0,0,0,0
2003,178721,Park University,11868,0,0,0,0,0
2004,178721,Park University,12548,0,0,0,0,0
2005,178721,Park University,13253,0,0,0,0,0
2006,178721,Park University,13182,0,0,0,0,0
2007,178721,Park University,13259,0,0,0,0,0
2008,178721,Park University,12457,0,0,0,0,0
2009,178721,Park University,12775,0,0,0,0,0
2010,178721,Park University,12022,0,0,0,0,0
2011,178721,Park University,11759,0,0,0,0,0
2012,178721,Park University,11765,0,0,0,0,0
2013,178721,Park University,10978,0,0,0,0,0
2014,178721,Park University,10792,0,0,0,0,0
2001,200800,University of Akron Main Campus,22368,33,12,0,11,56
2002,200800,University of Akron Main Campus,22605,53,80,0,11,144
2003,200800,University of Akron Main Campus,21452,53,5,0,11,69
2004,200800,University of Akron Main Campus,21598,34,43,0,11,88
2005,200800,University of Akron Main Campus,21049,43,184,0,11,238
2006,200800,University of Akron Main Campus,21882,54,186,0,11,251
2007,200800,University of Akron Main Campus,23007,36,152,0,11,199
2008,200800,University of Akron Main Campus,24119,33,233,0,11,277
2009,200800,University of Akron Main Campus,25959,27,217,0,11,255
2010,200800,University of Akron Main Campus,27076,29,369,0,11,409
2011,200800,University of Akron Main Campus,27470,28,445,0,11,484
2012,200800,University of Akron Main Campus,26581,20,359,0,11,390
2013,200800,University of Akron Main Campus,24932,23,383,2,11,419
2014,200800,University of Akron Main Campus,23962,12,277,0,11,300
2001,201441,Bowling Green State University-Main Campus,18739,39,780,0,9,828
2002,201441,Bowling Green State University-Main Campus,18773,28,591,0,9,628
2003,201441,Bowling Green State University-Main Campus,18534,16,477,0,9,502
2004,201441,Bowling Green State University-Main Campus,18989,21,396,0,9,426
2005,201441,Bowling Green State University-Main Campus,19016,30,336,0,9,375
2006,201441,Bowling Green State University-Main Campus,19108,40,335,0,9,384
2007,201441,Bowling Green State University-Main Campus,18619,71,340,0,9,420
2008,201441,Bowling Green State University-Main Campus,17874,37,233,0,9,279
2009,201441,Bowling Green State University-Main Campus,17309,45,251,0,9,305
2010,201441,Bowling Green State University-Main Campus,17706,77,196,0,9,282
2011,201441,Bowling Green State University-Main Campus,17577,70,299,0,9,378
2012,201441,Bowling Green State University-Main Campus,17286,82,244,0,9,335
2013,201441,Bowling Green State University-Main Campus,16958,49,129,6,9,193
2014,201441,Bowling Green State University-Main Campus,16554,32,80,0,9,121
2001,201645,Case Western Reserve University,9216,52,129,0,7,188
2002,201645,Case Western Reserve University,9097,28,162,0,7,197
2003,201645,Case Western Reserve University,9186,29,162,0,7,198
2004,201645,Case Western Reserve University,9095,25,175,0,7,207
2005,201645,Case Western Reserve University,9615,26,285,0,7,318
2006,201645,Case Western Reserve University,9592,42,358,0,7,407
2007,201645,Case Western Reserve University,9844,40,352,0,7,399
2008,201645,Case Western Reserve University,9814,57,299,0,7,363
2009,201645,Case Western Reserve University,9738,43,318,0,7,368
2010,201645,Case Western Reserve University,9837,38,323,0,7,368
2011,201645,Case Western Reserve University,9636,38,305,0,7,350
2012,201645,Case Western Reserve University,10026,36,297,0,7,340
2013,201645,Case Western Reserve University,10325,31,264,0,7,302
2014,201645,Case Western Reserve University,10771,30,227,0,7,264
2001,201885,University of Cincinnati-Main Campus,27289,110,176,0,20,306
2002,201885,University of Cincinnati-Main Campus,26552,104,83,0,20,207
2003,201885,University of Cincinnati-Main Campus,26817,143,201,0,20,364
2004,201885,University of Cincinnati-Main Campus,27178,159,213,0,20,392
2005,201885,University of Cincinnati-Main Campus,27932,56,268,0,20,344
2006,201885,University of Cincinnati-Main Campus,28327,61,166,0,20,247
2007,201885,University of Cincinnati-Main Campus,29319,66,183,0,20,269
2008,201885,University of Cincinnati-Main Campus,29617,68,214,0,20,302
2009,201885,University of Cincinnati-Main Campus,31134,55,235,0,20,310
2010,201885,University of Cincinnati-Main Campus,32283,126,300,0,20,446
2011,201885,University of Cincinnati-Main Campus,33329,41,315,2,20,378
2012,201885,University of Cincinnati-Main Campus,33347,35,262,6,20,323
2013,201885,University of Cincinnati-Main Campus,34379,18,200,2,20,240
2014,201885,University of Cincinnati-Main Campus,35313,62,258,4,20,344
2001,202134,Cleveland State University,15701,34,46,0,5,85
2002,202134,Cleveland State University,15971,25,25,0,5,55
2003,202134,Cleveland State University,16014,37,22,0,5,64
2004,202134,Cleveland State University,15664,23,44,0,5,72
2005,202134,Cleveland State University,15482,39,39,0,5,83
2006,202134,Cleveland State University,14807,28,32,0,5,65
2007,202134,Cleveland State University,15038,34,22,0,5,61
2008,202134,Cleveland State University,15139,21,25,0,5,51
2009,202134,Cleveland State University,16216,19,52,0,5,76
2010,202134,Cleveland State University,17386,16,63,0,5,84
2011,202134,Cleveland State University,17229,20,159,2,5,186
2012,202134,Cleveland State University,17278,11,89,0,5,105
2013,202134,Cleveland State University,17497,18,107,0,5,130
2014,202134,Cleveland State University,16936,16,69,0,5,90
2001,202480,University of Dayton,10252,74,648,0,6,728
2002,202480,University of Dayton,10126,54,478,0,6,538
2003,202480,University of Dayton,10284,76,490,0,6,572
2004,202480,University of Dayton,10495,68,584,0,6,658
2005,202480,University of Dayton,10569,62,437,1,6,506
2006,202480,University of Dayton,10503,82,1151,0,6,1239
2007,202480,University of Dayton,10395,76,1115,0,6,1197
2008,202480,University of Dayton,10920,32,1501,0,6,1539
2009,202480,University of Dayton,10908,38,1265,0,6,1309
2010,202480,University of Dayton,11199,52,1366,0,6,1424
2011,202480,University of Dayton,11045,46,1246,0,6,1298
2012,202480,University of Dayton,11159,40,897,0,6,943
2013,202480,University of Dayton,10835,42,961,0,6,1009
2014,202480,University of Dayton,11343,95,842,0,6,943
2001,203517,Kent State University at Kent,22828,10,266,0,22,298
2002,203517,Kent State University at Kent,23504,10,263,0,22,295
2003,203517,Kent State University at Kent,24242,21,306,0,22,349
2004,203517,Kent State University at Kent,24347,20,176,0,22,218
2005,203517,Kent State University at Kent,23622,32,129,0,22,183
2006,203517,Kent State University at Kent,22697,26,212,0,22,260
2007,203517,Kent State University at Kent,22819,34,115,0,22,171
2008,203517,Kent State University at Kent,22944,26,71,0,22,119
2009,203517,Kent State University at Kent,25127,24,13,0,22,59
2010,203517,Kent State University at Kent,26589,38,73,0,22,133
2011,203517,Kent State University at Kent,27855,24,91,0,22,137
2012,203517,Kent State University at Kent,28602,22,424,0,22,468
2013,203517,Kent State University at Kent,28998,33,118,6,22,179
2014,203517,Kent State University at Kent,29477,28,199,0,22,249
2001,204024,Miami University-Oxford,16311,54,360,0,17,431
2002,204024,Miami University-Oxford,16730,64,616,0,17,697
2003,204024,Miami University-Oxford,16863,47,774,0,17,838
2004,204024,Miami University-Oxford,17161,32,570,0,17,619
2005,204024,Miami University-Oxford,16722,50,849,0,17,916
2006,204024,Miami University-Oxford,16329,51,809,0,17,877
2007,204024,Miami University-Oxford,15968,43,784,0,17,844
2008,204024,Miami University-Oxford,17191,30,564,1,17,612
2009,204024,Miami University-Oxford,16884,31,653,2,17,703
2010,204024,Miami University-Oxford,17472,39,534,0,17,590
2011,204024,Miami University-Oxford,17395,37,557,2,17,613
2012,204024,Miami University-Oxford,17683,35,408,2,17,462
2013,204024,Miami University-Oxford,17901,54,340,0,17,411
2014,204024,Miami University-Oxford,18620,44,426,0,17,487
2001,204796,Ohio State University-Main Campus,48477,203,655,0,35,893
2002,204796,Ohio State University-Main Campus,49676,241,749,0,35,1025
2003,204796,Ohio State University-Main Campus,50731,202,895,0,35,1132
2004,204796,Ohio State University-Main Campus,50995,371,879,0,35,1285
2005,204796,Ohio State University-Main Campus,50504,369,906,0,35,1310
2006,204796,Ohio State University-Main Campus,51818,411,819,0,35,1265
2007,204796,Ohio State University-Main Campus,52568,323,717,0,35,1075
2008,204796,Ohio State University-Main Campus,53715,269,699,0,35,1003
2009,204796,Ohio State University-Main Campus,55014,235,1713,2,35,1985
2010,204796,Ohio State University-Main Campus,56064,195,2430,10,35,2670
2011,204796,Ohio State University-Main Campus,56867,71,2228,14,35,2348
2012,204796,Ohio State University-Main Campus,56387,64,2301,6,35,2406
2013,204796,Ohio State University-Main Campus,57466,60,2098,8,35,2201
2014,204796,Ohio State University-Main Campus,58322,62,2189,8,35,2294
2001,204857,Ohio University-Main Campus,20288,26,1347,0,20,1393
2002,204857,Ohio University-Main Campus,20548,55,1356,1,20,1432
2003,204857,Ohio University-Main Campus,20452,45,1359,0,20,1424
2004,204857,Ohio University-Main Campus,20143,43,1265,0,20,1328
2005,204857,Ohio University-Main Campus,20461,76,1496,0,20,1592
2006,204857,Ohio University-Main Campus,20610,46,1277,0,20,1343
2007,204857,Ohio University-Main Campus,21089,60,1112,0,20,1192
2008,204857,Ohio University-Main Campus,21369,40,791,0,20,851
2009,204857,Ohio University-Main Campus,22647,80,627,0,20,727
2010,204857,Ohio University-Main Campus,25108,55,651,0,20,726
2011,204857,Ohio University-Main Campus,26201,39,835,0,20,894
2012,204857,Ohio University-Main Campus,27402,46,760,0,20,826
2013,204857,Ohio University-Main Campus,28786,36,504,0,20,560
2014,204857,Ohio University-Main Campus,29217,33,799,0,20,852
2001,206084,University of Toledo,20313,55,66,0,10,131
2002,206084,University of Toledo,20889,66,29,0,10,105
2003,206084,University of Toledo,20594,92,35,0,10,137
2004,206084,University of Toledo,19480,55,56,0,10,121
2005,206084,University of Toledo,19201,103,83,0,10,196
2006,206084,University of Toledo,19374,119,108,0,10,237
2007,206084,University of Toledo,19767,116,293,0,10,419
2008,206084,University of Toledo,22336,95,197,0,10,302
2009,206084,University of Toledo,23064,149,480,0,10,639
2010,206084,University of Toledo,23085,87,321,0,10,418
2011,206084,University of Toledo,22610,129,207,4,10,350
2012,206084,University of Toledo,21453,89,296,2,10,397
2013,206084,University of Toledo,20743,44,408,6,10,468
2014,206084,University of Toledo,20626,27,790,4,10,831
2001,206604,Wright State University-Main Campus,13829,33,133,0,23,189
2002,206604,Wright State University-Main Campus,14397,51,145,1,23,220
2003,206604,Wright State University-Main Campus,14648,27,183,0,23,233
2004,206604,Wright State University-Main Campus,15985,27,258,0,23,308
2005,206604,Wright State University-Main Campus,16207,16,248,0,23,287
2006,206604,Wright State University-Main Campus,16088,32,173,0,23,228
2007,206604,Wright State University-Main Campus,16151,65,201,0,23,289
2008,206604,Wright State University-Main Campus,16672,52,208,0,23,283
2009,206604,Wright State University-Main Campus,17558,45,192,6,23,266
2010,206604,Wright State University-Main Campus,18447,55,194,8,23,280
2011,206604,Wright State University-Main Campus,18304,29,265,4,23,321
2012,206604,Wright State University-Main Campus,16780,35,280,2,23,340
2013,206604,Wright State University-Main Campus,16656,42,201,0,23,266
2014,206604,Wright State University-Main Campus,16842,24,157,0,23,204
2001,206695,Youngstown State University,12243,8,76,0,7,91
2002,206695,Youngstown State University,12689,7,43,0,7,57
2003,206695,Youngstown State University,12870,9,56,0,7,72
2004,206695,Youngstown State University,13157,11,29,0,7,47
2005,206695,Youngstown State University,12912,30,34,0,7,71
2006,206695,Youngstown State University,13273,21,41,0,7,69
2007,206695,Youngstown State University,13595,23,38,0,7,68
2008,206695,Youngstown State University,13704,26,66,0,7,99
2009,206695,Youngstown State University,14644,20,42,0,7,69
