Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2008,177065,Columbia College,14081,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,177065,Columbia College,15556,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,177065,Columbia College,16962,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,177065,Columbia College,18091,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,177065,Columbia College,17830,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,177065,Columbia College,16946,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,177065,Columbia College,16567,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,178721,Park University,9482,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,178721,Park University,10123,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,178721,Park University,11868,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,178721,Park University,12548,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,178721,Park University,13253,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,178721,Park University,13182,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,178721,Park University,13259,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,178721,Park University,12457,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,178721,Park University,12775,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,178721,Park University,12022,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,178721,Park University,11759,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,178721,Park University,11765,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,178721,Park University,10978,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,178721,Park University,10792,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,179894,Webster University,18740,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,179894,Webster University,19038,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,179894,Webster University,18407,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,179894,Webster University,18963,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,179894,Webster University,19398,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,179894,Webster University,19154,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,179894,Webster University,19372,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,179894,Webster University,19342,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,179894,Webster University,19224,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,179894,Webster University,18456,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,179894,Webster University,17904,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,179894,Webster University,16769,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,206941,University of Central Oklahoma,14660,0,0,1,0,0,2,0,0,0,1,8,5,6
2002,206941,University of Central Oklahoma,15239,0,0,1,0,0,0,0,0,1,0,9,2,1
2003,206941,University of Central Oklahoma,15044,0,0,1,0,0,0,0,0,1,2,9,1,2
2004,206941,University of Central Oklahoma,14598,0,0,1,0,0,0,0,0,1,0,4,3,0
2005,206941,University of Central Oklahoma,15859,0,0,4,0,0,0,0,0,0,1,6,3,0
2006,206941,University of Central Oklahoma,15588,0,0,1,0,0,0,0,0,2,2,14,2,0
2007,206941,University of Central Oklahoma,15495,0,0,1,0,0,0,0,0,0,2,10,1,6
2008,206941,University of Central Oklahoma,15724,0,0,1,0,0,0,0,0,0,1,15,3,0
2009,206941,University of Central Oklahoma,16092,0,0,2,0,0,0,0,0,0,0,15,2,0
2010,206941,University of Central Oklahoma,17101,0,0,2,0,0,0,0,0,0,0,21,1,0
2011,206941,University of Central Oklahoma,17239,0,0,3,0,0,0,0,0,0,2,18,0,0
2012,206941,University of Central Oklahoma,17211,0,0,1,0,0,0,0,0,1,0,9,0,0
2013,206941,University of Central Oklahoma,17220,0,0,4,0,0,0,0,0,1,0,14,0,0
2014,206941,University of Central Oklahoma,16840,0,0,0,1,0,0,0,0,2,1,10,1,0
2001,207388,Oklahoma State University-Main Campus,22008,0,0,9,0,0,0,0,0,0,2,45,12,1
2002,207388,Oklahoma State University-Main Campus,23220,0,0,3,0,0,0,0,0,1,2,41,6,1
2003,207388,Oklahoma State University-Main Campus,23844,0,0,3,0,0,0,0,0,0,0,52,7,1
2004,207388,Oklahoma State University-Main Campus,23819,0,0,3,0,0,0,0,0,0,3,41,3,1
2005,207388,Oklahoma State University-Main Campus,23692,0,0,2,0,0,0,0,0,1,3,63,4,2
2006,207388,Oklahoma State University-Main Campus,23499,0,0,5,0,0,0,0,0,0,3,46,8,2
2007,207388,Oklahoma State University-Main Campus,23213,0,0,2,0,0,0,0,0,0,5,37,15,1
2008,207388,Oklahoma State University-Main Campus,22995,0,0,3,0,0,0,0,0,0,3,54,0,1
2009,207388,Oklahoma State University-Main Campus,23033,0,0,6,0,0,0,0,0,0,1,73,1,0
2010,207388,Oklahoma State University-Main Campus,23667,0,0,3,0,0,0,0,0,0,3,37,3,0
2011,207388,Oklahoma State University-Main Campus,24390,0,0,12,0,0,0,0,0,0,1,45,1,0
2012,207388,Oklahoma State University-Main Campus,25708,0,0,11,0,0,0,0,0,3,1,29,2,0
2013,207388,Oklahoma State University-Main Campus,26073,0,0,7,0,0,0,0,0,2,0,38,4,1
2014,207388,Oklahoma State University-Main Campus,25962,0,0,0,5,3,0,0,0,2,1,28,9,0
2001,207500,University of Oklahoma-Norman Campus,25104,0,0,6,0,0,0,0,0,3,1,54,2,9
2002,207500,University of Oklahoma-Norman Campus,26263,0,0,4,0,0,0,0,0,3,1,40,6,5
2003,207500,University of Oklahoma-Norman Campus,27146,0,0,3,0,0,0,0,0,4,0,49,1,5
2004,207500,University of Oklahoma-Norman Campus,27483,0,0,7,0,0,0,0,0,0,1,44,7,1
2005,207500,University of Oklahoma-Norman Campus,26506,0,0,2,0,0,0,0,0,0,4,51,13,7
