Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2008,177065,Columbia College,14081,0,0,0
2009,177065,Columbia College,15556,0,0,0
2010,177065,Columbia College,16962,0,0,0
2011,177065,Columbia College,18091,0,0,0
2012,177065,Columbia College,17830,0,0,0
2013,177065,Columbia College,16946,0,0,0
2014,177065,Columbia College,16567,0,0,0
2001,178721,Park University,9482,0,0,0
2002,178721,Park University,10123,0,0,0
2003,178721,Park University,11868,0,0,0
2004,178721,Park University,12548,0,0,0
2005,178721,Park University,13253,0,0,0
2006,178721,Park University,13182,0,0,0
2007,178721,Park University,13259,0,0,0
2008,178721,Park University,12457,0,0,0
2009,178721,Park University,12775,0,0,0
2010,178721,Park University,12022,0,0,0
2011,178721,Park University,11759,0,0,0
2012,178721,Park University,11765,0,0,0
2013,178721,Park University,10978,0,0,0
2014,178721,Park University,10792,0,0,0
2003,179894,Webster University,18740,0,0,0
2004,179894,Webster University,19038,0,0,0
2005,179894,Webster University,18407,0,0,0
2006,179894,Webster University,18963,0,0,0
2007,179894,Webster University,19398,0,0,0
2008,179894,Webster University,19154,0,0,0
2009,179894,Webster University,19372,0,0,0
2010,179894,Webster University,19342,0,0,0
2011,179894,Webster University,19224,0,0,0
2012,179894,Webster University,18456,0,0,0
2013,179894,Webster University,17904,0,0,0
2014,179894,Webster University,16769,0,0,0
2001,206941,University of Central Oklahoma,14660,2,18,44
2002,206941,University of Central Oklahoma,15239,1,23,35
2003,206941,University of Central Oklahoma,15044,2,12,97
2004,206941,University of Central Oklahoma,14598,1,20,81
2005,206941,University of Central Oklahoma,15859,1,16,69
2006,206941,University of Central Oklahoma,15588,3,25,74
2007,206941,University of Central Oklahoma,15495,4,12,55
2008,206941,University of Central Oklahoma,15724,3,61,124
2009,206941,University of Central Oklahoma,16092,3,55,105
2010,206941,University of Central Oklahoma,17101,4,39,57
2011,206941,University of Central Oklahoma,17239,1,35,47
2012,206941,University of Central Oklahoma,17211,0,33,34
2013,206941,University of Central Oklahoma,17220,0,41,27
2014,206941,University of Central Oklahoma,16840,1,31,21
2001,207388,Oklahoma State University-Main Campus,22008,0,7,41
2002,207388,Oklahoma State University-Main Campus,23220,0,16,78
2003,207388,Oklahoma State University-Main Campus,23844,0,18,77
2004,207388,Oklahoma State University-Main Campus,23819,0,11,85
2005,207388,Oklahoma State University-Main Campus,23692,0,127,49
2006,207388,Oklahoma State University-Main Campus,23499,0,83,317
2007,207388,Oklahoma State University-Main Campus,23213,0,3,195
2008,207388,Oklahoma State University-Main Campus,22995,0,1,201
2009,207388,Oklahoma State University-Main Campus,23033,0,51,363
2010,207388,Oklahoma State University-Main Campus,23667,0,58,361
2011,207388,Oklahoma State University-Main Campus,24390,0,5,502
2012,207388,Oklahoma State University-Main Campus,25708,1,5,281
2013,207388,Oklahoma State University-Main Campus,26073,0,24,382
2014,207388,Oklahoma State University-Main Campus,25962,0,0,391
2001,207500,University of Oklahoma-Norman Campus,25104,0,7,168
2002,207500,University of Oklahoma-Norman Campus,26263,1,53,345
2003,207500,University of Oklahoma-Norman Campus,27146,2,26,367
2004,207500,University of Oklahoma-Norman Campus,27483,0,15,433
2005,207500,University of Oklahoma-Norman Campus,26506,4,28,287
2006,207500,University of Oklahoma-Norman Campus,25923,0,9,300
2007,207500,University of Oklahoma-Norman Campus,26068,0,13,245
2008,207500,University of Oklahoma-Norman Campus,26140,0,40,371
2009,207500,University of Oklahoma-Norman Campus,25881,0,12,136
2010,207500,University of Oklahoma-Norman Campus,26476,0,74,421
2011,207500,University of Oklahoma-Norman Campus,27138,0,85,386
2012,207500,University of Oklahoma-Norman Campus,27507,0,43,215
2013,207500,University of Oklahoma-Norman Campus,27292,0,22,361
2014,207500,University of Oklahoma-Norman Campus,27261,0,31,468
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
