Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,177065,Columbia College,16567,0,0,0
2002,177065,Columbia College,16567,0,0,0
2003,177065,Columbia College,16567,0,0,0
2004,177065,Columbia College,16567,0,0,0
2005,177065,Columbia College,16567,0,0,0
2006,177065,Columbia College,16567,0,0,0
2007,177065,Columbia College,16567,0,0,0
2008,177065,Columbia College,16567,0,0,0
2009,177065,Columbia College,16567,0,0,0
2010,177065,Columbia College,16567,0,0,0
2011,177065,Columbia College,16567,0,0,0
2012,177065,Columbia College,16567,0,0,0
2013,177065,Columbia College,16567,0,0,0
2014,177065,Columbia College,16567,0,0,0
2001,178721,Park University,10792,0,0,0
2002,178721,Park University,10792,0,0,0
2003,178721,Park University,10792,0,0,0
2004,178721,Park University,10792,0,0,0
2005,178721,Park University,10792,0,0,0
2006,178721,Park University,10792,0,0,0
2007,178721,Park University,10792,0,0,0
2008,178721,Park University,10792,0,0,0
2009,178721,Park University,10792,0,0,0
2010,178721,Park University,10792,0,0,0
2011,178721,Park University,10792,0,0,0
2012,178721,Park University,10792,0,0,0
2013,178721,Park University,10792,0,0,0
2014,178721,Park University,10792,0,0,0
2001,179894,Webster University,16769,0,0,0
2002,179894,Webster University,16769,0,0,0
2003,179894,Webster University,16769,0,0,0
2004,179894,Webster University,16769,0,0,0
2005,179894,Webster University,16769,0,0,0
2006,179894,Webster University,16769,0,0,0
2007,179894,Webster University,16769,0,0,0
2008,179894,Webster University,16769,0,0,0
2009,179894,Webster University,16769,0,0,0
2010,179894,Webster University,16769,0,0,0
2011,179894,Webster University,16769,0,0,0
2012,179894,Webster University,16769,0,0,0
2013,179894,Webster University,16769,0,0,0
2014,179894,Webster University,16769,0,0,0
2001,206941,University of Central Oklahoma,16840,0,3,1
2002,206941,University of Central Oklahoma,16840,0,3,1
2003,206941,University of Central Oklahoma,16840,0,3,1
2004,206941,University of Central Oklahoma,16840,0,3,1
2005,206941,University of Central Oklahoma,16840,0,3,1
2006,206941,University of Central Oklahoma,16840,0,3,1
2007,206941,University of Central Oklahoma,16840,0,3,1
2008,206941,University of Central Oklahoma,16840,0,3,1
2009,206941,University of Central Oklahoma,16840,0,3,1
2010,206941,University of Central Oklahoma,16840,0,3,1
2011,206941,University of Central Oklahoma,16840,0,3,1
2012,206941,University of Central Oklahoma,16840,0,3,1
2013,206941,University of Central Oklahoma,16840,0,3,1
2014,206941,University of Central Oklahoma,16840,0,3,1
2001,207388,Oklahoma State University-Main Campus,25962,5,4,5
2002,207388,Oklahoma State University-Main Campus,25962,5,4,5
2003,207388,Oklahoma State University-Main Campus,25962,5,4,5
2004,207388,Oklahoma State University-Main Campus,25962,5,4,5
2005,207388,Oklahoma State University-Main Campus,25962,5,4,5
2006,207388,Oklahoma State University-Main Campus,25962,5,4,5
2007,207388,Oklahoma State University-Main Campus,25962,5,4,5
2008,207388,Oklahoma State University-Main Campus,25962,5,4,5
2009,207388,Oklahoma State University-Main Campus,25962,5,4,5
2010,207388,Oklahoma State University-Main Campus,25962,5,4,5
2011,207388,Oklahoma State University-Main Campus,25962,5,4,5
2012,207388,Oklahoma State University-Main Campus,25962,5,4,5
2013,207388,Oklahoma State University-Main Campus,25962,5,4,5
2014,207388,Oklahoma State University-Main Campus,25962,5,4,5
2001,207500,University of Oklahoma-Norman Campus,27261,5,7,15
2002,207500,University of Oklahoma-Norman Campus,27261,5,7,15
2003,207500,University of Oklahoma-Norman Campus,27261,5,7,15
2004,207500,University of Oklahoma-Norman Campus,27261,5,7,15
2005,207500,University of Oklahoma-Norman Campus,27261,5,7,15
2006,207500,University of Oklahoma-Norman Campus,27261,5,7,15
2007,207500,University of Oklahoma-Norman Campus,27261,5,7,15
2008,207500,University of Oklahoma-Norman Campus,27261,5,7,15
2009,207500,University of Oklahoma-Norman Campus,27261,5,7,15
2010,207500,University of Oklahoma-Norman Campus,27261,5,7,15
2011,207500,University of Oklahoma-Norman Campus,27261,5,7,15
2012,207500,University of Oklahoma-Norman Campus,27261,5,7,15
2013,207500,University of Oklahoma-Norman Campus,27261,5,7,15
2014,207500,University of Oklahoma-Norman Campus,27261,5,7,15
2001,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2002,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2003,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2004,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2005,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2006,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2007,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
