Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2001,209542,Oregon State University,18013,0,0,11,0,0,0,0,0,0,0,24,1,3
2002,209542,Oregon State University,18764,0,0,1,0,0,0,0,0,0,0,24,0,0
2003,209542,Oregon State University,18958,0,0,2,0,0,0,0,0,1,0,59,2,2
2004,209542,Oregon State University,19153,0,0,7,0,0,0,0,0,1,0,36,1,1
2005,209542,Oregon State University,19224,0,0,4,0,0,0,0,0,2,0,51,13,2
2006,209542,Oregon State University,19352,0,0,0,0,0,0,0,0,0,0,50,9,2
2007,209542,Oregon State University,19738,0,0,4,0,0,0,0,0,1,2,43,6,0
2008,209542,Oregon State University,20305,0,0,12,0,0,0,0,0,0,1,41,12,0
2009,209542,Oregon State University,21950,0,0,4,0,0,0,0,0,0,0,28,9,0
2010,209542,Oregon State University,23753,0,0,9,0,0,0,0,0,0,1,36,11,1
2011,209542,Oregon State University,24962,0,0,1,0,0,0,0,0,1,2,25,28,2
2012,209542,Oregon State University,26363,0,0,3,0,0,0,0,0,0,12,38,10,1
2013,209542,Oregon State University,27902,0,0,12,0,0,0,0,0,0,2,18,7,4
2014,209542,Oregon State University,28886,0,0,0,6,3,0,0,0,0,0,5,10,1
2001,209551,University of Oregon,18956,0,0,2,0,0,0,0,0,0,1,27,1,4
2002,209551,University of Oregon,19997,0,0,8,0,0,0,0,0,2,1,53,0,4
2003,209551,University of Oregon,19992,0,0,6,0,0,0,0,0,0,1,38,0,4
2004,209551,University of Oregon,20296,0,0,2,0,0,0,0,0,1,2,145,1,2
2005,209551,University of Oregon,20347,0,0,8,0,0,0,0,0,1,1,70,14,3
2006,209551,University of Oregon,20348,0,0,4,0,0,0,0,0,1,5,32,12,2
2007,209551,University of Oregon,20332,0,0,3,0,0,0,0,0,2,5,33,2,1
2008,209551,University of Oregon,21452,0,0,8,0,0,0,0,0,0,2,14,10,1
2009,209551,University of Oregon,22335,0,0,6,0,0,0,0,0,1,0,26,10,5
2010,209551,University of Oregon,23342,0,0,7,0,0,0,0,0,1,2,16,2,18
2011,209551,University of Oregon,24396,0,0,8,0,0,0,0,0,0,3,35,3,0
2012,209551,University of Oregon,24518,0,0,17,0,0,0,0,0,1,2,27,2,5
2013,209551,University of Oregon,24473,0,0,12,0,0,0,0,0,1,3,24,7,29
2014,209551,University of Oregon,24096,0,0,0,6,5,0,0,0,1,4,24,6,12
2001,209807,Portland State University,20024,0,0,1,0,0,5,0,0,3,4,19,4,0
2002,209807,Portland State University,21672,0,0,2,0,0,8,0,0,1,1,25,8,5
2003,209807,Portland State University,23081,0,0,5,0,0,0,0,0,6,4,23,12,1
2004,209807,Portland State University,23444,0,0,3,0,0,0,0,0,2,2,89,7,1
2005,209807,Portland State University,23929,0,0,2,0,0,1,0,0,4,3,59,16,1
2006,209807,Portland State University,24254,0,0,3,0,0,0,0,0,1,7,38,14,1
2007,209807,Portland State University,24963,0,0,2,0,0,0,0,0,3,5,25,23,4
2008,209807,Portland State University,26382,0,0,3,0,0,0,0,0,3,2,26,15,3
2009,209807,Portland State University,27901,0,0,2,0,0,0,0,0,1,1,39,8,2
2010,209807,Portland State University,28035,0,0,4,0,0,0,0,0,1,3,41,13,5
2011,209807,Portland State University,28584,0,0,8,0,0,0,0,0,1,0,41,3,1
2012,209807,Portland State University,28287,0,0,9,0,0,0,0,0,0,1,147,4,1
2013,209807,Portland State University,28260,0,0,12,0,0,0,0,0,2,4,155,1,0
2014,209807,Portland State University,27696,0,0,0,5,6,0,0,2,1,4,110,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0,0,0,0,0,0,0,0,0,0,0
