Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,209542,Oregon State University,18013,0,3,160
2002,209542,Oregon State University,18764,0,39,279
2003,209542,Oregon State University,18958,0,32,178
2004,209542,Oregon State University,19153,0,39,478
2005,209542,Oregon State University,19224,0,45,353
2006,209542,Oregon State University,19352,0,0,0
2007,209542,Oregon State University,19738,1,4,184
2008,209542,Oregon State University,20305,0,96,350
2009,209542,Oregon State University,21950,8,73,201
2010,209542,Oregon State University,23753,1,0,299
2011,209542,Oregon State University,24962,2,42,305
2012,209542,Oregon State University,26363,0,54,547
2013,209542,Oregon State University,27902,0,48,471
2014,209542,Oregon State University,28886,0,51,642
2001,209551,University of Oregon,18956,0,210,458
2002,209551,University of Oregon,19997,10,348,1186
2003,209551,University of Oregon,19992,7,231,1037
2004,209551,University of Oregon,20296,0,425,1173
2005,209551,University of Oregon,20347,0,361,1326
2006,209551,University of Oregon,20348,1,446,1087
2007,209551,University of Oregon,20332,5,564,1303
2008,209551,University of Oregon,21452,0,487,1180
2009,209551,University of Oregon,22335,0,296,1222
2010,209551,University of Oregon,23342,0,101,1030
2011,209551,University of Oregon,24396,0,217,998
2012,209551,University of Oregon,24518,0,245,932
2013,209551,University of Oregon,24473,0,364,857
2014,209551,University of Oregon,24096,0,266,921
2001,209807,Portland State University,20024,0,25,11
2002,209807,Portland State University,21672,0,17,29
2003,209807,Portland State University,23081,4,41,116
2004,209807,Portland State University,23444,2,32,137
2005,209807,Portland State University,23929,5,59,105
2006,209807,Portland State University,24254,13,116,151
2007,209807,Portland State University,24963,10,93,125
2008,209807,Portland State University,26382,1,58,203
2009,209807,Portland State University,27901,1,109,250
2010,209807,Portland State University,28035,9,164,363
2011,209807,Portland State University,28584,0,40,136
2012,209807,Portland State University,28287,0,93,193
2013,209807,Portland State University,28260,1,143,186
2014,209807,Portland State University,27696,1,127,120
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
