Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,209542,Oregon State University,28886,5,1,6
2002,209542,Oregon State University,28886,5,1,6
2003,209542,Oregon State University,28886,5,1,6
2004,209542,Oregon State University,28886,5,1,6
2005,209542,Oregon State University,28886,5,1,6
2006,209542,Oregon State University,28886,5,1,6
2007,209542,Oregon State University,28886,5,1,6
2008,209542,Oregon State University,28886,5,1,6
2009,209542,Oregon State University,28886,5,1,6
2010,209542,Oregon State University,28886,5,1,6
2011,209542,Oregon State University,28886,5,1,6
2012,209542,Oregon State University,28886,5,1,6
2013,209542,Oregon State University,28886,5,1,6
2014,209542,Oregon State University,28886,5,1,6
2001,209551,University of Oregon,24096,3,4,11
2002,209551,University of Oregon,24096,3,4,11
2003,209551,University of Oregon,24096,3,4,11
2004,209551,University of Oregon,24096,3,4,11
2005,209551,University of Oregon,24096,3,4,11
2006,209551,University of Oregon,24096,3,4,11
2007,209551,University of Oregon,24096,3,4,11
2008,209551,University of Oregon,24096,3,4,11
2009,209551,University of Oregon,24096,3,4,11
2010,209551,University of Oregon,24096,3,4,11
2011,209551,University of Oregon,24096,3,4,11
2012,209551,University of Oregon,24096,3,4,11
2013,209551,University of Oregon,24096,3,4,11
2014,209551,University of Oregon,24096,3,4,11
2001,209807,Portland State University,27696,7,0,6
2002,209807,Portland State University,27696,7,0,6
2003,209807,Portland State University,27696,7,0,6
2004,209807,Portland State University,27696,7,0,6
2005,209807,Portland State University,27696,7,0,6
2006,209807,Portland State University,27696,7,0,6
2007,209807,Portland State University,27696,7,0,6
2008,209807,Portland State University,27696,7,0,6
2009,209807,Portland State University,27696,7,0,6
2010,209807,Portland State University,27696,7,0,6
2011,209807,Portland State University,27696,7,0,6
2012,209807,Portland State University,27696,7,0,6
2013,209807,Portland State University,27696,7,0,6
2014,209807,Portland State University,27696,7,0,6
2001,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2002,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2003,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2004,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2005,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2006,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2007,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2008,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0
