Survey year,Unitid,Institution name,Institution Size,CO,DA,HC,VW,total
2001,209542,Oregon State University,18013,39,163,0,12,214
2002,209542,Oregon State University,18764,25,318,0,12,355
2003,209542,Oregon State University,18958,66,210,0,12,288
2004,209542,Oregon State University,19153,46,517,0,12,575
2005,209542,Oregon State University,19224,72,398,0,12,482
2006,209542,Oregon State University,19352,61,0,0,12,73
2007,209542,Oregon State University,19738,56,189,0,12,257
2008,209542,Oregon State University,20305,66,446,0,12,524
2009,209542,Oregon State University,21950,41,282,0,12,335
2010,209542,Oregon State University,23753,58,300,0,12,370
2011,209542,Oregon State University,24962,59,349,2,12,422
2012,209542,Oregon State University,26363,64,601,0,12,677
2013,209542,Oregon State University,27902,43,519,0,12,574
2014,209542,Oregon State University,28886,25,693,0,12,730
2001,209551,University of Oregon,18956,35,668,0,18,721
2002,209551,University of Oregon,19997,68,1544,1,18,1631
2003,209551,University of Oregon,19992,49,1275,1,18,1343
2004,209551,University of Oregon,20296,153,1598,0,18,1769
2005,209551,University of Oregon,20347,97,1687,0,18,1802
2006,209551,University of Oregon,20348,56,1534,0,18,1608
2007,209551,University of Oregon,20332,46,1872,0,18,1936
2008,209551,University of Oregon,21452,35,1667,0,18,1720
2009,209551,University of Oregon,22335,48,1518,0,18,1584
2010,209551,University of Oregon,23342,46,1131,2,18,1197
2011,209551,University of Oregon,24396,49,1215,2,18,1284
2012,209551,University of Oregon,24518,54,1177,2,18,1251
2013,209551,University of Oregon,24473,76,1221,0,18,1315
2014,209551,University of Oregon,24096,58,1187,2,18,1265
2001,209807,Portland State University,20024,36,36,0,13,85
2002,209807,Portland State University,21672,50,46,0,13,109
2003,209807,Portland State University,23081,51,161,0,13,225
2004,209807,Portland State University,23444,104,171,0,13,288
2005,209807,Portland State University,23929,86,169,1,13,269
2006,209807,Portland State University,24254,64,280,0,13,357
2007,209807,Portland State University,24963,62,228,0,13,303
2008,209807,Portland State University,26382,52,262,0,13,327
2009,209807,Portland State University,27901,53,360,0,13,426
2010,209807,Portland State University,28035,67,536,2,13,618
2011,209807,Portland State University,28584,54,176,0,13,243
2012,209807,Portland State University,28287,162,286,4,13,465
2013,209807,Portland State University,28260,174,330,0,13,517
2014,209807,Portland State University,27696,128,248,2,13,391
2008,426314,Embry-Riddle Aeronautical University-Worldwide,15225,0,0,0,0,0
2009,426314,Embry-Riddle Aeronautical University-Worldwide,15249,0,0,0,0,0
2010,426314,Embry-Riddle Aeronautical University-Worldwide,15488,0,0,0,0,0
2011,426314,Embry-Riddle Aeronautical University-Worldwide,15320,0,0,0,0,0
2012,426314,Embry-Riddle Aeronautical University-Worldwide,15562,0,0,0,0,0
2013,426314,Embry-Riddle Aeronautical University-Worldwide,14564,0,0,0,0,0
2014,426314,Embry-Riddle Aeronautical University-Worldwide,14176,0,0,0,0,0
