Survey year,Unitid,Institution name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2014,169248,Central Michigan University,26879,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,211440,Carnegie Mellon University,8588,0,0,2,0,0,0,0,0,1,1,16,1,2
2002,211440,Carnegie Mellon University,9501,0,0,3,0,0,0,0,0,0,0,23,1,5
2003,211440,Carnegie Mellon University,9756,0,0,1,0,0,0,0,0,0,2,18,0,3
2004,211440,Carnegie Mellon University,9803,0,0,8,0,0,0,0,0,3,3,48,9,2
2005,211440,Carnegie Mellon University,10017,0,0,0,0,0,0,0,0,0,1,42,5,1
2006,211440,Carnegie Mellon University,9999,0,0,1,0,0,0,0,0,6,3,47,11,1
2007,211440,Carnegie Mellon University,10326,0,0,4,0,0,0,0,0,0,0,36,1,0
2008,211440,Carnegie Mellon University,10875,0,0,5,0,0,0,0,0,1,1,22,0,0
2009,211440,Carnegie Mellon University,11197,0,0,3,0,0,0,0,0,1,0,16,1,0
2010,211440,Carnegie Mellon University,11340,0,0,1,0,0,0,0,0,0,1,12,3,1
2011,211440,Carnegie Mellon University,11531,0,0,5,0,0,0,0,0,0,2,21,0,1
2012,211440,Carnegie Mellon University,11978,0,0,15,0,0,0,0,0,1,1,25,1,0
2013,211440,Carnegie Mellon University,12367,0,0,16,0,0,0,0,0,1,5,14,1,0
2014,211440,Carnegie Mellon University,12587,0,0,0,6,5,0,0,0,0,2,20,1,0
2001,212054,Drexel University,13546,0,0,0,0,0,0,0,0,10,13,37,8,1
2002,212054,Drexel University,16345,0,0,1,0,0,0,0,0,7,8,23,7,1
2003,212054,Drexel University,17000,0,0,4,0,0,0,0,0,1,5,13,0,0
2004,212054,Drexel University,17656,0,0,1,0,0,0,0,0,2,17,33,0,0
2005,212054,Drexel University,18466,0,0,0,0,0,0,0,0,5,1,37,2,2
2006,212054,Drexel University,19860,1,0,3,0,0,0,0,0,4,2,27,4,0
2007,212054,Drexel University,20682,0,0,2,0,0,0,0,0,2,4,26,0,1
2008,212054,Drexel University,21537,0,0,2,0,0,0,0,0,3,3,41,1,0
2009,212054,Drexel University,22493,0,0,3,0,0,0,0,0,2,4,25,1,1
2010,212054,Drexel University,23637,0,0,1,0,0,0,0,0,2,4,23,2,0
2011,212054,Drexel University,24860,0,0,6,0,0,0,0,0,1,0,49,1,0
2012,212054,Drexel University,25500,0,0,9,0,0,0,0,0,0,1,25,0,0
2013,212054,Drexel University,26132,0,0,12,0,0,0,0,0,0,2,9,0,0
2014,212054,Drexel University,26359,0,0,0,7,1,0,0,0,1,4,9,2,0
2001,213020,Indiana University of Pennsylvania-Main Campus,13457,1,0,8,0,0,4,0,0,5,3,25,0,0
2002,213020,Indiana University of Pennsylvania-Main Campus,13671,0,0,6,0,0,0,0,0,5,3,19,0,0
2003,213020,Indiana University of Pennsylvania-Main Campus,13868,0,0,5,0,0,0,0,0,1,2,26,0,0
2004,213020,Indiana University of Pennsylvania-Main Campus,13998,0,0,6,0,0,0,0,0,1,1,17,0,1
2005,213020,Indiana University of Pennsylvania-Main Campus,14081,0,0,12,0,0,0,0,0,0,2,32,1,0
2006,213020,Indiana University of Pennsylvania-Main Campus,14248,0,0,4,0,0,0,0,0,0,0,40,1,1
2007,213020,Indiana University of Pennsylvania-Main Campus,14018,0,0,3,0,0,0,0,0,1,0,38,1,0
2008,213020,Indiana University of Pennsylvania-Main Campus,14310,0,0,3,0,0,0,0,0,1,2,14,0,0
2009,213020,Indiana University of Pennsylvania-Main Campus,14638,0,0,7,0,0,0,0,0,1,1,8,0,0
2010,213020,Indiana University of Pennsylvania-Main Campus,15126,0,0,7,0,0,0,0,0,1,3,10,2,0
2011,213020,Indiana University of Pennsylvania-Main Campus,15340,0,0,0,0,0,0,0,0,0,3,7,0,0
2012,213020,Indiana University of Pennsylvania-Main Campus,15596,0,0,2,0,0,0,0,0,0,3,11,1,0
2013,213020,Indiana University of Pennsylvania-Main Campus,14925,0,0,4,0,0,0,0,0,0,2,10,0,0
2014,213020,Indiana University of Pennsylvania-Main Campus,14534,0,0,0,5,1,0,0,0,0,1,11,0,2
2001,214777,Pennsylvania State University-Main Campus,40828,0,0,8,0,0,0,0,0,0,4,34,6,4
2002,214777,Pennsylvania State University-Main Campus,41445,0,0,12,0,0,0,0,0,1,2,24,7,1
2003,214777,Pennsylvania State University-Main Campus,41795,0,0,9,0,0,0,0,0,2,5,38,4,3
2004,214777,Pennsylvania State University-Main Campus,41289,0,0,8,0,0,0,0,0,1,4,34,6,2
2005,214777,Pennsylvania State University-Main Campus,40709,0,0,9,0,0,0,0,0,3,6,45,4,2
2006,214777,Pennsylvania State University-Main Campus,42914,0,0,6,0,0,0,0,0,4,2,43,3,2
2007,214777,Pennsylvania State University-Main Campus,43252,0,0,8,0,0,0,0,0,3,3,112,4,7
