Survey year,Unitid,Institution name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2014,169248,Central Michigan University,26879,0,0,0
2001,211440,Carnegie Mellon University,8588,1,6,0
2002,211440,Carnegie Mellon University,9501,0,2,54
2003,211440,Carnegie Mellon University,9756,1,3,81
2004,211440,Carnegie Mellon University,9803,2,4,71
2005,211440,Carnegie Mellon University,10017,1,16,86
2006,211440,Carnegie Mellon University,9999,0,12,131
2007,211440,Carnegie Mellon University,10326,5,9,119
2008,211440,Carnegie Mellon University,10875,4,8,57
2009,211440,Carnegie Mellon University,11197,0,16,23
2010,211440,Carnegie Mellon University,11340,1,14,19
2011,211440,Carnegie Mellon University,11531,0,30,28
2012,211440,Carnegie Mellon University,11978,0,47,17
2013,211440,Carnegie Mellon University,12367,0,35,8
2014,211440,Carnegie Mellon University,12587,0,32,13
2001,212054,Drexel University,13546,2,42,164
2002,212054,Drexel University,16345,4,41,183
2003,212054,Drexel University,17000,2,32,128
2004,212054,Drexel University,17656,1,19,277
2005,212054,Drexel University,18466,4,27,372
2006,212054,Drexel University,19860,6,36,279
2007,212054,Drexel University,20682,5,40,314
2008,212054,Drexel University,21537,0,33,319
2009,212054,Drexel University,22493,7,49,265
2010,212054,Drexel University,23637,0,75,408
2011,212054,Drexel University,24860,0,30,301
2012,212054,Drexel University,25500,1,77,314
2013,212054,Drexel University,26132,0,126,336
2014,212054,Drexel University,26359,0,94,383
2001,213020,Indiana University of Pennsylvania-Main Campus,13457,0,46,100
2002,213020,Indiana University of Pennsylvania-Main Campus,13671,0,29,110
2003,213020,Indiana University of Pennsylvania-Main Campus,13868,4,70,115
2004,213020,Indiana University of Pennsylvania-Main Campus,13998,1,46,104
2005,213020,Indiana University of Pennsylvania-Main Campus,14081,0,18,86
2006,213020,Indiana University of Pennsylvania-Main Campus,14248,1,12,93
2007,213020,Indiana University of Pennsylvania-Main Campus,14018,0,33,95
2008,213020,Indiana University of Pennsylvania-Main Campus,14310,2,47,105
