Survey year,Unitid,Institution name,Institution Size,Domestic violence,Dating violence,Stalking
2001,169248,Central Michigan University,26879,0,0,0
2002,169248,Central Michigan University,26879,0,0,0
2003,169248,Central Michigan University,26879,0,0,0
2004,169248,Central Michigan University,26879,0,0,0
2005,169248,Central Michigan University,26879,0,0,0
2006,169248,Central Michigan University,26879,0,0,0
2007,169248,Central Michigan University,26879,0,0,0
2008,169248,Central Michigan University,26879,0,0,0
2009,169248,Central Michigan University,26879,0,0,0
2010,169248,Central Michigan University,26879,0,0,0
2011,169248,Central Michigan University,26879,0,0,0
2012,169248,Central Michigan University,26879,0,0,0
2013,169248,Central Michigan University,26879,0,0,0
2014,169248,Central Michigan University,26879,0,0,0
2001,211440,Carnegie Mellon University,12587,2,6,27
2002,211440,Carnegie Mellon University,12587,2,6,27
2003,211440,Carnegie Mellon University,12587,2,6,27
2004,211440,Carnegie Mellon University,12587,2,6,27
2005,211440,Carnegie Mellon University,12587,2,6,27
2006,211440,Carnegie Mellon University,12587,2,6,27
2007,211440,Carnegie Mellon University,12587,2,6,27
2008,211440,Carnegie Mellon University,12587,2,6,27
2009,211440,Carnegie Mellon University,12587,2,6,27
2010,211440,Carnegie Mellon University,12587,2,6,27
2011,211440,Carnegie Mellon University,12587,2,6,27
2012,211440,Carnegie Mellon University,12587,2,6,27
2013,211440,Carnegie Mellon University,12587,2,6,27
2014,211440,Carnegie Mellon University,12587,2,6,27
2001,212054,Drexel University,26359,0,5,4
2002,212054,Drexel University,26359,0,5,4
2003,212054,Drexel University,26359,0,5,4
2004,212054,Drexel University,26359,0,5,4
2005,212054,Drexel University,26359,0,5,4
2006,212054,Drexel University,26359,0,5,4
2007,212054,Drexel University,26359,0,5,4
2008,212054,Drexel University,26359,0,5,4
2009,212054,Drexel University,26359,0,5,4
2010,212054,Drexel University,26359,0,5,4
2011,212054,Drexel University,26359,0,5,4
2012,212054,Drexel University,26359,0,5,4
2013,212054,Drexel University,26359,0,5,4
2014,212054,Drexel University,26359,0,5,4
2001,213020,Indiana University of Pennsylvania-Main Campus,14534,0,6,0
2002,213020,Indiana University of Pennsylvania-Main Campus,14534,0,6,0
2003,213020,Indiana University of Pennsylvania-Main Campus,14534,0,6,0
2004,213020,Indiana University of Pennsylvania-Main Campus,14534,0,6,0
2005,213020,Indiana University of Pennsylvania-Main Campus,14534,0,6,0
2006,213020,Indiana University of Pennsylvania-Main Campus,14534,0,6,0
2007,213020,Indiana University of Pennsylvania-Main Campus,14534,0,6,0
2008,213020,Indiana University of Pennsylvania-Main Campus,14534,0,6,0
2009,213020,Indiana University of Pennsylvania-Main Campus,14534,0,6,0
2010,213020,Indiana University of Pennsylvania-Main Campus,14534,0,6,0
2011,213020,Indiana University of Pennsylvania-Main Campus,14534,0,6,0
2012,213020,Indiana University of Pennsylvania-Main Campus,14534,0,6,0
2013,213020,Indiana University of Pennsylvania-Main Campus,14534,0,6,0
2014,213020,Indiana University of Pennsylvania-Main Campus,14534,0,6,0
2001,214777,Pennsylvania State University-Main Campus,47040,1,12,9
2002,214777,Pennsylvania State University-Main Campus,47040,1,12,9
2003,214777,Pennsylvania State University-Main Campus,47040,1,12,9
2004,214777,Pennsylvania State University-Main Campus,47040,1,12,9
2005,214777,Pennsylvania State University-Main Campus,47040,1,12,9
2006,214777,Pennsylvania State University-Main Campus,47040,1,12,9
2007,214777,Pennsylvania State University-Main Campus,47040,1,12,9
2008,214777,Pennsylvania State University-Main Campus,47040,1,12,9
2009,214777,Pennsylvania State University-Main Campus,47040,1,12,9
2010,214777,Pennsylvania State University-Main Campus,47040,1,12,9
2011,214777,Pennsylvania State University-Main Campus,47040,1,12,9
2012,214777,Pennsylvania State University-Main Campus,47040,1,12,9
2013,214777,Pennsylvania State University-Main Campus,47040,1,12,9
2014,214777,Pennsylvania State University-Main Campus,47040,1,12,9
2001,215062,University of Pennsylvania,24806,1,0,10
2002,215062,University of Pennsylvania,24806,1,0,10
2003,215062,University of Pennsylvania,24806,1,0,10
2004,215062,University of Pennsylvania,24806,1,0,10
2005,215062,University of Pennsylvania,24806,1,0,10
2006,215062,University of Pennsylvania,24806,1,0,10
2007,215062,University of Pennsylvania,24806,1,0,10
2008,215062,University of Pennsylvania,24806,1,0,10
2009,215062,University of Pennsylvania,24806,1,0,10
2010,215062,University of Pennsylvania,24806,1,0,10
2011,215062,University of Pennsylvania,24806,1,0,10
2012,215062,University of Pennsylvania,24806,1,0,10
2013,215062,University of Pennsylvania,24806,1,0,10
2014,215062,University of Pennsylvania,24806,1,0,10
2001,215293,University of Pittsburgh-Pittsburgh Campus,28617,0,5,4
2002,215293,University of Pittsburgh-Pittsburgh Campus,28617,0,5,4
2003,215293,University of Pittsburgh-Pittsburgh Campus,28617,0,5,4
2004,215293,University of Pittsburgh-Pittsburgh Campus,28617,0,5,4
2005,215293,University of Pittsburgh-Pittsburgh Campus,28617,0,5,4
2006,215293,University of Pittsburgh-Pittsburgh Campus,28617,0,5,4
2007,215293,University of Pittsburgh-Pittsburgh Campus,28617,0,5,4
2008,215293,University of Pittsburgh-Pittsburgh Campus,28617,0,5,4
2009,215293,University of Pittsburgh-Pittsburgh Campus,28617,0,5,4
2010,215293,University of Pittsburgh-Pittsburgh Campus,28617,0,5,4
2011,215293,University of Pittsburgh-Pittsburgh Campus,28617,0,5,4
2012,215293,University of Pittsburgh-Pittsburgh Campus,28617,0,5,4
2013,215293,University of Pittsburgh-Pittsburgh Campus,28617,0,5,4
2014,215293,University of Pittsburgh-Pittsburgh Campus,28617,0,5,4
2001,216339,Temple University,37485,3,3,9
2002,216339,Temple University,37485,3,3,9
2003,216339,Temple University,37485,3,3,9
2004,216339,Temple University,37485,3,3,9
2005,216339,Temple University,37485,3,3,9
2006,216339,Temple University,37485,3,3,9
2007,216339,Temple University,37485,3,3,9
2008,216339,Temple University,37485,3,3,9
2009,216339,Temple University,37485,3,3,9
2010,216339,Temple University,37485,3,3,9
2011,216339,Temple University,37485,3,3,9
2012,216339,Temple University,37485,3,3,9
2013,216339,Temple University,37485,3,3,9
2014,216339,Temple University,37485,3,3,9
2001,216597,Villanova University,10735,3,0,9
2002,216597,Villanova University,10735,3,0,9
2003,216597,Villanova University,10735,3,0,9
2004,216597,Villanova University,10735,3,0,9
2005,216597,Villanova University,10735,3,0,9
2006,216597,Villanova University,10735,3,0,9
2007,216597,Villanova University,10735,3,0,9
2008,216597,Villanova University,10735,3,0,9
2009,216597,Villanova University,10735,3,0,9
2010,216597,Villanova University,10735,3,0,9
2011,216597,Villanova University,10735,3,0,9
2012,216597,Villanova University,10735,3,0,9
2013,216597,Villanova University,10735,3,0,9
2014,216597,Villanova University,10735,3,0,9
2001,216764,West Chester University of Pennsylvania,16086,0,6,1
2002,216764,West Chester University of Pennsylvania,16086,0,6,1
2003,216764,West Chester University of Pennsylvania,16086,0,6,1
2004,216764,West Chester University of Pennsylvania,16086,0,6,1
2005,216764,West Chester University of Pennsylvania,16086,0,6,1
2006,216764,West Chester University of Pennsylvania,16086,0,6,1
2007,216764,West Chester University of Pennsylvania,16086,0,6,1
2008,216764,West Chester University of Pennsylvania,16086,0,6,1
2009,216764,West Chester University of Pennsylvania,16086,0,6,1
2010,216764,West Chester University of Pennsylvania,16086,0,6,1
2011,216764,West Chester University of Pennsylvania,16086,0,6,1
2012,216764,West Chester University of Pennsylvania,16086,0,6,1
2013,216764,West Chester University of Pennsylvania,16086,0,6,1
2014,216764,West Chester University of Pennsylvania,16086,0,6,1
